The 2016 Keystone Exams - Best Score Results*,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"* Proficiency summary data do not include students who were enrolled in the school after October 1, home schooled, excluded from state aggregation, ELL students who were enrolled for less than one year in US school, or students who did not attempt. ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Subject,Year,Grade,Group,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic,Percent Advanced/Proficient
Algebra I,2016,11,All Students,123525,20.6,47.6,23.3,8.4,68.2
Algebra I,2016,11,Historically Underperforming,56045,8.8,38.7,35.7,16.7,47.5
Biology,2016,11,All Students,122602,27.1,38.7,19.7,14.5,65.8
Biology,2016,11,Historically Underperforming,55240,11.6,32.7,28,27.6,44.4
Literature,2016,11,All Students,123292,10,66.8,17,6.2,76.8
Literature,2016,11,Historically Underperforming,55740,3.5,55.3,28.5,12.7,58.8
