"The 2016 Statewide PSSA English Language Arts, Math, and Science Proficiency Results*",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"* Proficiency summary data do not include students who were PA resident after October 1, home schooled, excluded from state aggregation, ELL students who were enrolled for less than one year in US school, or students who did not attempt. ",,,,,,,,,
No PASA/Keystone exam scores were included in the PSSA Proficiency data. Proficiency percentages may not add up to 100 due to rounding.,,,,,,,,,
,,,,,,,,,
Subject,Group,Grade,Year,Number scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic,Percent Proficient and above
English Language Arts,All Students,3,2016,125284,15.2,45.7,25.5,13.6,60.9
English Language Arts,All Students,4,2016,123597,24.6,34,29.1,12.2,58.7
English Language Arts,All Students,5,2016,122868,16.2,45.3,24.5,14.1,61.5
English Language Arts,All Students,6,2016,125263,22.7,38.9,29.8,8.6,61.6
English Language Arts,All Students,7,2016,124961,18.1,43.3,33.5,5,61.5
English Language Arts,All Students,8,2016,123275,17.5,40.9,30.4,11.3,58.3
English Language Arts,All Students,Total,2016,745248,19.1,41.4,28.8,10.8,60.4
English Language Arts,Historically Underperforming,3,2016,70844,6.3,37.5,33.9,22.4,43.8
English Language Arts,Historically Underperforming,4,2016,68712,11.4,29.1,38.8,20.7,40.5
English Language Arts,Historically Underperforming,5,2016,66552,6,36.1,33.7,24.2,42.1
English Language Arts,Historically Underperforming,6,2016,66123,9.6,32.6,42.4,15.5,42.1
English Language Arts,Historically Underperforming,7,2016,64131,6.7,34.6,49.4,9.3,41.3
English Language Arts,Historically Underperforming,8,2016,62474,7,31.5,41.3,20.2,38.5
English Language Arts,Historically Underperforming,Total,2016,398836,7.8,33.6,39.8,18.8,41.4
Math,All Students,3,2016,125420,26.3,28.1,21,24.6,54.4
Math,All Students,4,2016,123940,19.8,26.7,25.9,27.6,46.5
Math,All Students,5,2016,122983,18.5,25.9,27.6,28,44.4
Math,All Students,6,2016,125305,16.9,24.1,28.8,30.1,41
Math,All Students,7,2016,124959,13.3,23.7,28.1,34.9,37
Math,All Students,8,2016,123175,10.5,20.7,28.6,40.2,31.2
Math,All Students,Total,2016,745782,17.6,24.9,26.7,30.9,42.4
Math,Historically Underperforming,3,2016,70954,13.5,23.8,24.6,38.1,37.3
Math,Historically Underperforming,4,2016,68964,8.8,20.1,28.5,42.6,28.8
Math,Historically Underperforming,5,2016,66664,7.4,18.2,30.4,44,25.6
Math,Historically Underperforming,6,2016,66173,6.2,15.6,30.2,47.9,21.9
Math,Historically Underperforming,7,2016,64128,4.5,13.9,27.5,54.1,18.4
Math,Historically Underperforming,8,2016,62452,3.5,11.2,24.9,60.4,14.7
Math,Historically Underperforming,Total,2016,399335,7.4,17.3,27.7,47.6,24.7
Science,All Students,4,2016,123818,39.5,36.7,12.2,11.7,76.2
Science,All Students,8,2016,122955,27.3,30.3,16.8,25.6,57.6
Science,All Students,Total,2016,246773,33.4,33.5,14.5,18.6,66.9
Science,Historically Underperforming,4,2016,68862,23.6,39.1,18,19.3,62.6
Science,Historically Underperforming,8,2016,62310,12.9,24.7,20.1,42.3,37.6
Science,Historically Underperforming,Total,2016,131172,18.5,32.3,19,30.2,50.7
