Unnamed: 0,Unnamed: 1,2017 Keystone Exams Grade 11 - School Level Proficiency Results*,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,"* Proficiency summary data do not include students who were enrolled in the schools after October 1, home schooled, excluded from school aggregation, 
ELL students who were enrolled for less than one year in US school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
,,* Information is not displayed for student populations of fewer than 11.,,,,,,,,,,
,,,,,,,,,,,,
AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,% Advanced,% Proficient,% Basic,% Below Basic
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,All Students,11,137,27,45.3,22.6,5.1
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,Historically Underperforming,11,60,8.3,45,36.7,10
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,All Students,11,138,29.7,37,24.6,8.7
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,Historically Underperforming,11,60,11.7,35,36.7,16.7
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,All Students,11,138,13.8,71,13,2.2
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,Historically Underperforming,11,60,1.7,71.7,21.7,5
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,All Students,11,252,34.1,38.1,20.6,7.1
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,Historically Underperforming,11,95,17.9,35.8,29.5,16.8
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,All Students,11,253,37.9,36.4,15.4,10.3
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,Historically Underperforming,11,94,19.1,35.1,22.3,23.4
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,All Students,11,256,12.9,59.8,19.9,7.4
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,Historically Underperforming,11,97,5.2,45.4,32,17.5
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Algebra I,All Students,11,69,36.2,52.2,5.8,5.8
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Algebra I,Historically Underperforming,11,19,31.6,31.6,15.8,21.1
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Biology,All Students,11,71,26.8,56.3,9.9,7
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Biology,Historically Underperforming,11,19,15.8,52.6,5.3,26.3
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Literature,All Students,11,69,10.1,72.5,11.6,5.8
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Literature,Historically Underperforming,11,19,0,63.2,15.8,21.1
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Algebra I,All Students,11,322,24.5,48.4,20.8,6.2
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Algebra I,Historically Underperforming,11,119,10.1,42.9,31.1,16
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Biology,All Students,11,325,29.2,40,23.4,7.4
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Biology,Historically Underperforming,11,121,12.4,35.5,36.4,15.7
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Literature,All Students,11,325,11.4,71.1,12.9,4.6
112013753,000006271,ADAMS,GETTYSBURG AREA SD,GETTYSBURG AREA HS,Literature,Historically Underperforming,11,122,3.3,60.7,25.4,10.7
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Algebra I,All Students,11,127,26,58.3,12.6,3.1
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Algebra I,Historically Underperforming,11,45,15.6,51.1,24.4,8.9
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Biology,All Students,11,127,38.6,41.7,10.2,9.4
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Biology,Historically Underperforming,11,45,26.7,37.8,15.6,20
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Literature,All Students,11,127,8.7,73.2,14.2,3.9
112015203,000000014,ADAMS,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Literature,Historically Underperforming,11,45,6.7,60,22.2,11.1
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Algebra I,All Students,11,114,21.9,44.7,28.1,5.3
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Algebra I,Historically Underperforming,11,53,11.3,43.4,37.7,7.5
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Biology,All Students,11,113,35.4,37.2,24.8,2.7
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Biology,Historically Underperforming,11,52,25,38.5,30.8,5.8
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Literature,All Students,11,112,5.4,72.3,21.4,0.9
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Literature,Historically Underperforming,11,51,2,62.7,33.3,2
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Algebra I,All Students,11,14,0,0,7.1,92.9
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Algebra I,Historically Underperforming,11,13,0,0,7.7,92.3
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Biology,All Students,11,15,0,0,20,80
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Biology,Historically Underperforming,11,13,0,0,15.4,84.6
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Literature,All Students,11,12,0,8.3,16.7,75
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Literature,Historically Underperforming,11,12,0,8.3,16.7,75
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,All Students,11,83,12,53,27.7,7.2
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,Historically Underperforming,11,37,8.1,40.5,35.1,16.2
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,All Students,11,82,24.4,37.8,30.5,7.3
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,Historically Underperforming,11,36,13.9,33.3,38.9,13.9
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,All Students,11,83,6,72.3,14.5,7.2
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,Historically Underperforming,11,37,5.4,62.2,21.6,10.8
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Algebra I,All Students,11,94,46.8,38.3,13.8,1.1
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Algebra I,Historically Underperforming,11,16,12.5,31.3,50,6.3
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Biology,All Students,11,94,42.6,39.4,12.8,5.3
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Biology,Historically Underperforming,11,16,6.3,31.3,31.3,31.3
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Literature,All Students,11,94,17,67,10.6,5.3
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Literature,Historically Underperforming,11,16,0,50,25,25
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,All Students,11,317,17,50.8,26.5,5.7
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,Historically Underperforming,11,123,9.8,37.4,39,13.8
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,All Students,11,317,27.1,38.5,24,10.4
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,Historically Underperforming,11,114,12.3,31.6,32.5,23.7
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,All Students,11,328,7,65.2,21.3,6.4
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,Historically Underperforming,11,127,2.4,44.1,37.8,15.7
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Algebra I,All Students,11,400,19,53,21.3,6.8
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Algebra I,Historically Underperforming,11,95,13.7,35.8,26.3,24.2
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Biology,All Students,11,400,34,41.5,15.5,9
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Biology,Historically Underperforming,11,93,17.2,36.6,20.4,25.8
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Literature,All Students,11,399,10.8,73.9,12.5,2.8
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Literature,Historically Underperforming,11,92,6.5,58.7,26.1,8.7
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,All Students,11,110,13.6,50.9,29.1,6.4
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,Historically Underperforming,11,48,4.2,35.4,47.9,12.5
