The 2017 Keystone Exams for Grade 11 - State Level Proficiency Results*,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"* Proficiency summary data do not include students who were resident of the state after October 1, home schooled, excluded from state aggregation, ELL students who were enrolled for less than one year in US school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,
* Information is not displayed for student populations of fewer than 11.,,,,,,,,
,,,,,,,,
Subject,Grade,Group,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic,Percent Advanced/Proficient
Algebra I,11,All Students,123648,22.2,43.4,24.5,9.9,65.6
Algebra I,11,Historically Underperforming,57690,10.1,34.7,36.2,19.1,44.7
Biology,11,All Students,122518,27.6,35.9,20.5,16,63.4
Biology,11,Historically Underperforming,56742,12.3,30.2,28.1,29.4,42.5
Literature,11,All Students,122697,8.8,63.9,19.6,7.7,72.7
Literature,11,Historically Underperforming,56769,2.9,51.2,30.8,15,54.1
