The 2017 PSSA Grades 3 through 8 - State Level Proficiency Results  by Grade and Total*,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"* Proficiency summary data do not include students who were resident of the state after October 1, home schooled, excluded from state aggregation, ELL students who were enrolled for less than one year in US school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,
* Information is not displayed for student populations of fewer than 11.,,,,,,,,
,,,,,,,,
Subject,Grade,Group,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic,Percent Advanced/Proficient
English Language Arts,03,All Students,124923,17.1,47.6,23.3,12.1,64.6
English Language Arts,04,All Students,125200,25.7,35.3,28.2,10.9,60.9
English Language Arts,05,All Students,124183,16.4,43.2,28.9,11.5,59.6
English Language Arts,06,All Students,123170,22.2,41.4,29.5,6.9,63.6
English Language Arts,07,All Students,125744,19.3,40.1,36.9,3.6,59.5
English Language Arts,08,All Students,123653,15.9,42.9,30.6,10.5,58.9
English Language Arts,Total,All Students,746873,19.42606038777677,41.744178729181534,29.578924395446084,9.250836487595615,61.1702391169583
English Language Arts,03,Historically Underperforming,72264,7.7,40.9,31.6,19.7,48.6
English Language Arts,04,Historically Underperforming,71245,12.6,31,38.2,18.2,43.6
English Language Arts,05,Historically Underperforming,69039,6.6,34.6,39.3,19.5,41.2
English Language Arts,06,Historically Underperforming,66596,9.3,35.3,43.1,12.2,44.6
English Language Arts,07,Historically Underperforming,66471,8.1,31.9,53.4,6.6,40
English Language Arts,08,Historically Underperforming,63599,6.2,33.1,41.9,18.8,39.3
English Language Arts,Total,Historically Underperforming,409214,8.466963495872577,34.537919035028125,41.07019798931611,15.924919479783195,43.0048825309007
Math,03,All Students,125205,26,28.4,19.7,25.9,54.5
Math,04,All Students,125575,18.1,28.5,27.3,26.1,46.6
Math,05,All Students,124405,16.2,27.5,31.4,24.8,43.8
Math,06,All Students,123112,14.1,26.1,30.6,29.1,40.3
Math,07,All Students,125584,15.7,22.1,25.2,37,37.8
Math,08,All Students,123271,10.6,21.9,27.8,39.7,32.5
Math,Total,All Students,747152,16.82442126903227,25.76048782577039,27.006552883482883,30.40853802171446,42.58490909480266
Math,03,Historically Underperforming,72500,13.5,24.4,23,39.1,37.9
Math,04,Historically Underperforming,71495,8.3,21.1,30.5,40.2,29.3
Math,05,Historically Underperforming,69160,6.6,19.3,35.2,38.9,25.9
Math,06,Historically Underperforming,66537,5.3,16.4,32.6,45.7,21.7
Math,07,Historically Underperforming,66359,6.1,13.5,24.2,56.2,19.6
Math,08,Historically Underperforming,63339,3.7,12.2,24.7,59.4,15.9
Math,Total,Historically Underperforming,409390,7.370478028285985,17.998974083392362,28.39883729451135,46.231710593810305,25.369452111678353
Science,04,All Students,125488,33,41.6,20.2,5.3,74.5
Science,08,All Students,122716,21.2,31.5,22.4,25,52.7
Science,Total,All Students,248204,27.143801066864352,36.59006301268312,21.254693719682198,15.011442200770334,63.733864079547466
Science,04,Historically Underperforming,71414,18.5,42.4,30.3,8.8,60.9
Science,08,Historically Underperforming,62880,8.9,23.5,26.7,40.8,32.5
Science,Total,Historically Underperforming,134294,14.038601873501422,33.574098619446886,28.616319418589065,23.770980088462625,47.612700492948306
