2018 PSSA Grades 3 through 8 - State Level Proficiency Results  by Grade*,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"* Proficiency summary data do not include students who were resident of the state after October 1, home schooled, excluded from state aggregation, ELL students who were enrolled for less than one year in US school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,
,,,,,,,,
,,,,,,,,
Subject,Group,Grade,Number Scored,% Advanced,% Proficient,% Basic,% Below Basic,% Advanced/Proficient
English Language Arts,All Students,3,122397,19.1,44.4,26.1,10.4,63.5
English Language Arts,All Students,4,126223,25.1,34.7,30.6,9.7,59.8
English Language Arts,All Students,5,126761,14,45.4,31.7,8.9,59.4
English Language Arts,All Students,6,125341,26.2,36.3,32.2,5.3,62.5
English Language Arts,All Students,7,124226,17.7,44.3,35.5,2.5,61.9
English Language Arts,All Students,8,124907,14.4,47.1,30.6,7.8,61.5
English Language Arts,All Students,Total,749855,19.4,42,31.1,7.4,61.4
English Language Arts,Historically Underperforming,3,70883,9.4,38.6,35.2,16.8,48
English Language Arts,Historically Underperforming,4,72756,12.4,30.5,41.2,15.9,43
English Language Arts,Historically Underperforming,5,71036,5.6,35.9,43.6,14.9,41.5
English Language Arts,Historically Underperforming,6,68267,12.6,31.9,46.3,9.1,44.5
English Language Arts,Historically Underperforming,7,66294,7.7,36,51.8,4.5,43.7
English Language Arts,Historically Underperforming,8,64858,5.9,36.7,43.6,13.7,42.6
English Language Arts,Historically Underperforming,Total,414094,9,34.9,43.5,12.6,43.9
Math,All Students,3,122563,22.7,31.4,21.4,24.5,54.1
Math,All Students,4,126481,17.8,25.8,26.7,29.8,43.5
Math,All Students,5,126868,17.8,27.4,26.1,28.7,45.2
Math,All Students,6,125385,14.7,24.8,30.8,29.7,39.6
Math,All Students,7,124225,16.2,22.8,23.3,37.8,38.9
Math,All Students,8,124780,10.8,20.2,27.9,41.1,31.1
Math,All Students,Total,750302,16.6,25.4,26.1,31.9,42
Math,Historically Underperforming,3,71019,11.3,26.4,25.3,37,37.6
Math,Historically Underperforming,4,72964,8.1,18.6,29,44.3,26.7
Math,Historically Underperforming,5,71108,7.8,19.9,28.8,43.5,27.7
Math,Historically Underperforming,6,68324,5.7,16.1,32.5,45.6,21.9
Math,Historically Underperforming,7,66288,6.4,14.1,22.5,56.9,20.5
Math,Historically Underperforming,8,64792,4.1,11.2,24.2,60.5,15.3
Math,Historically Underperforming,Total,414495,7.3,17.9,27.1,47.7,25.2
Science,All Students,4,126353,35.8,39.7,19.1,5.4,75.5
Science,All Students,8,124417,20.4,33.5,23.9,22.2,53.9
Science,All Students,Total,250770,28.1,36.6,21.5,13.8,64.8
Science,Historically Underperforming,4,72860,20.8,42,28.3,8.9,62.8
Science,Historically Underperforming,8,64533,9.2,25.6,29.2,35.9,34.9
Science,Historically Underperforming,Total,137393,15.4,34.3,28.7,21.6,49.7
