Unnamed: 0,Unnamed: 1,Unnamed: 2,2021 Keystone Grade 11 - School Level Proficiency Results*,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,"* Proficiency summary data do not include students who were enrolled in the school after October 1, home schooled, excluded from school aggregation, EL students who were enrolled for less than one year in a school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,
,,,* Information is not displayed for student populations of fewer than 11.,,,,,,,,,,,
,,,** Note that fewer students participated in Keystone Exams than in past years. A comparison to 2018-19 is included in the table below to demonstrate that difference. 2021 results may not reflect representative samples of the schools' students. Cross-year comparisons of proficiency are likely to be inaccurate for this reason.   ,,,,,,,,,,,
,,,,,,,,,,,,,,
AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Difference in Number Scored From 2019,Percent Reduction From 2019,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
112015106,000008471,Adams,ADAMS COUNTY TECHNICAL INSTITUTE,ADAMS COUNTY TECHNICAL INSTITUTE,Algebra I,All Students,11,3,,,,,,
112015106,000008471,Adams,ADAMS COUNTY TECHNICAL INSTITUTE,ADAMS COUNTY TECHNICAL INSTITUTE,Biology,All Students,11,1,,,,,,
112015106,000008471,Adams,ADAMS COUNTY TECHNICAL INSTITUTE,ADAMS COUNTY TECHNICAL INSTITUTE,Literature,All Students,11,1,,,,,,
112011103,000000003,Adams,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,All Students,11,135,-4,-0.02877697841726619,32.6,42.2,23.7,1.5
112011103,000000003,Adams,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,Historically Underperforming,11,37,-10,-0.2127659574468085,24.3,35.1,37.8,2.7
112011103,000000003,Adams,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,All Students,11,36,-103,-0.7410071942446043,72.2,16.7,11.1,0
112011103,000000003,Adams,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,Historically Underperforming,11,6,-42,-0.875,,,,
112011103,000000003,Adams,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,All Students,11,87,-52,-0.37410071942446044,13.8,86.2,0,0
