2021 PSSA Grades 3 through 8 - State Level Proficiency Results  by Grade*,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"* Proficiency summary data do not include students who were resident of the state after October 1, home schooled, excluded from state aggregation, EL students who were enrolled for less than one year in US school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,
,,,,,,,,,
Year,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic,Percent Proficient and above
2021,English Language Arts,All Students,3,90980,14.2,44.1,27.7,14,58.3
2021,English Language Arts,All Students,4,91862,21.4,35.2,31.5,11.9,56.6
2021,English Language Arts,All Students,5,91028,8.6,46.4,34.4,10.6,55
2021,English Language Arts,All Students,6,90232,17.5,39.8,35.6,7.1,57.3
2021,English Language Arts,All Students,7,90515,9.8,43.5,42.8,3.9,53.3
2021,English Language Arts,All Students,8,85686,10.9,41.7,36,11.4,52.6
2021,English Language Arts,All Students,Total,540303,13.8,41.8,34.6,9.8,55.5
2021,English Language Arts,Historically Underperforming,3,47137,5.7,34.1,36.4,23.8,39.8
2021,English Language Arts,Historically Underperforming,4,47316,9.7,28,41.4,20.9,37.7
2021,English Language Arts,Historically Underperforming,5,46136,2.8,32.9,45.2,19.1,35.6
2021,English Language Arts,Historically Underperforming,6,45115,6.8,30.1,49.9,13.1,37
2021,English Language Arts,Historically Underperforming,7,44350,3.3,30,59.4,7.3,33.3
2021,English Language Arts,Historically Underperforming,8,40649,3.9,28.7,46.6,20.7,32.6
2021,English Language Arts,Historically Underperforming,Total,270703,5.4,30.7,46.3,17.6,36.1
2021,Math,All Students,3,91693,17.8,29.5,21.7,31,47.3
2021,Math,All Students,4,92387,12.1,23.4,30.6,33.9,35.6
2021,Math,All Students,5,90866,11.8,24.3,32.6,31.3,36.1
2021,Math,All Students,6,90563,7.6,20.6,36.6,35.1,28.2
2021,Math,All Students,7,90812,8.1,18.8,27.1,46.1,26.9
2021,Math,All Students,8,85253,6.3,15.8,24.5,53.5,22.1
2021,Math,All Students,Total,541574,10.7,22.1,28.9,38.3,32.8
2021,Math,Historically Underperforming,3,47786,7.3,21.2,23.3,48.2,28.6
2021,Math,Historically Underperforming,4,47777,4.4,13.9,29.6,52.1,18.3
2021,Math,Historically Underperforming,5,46073,4.1,14.4,32.6,49,18.5
2021,Math,Historically Underperforming,6,45481,2.2,10.2,33.4,54.2,12.4
2021,Math,Historically Underperforming,7,44736,2.4,9,21.8,66.9,11.4
2021,Math,Historically Underperforming,8,40462,1.9,7,17,74.1,8.9
2021,Math,Historically Underperforming,Total,272315,3.8,12.8,26.5,56.9,16.6
2021,Science,All Students,4,91071,32.3,43.5,16.6,7.6,75.8
2021,Science,All Students,8,84244,19.6,31.2,22.5,26.7,50.8
2021,Science,All Students,Total,175315,26.2,37.6,19.4,16.8,63.8
2021,Science,Historically Underperforming,4,46669,17.6,44,25.2,13.3,61.6
2021,Science,Historically Underperforming,8,39842,8.4,22.4,25.3,43.9,30.8
2021,Science,Historically Underperforming,Total,86511,13.3,34,25.2,27.4,47.4
