2022 Keystone Exams for Grade 11 - State Level Proficiency Results*,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"* Proficiency summary data do not include students who were resident of the state after October 1, home schooled, excluded from state aggregation, EL students who were enrolled for less than one year in US school, students who did not attempt, or COVID-19 exclusion. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,
,,,,,,,,,
Year,Subject,Grade,Group,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic,Percent Advanced/Proficient
2022,Algebra I,11,All Students,59247,36.4,27.4,19.6,16.6,63.9
2022,Algebra I,11,IEP,9085,5,7.1,28.3,59.6,12.1
2022,Algebra I,11,ELL,1420,1.1,3.8,25.2,69.9,4.9
2022,Algebra I,11,Economically Disadvantaged,19141,18,20.9,28.8,32.3,38.9
2022,Biology,11,All Students,62545,13.9,28,33.1,25.1,41.9
2022,Biology,11,IEP,12401,2.7,11.7,31.6,53.9,14.5
2022,Biology,11,ELL,2604,0.2,5.1,26.7,68,5.2
2022,Biology,11,Economically Disadvantaged,26504,5.9,20.8,36.1,37.2,26.7
2022,Literature,11,All Students,102836,10.3,54.6,23.9,11.2,64.9
2022,Literature,11,IEP,16238,1.1,21.5,38.5,38.9,22.6
2022,Literature,11,ELL,2851,0.1,11.2,38.7,50,11.4
2022,Literature,11,Economically Disadvantaged,38562,4.3,44.2,32.4,19.1,48.5
