2023 PSSA Grades 3 through 8 - Statewide Level Proficiency Results*,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"* Proficiency summary data do not include students who were resident of PA after October 1, home schooled, excluded from state aggregation, EL students who were enrolled for less than one year in a school, students who did not attempt, or COVID-19 exclusion. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,
,,,,,,,,,
Year,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic,Percent Proficient and Above
2023,English Language Arts,All Students,3,115762,12.1,41.9,31.6,14.4,54
2023,English Language Arts,All Students,4,116075,21.4,30.4,31,17.2,51.8
2023,English Language Arts,All Students,5,116608,13.2,40.4,31,15.4,53.7
2023,English Language Arts,All Students,6,117377,18.8,36.8,36.3,8.1,55.6
2023,English Language Arts,All Students,7,117316,17.7,36.8,41,4.5,54.5
2023,English Language Arts,All Students,8,118937,14.4,38.4,32.8,14.4,52.7
2023,English Language Arts,All Students,Total,702075,16.3,37.5,34,12.3,53.7
2023,English Language Arts,American Indian / Alaskan Native (not Hispanic),3,194,9.8,39.2,30.9,20.1,49
2023,English Language Arts,American Indian / Alaskan Native (not Hispanic),4,182,21.4,25.3,26.4,26.9,46.7
2023,English Language Arts,American Indian / Alaskan Native (not Hispanic),5,183,8.7,44.8,35,11.5,53.6
2023,English Language Arts,American Indian / Alaskan Native (not Hispanic),6,196,12.8,39.3,38.3,9.7,52
2023,English Language Arts,American Indian / Alaskan Native (not Hispanic),7,198,12.1,27.3,54.5,6.1,39.4
2023,English Language Arts,American Indian / Alaskan Native (not Hispanic),8,193,8.3,36.8,36.3,18.7,45.1
2023,English Language Arts,American Indian / Alaskan Native (not Hispanic),Total,1146,12.1,35.4,37.1,15.4,47.6
2023,English Language Arts,Asian (not Hispanic),3,5490,21.8,48.1,23.7,6.5,69.8
2023,English Language Arts,Asian (not Hispanic),4,5793,37,34.5,20.7,7.8,71.6
