AUN,School District,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)","Act 1 Earned Income
6131","Total Act 511 Flat
6140","Total Act 511 Proportional
6150","Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Cigarette Tax
6163","Sales and
Use Tax
6164",General Business Taxes 6165,"Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168"
112011103.0,Bermudian Springs SD,Adams,4657102.82,,41535.9,4615566.92,41535.9,,,,,,4274313.05,,341211.87,42.0,,,,,0.0,,,,,,,,
112011603.0,Conewago Valley SD,Adams,8337991.62,,150880.97,8187110.65,91210.6,,59670.37,,,,7265072.08,,889998.69,32039.88,,,,,0.0,,,,,,,,
112013054.0,Fairfield Area SD,Adams,2687551.37,,,2687551.37,,,,,,,2361321.22,,310760.0,15470.15,,,,,0.0,,,,,,,,
112013753.0,Gettysburg Area SD,Adams,8662216.84,,84660.22,8577556.62,,,84660.22,,,,7242052.41,,1072086.04,263418.17,,,,,0.0,,,,,,,,
112015203.0,Littlestown Area SD,Adams,4915152.390000001,,68708.95,4846443.44,49019.2,,19689.75,,,,4420315.89,,426127.55,,,,,,0.0,,,,,,,,
112018523.0,Upper Adams SD,Adams,3323567.06,,75318.5,3248248.56,35091.6,,40226.9,,,,2934720.03,,313528.53,,,,,,0.0,,,,,,,,
103020603.0,Allegheny Valley SD,Allegheny,1375759.16,,34374.02,1341385.14,,,34374.02,,,,1131902.09,,209483.05,,,,,,0.0,,,,,,,,
103020753.0,Avonworth SD,Allegheny,3547040.86,,12008.57,3535032.29,,,12008.57,,,,2914366.01,,620666.28,,,,,,0.0,,,,,,,,
103021102.0,Baldwin-Whitehall SD,Allegheny,6116210.09,,34593.24,6081616.85,,,34593.24,,,,5247268.99,,834347.86,,,,,,0.0,,,,,,,,
103021252.0,Bethel Park SD,Allegheny,6727315.74,,3000.0,6724315.74,,,,,3000.0,,5559600.66,,1164715.08,,,,,,0.0,,,,,,,,
103021453.0,Brentwood Borough SD,Allegheny,1401994.52,,11520.06,1390474.46,,,11520.06,,,,1194192.74,,196281.72,,,,,,0.0,,,,,,,,
103021603.0,Carlynton SD,Allegheny,2446835.48,,,2446835.48,,,,,,,2115599.22,,331236.26,,,,,,0.0,,,,,,,,
103021752.0,Chartiers Valley SD,Allegheny,6853697.239999999,,73458.89,6780238.35,,,73458.89,,,,5365952.22,,888935.72,,,,525350.41,,0.0,,,,,,,,
103021903.0,Clairton City SD,Allegheny,602039.19,,9531.98,592507.21,,,9531.98,,,,377967.97,,50771.62,,151426.96,,12340.66,,0.0,,,,,,,,
103022103.0,Cornell SD,Allegheny,934093.0,,18735.0,915358.0,,,18735.0,,,,779064.0,,136294.0,,,,,,0.0,,,,,,,,
