AUN,LEA Name,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)","Act 1 Earned Income
6131","Total Act 511 Flat
6140","Total Act 511 Proportional
6150","Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Cigarette Tax
6163","Sales and
Use Tax
6164",General Business Taxes 6165,"Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168"
112011103.0,Bermudian Springs SD,Adams,4984171.4799999995,,41263.6,4942907.88,41263.6,,,,,,4614192.89,,328642.99,72.0,,,,,0.0,,,,,,,,
112011603.0,Conewago Valley SD,Adams,8745858.020000001,,136834.56,8609023.46,92408.0,,44426.56,,,,7720758.78,,826381.2,61883.48,,,,,0.0,,,,,,,,
112013054.0,Fairfield Area SD,Adams,2590661.77,,0.0,2590661.77,,,,,,,2276681.81,,284604.19,29375.77,,,,,0.0,,,,,,,,
112013753.0,Gettysburg Area SD,Adams,9571691.530000001,,94802.65,9476888.88,,,94802.65,,,,7737178.04,,1403829.87,335880.97,,,,,0.0,,,,,,,,
112015203.0,Littlestown Area SD,Adams,5061119.99,,74157.81,4986962.180000001,48731.0,,25426.81,,,,4464024.28,,522937.9,,,,,,0.0,,,,,,,,
112018523.0,Upper Adams SD,Adams,3764444.1799999997,,84154.56,3680289.6199999996,35218.25,,48936.31,,,,3126733.51,,553556.11,,,,,,0.0,,,,,,,,
103020603.0,Allegheny Valley SD,Allegheny,1694311.71,,32737.41,1661574.3,,,32737.41,,,,1288528.48,,373045.82,,,,,,0.0,,,,,,,,
103020753.0,Avonworth SD,Allegheny,3947458.9,,15749.13,3931709.77,,,15749.13,,,,3150614.91,,781094.86,,,,,,0.0,,,,,,,,
103021102.0,Baldwin-Whitehall SD,Allegheny,6394203.84,,36710.96,6357492.88,,,36710.96,,,,5527437.27,,830055.61,,,,,,0.0,,,,,,,,
103021252.0,Bethel Park SD,Allegheny,6633397.82,,4000.0,6629397.82,,,,,4000.0,,5591442.21,,1037955.61,,,,,,0.0,,,,,,,,
103021453.0,Brentwood Borough SD,Allegheny,1767443.8699999999,,12398.71,1755045.16,,,12398.71,,,,1299926.68,,455118.48,,,,,,0.0,,,,,,,,
103021603.0,Carlynton SD,Allegheny,2716108.12,,0.0,2716108.12,,,,,,,2229157.6,,486950.52,,,,,,0.0,,,,,,,,
103021752.0,Chartiers Valley SD,Allegheny,7332876.26,,85747.52,7247128.74,,,85747.52,,,,5681120.53,,1035476.71,,,,530531.5,,0.0,,,,,,,,
103021903.0,Clairton City SD,Allegheny,704830.29,,9933.02,694897.27,,,9933.02,,,,398761.58,,69711.74,,211759.98,,14663.97,,0.0,,,,,,,,
103022103.0,Cornell SD,Allegheny,968515.0,,15730.0,952785.0,,,15730.0,,,,788632.0,,164153.0,,,,,,0.0,,,,,,,,
103022253.0,Deer Lakes SD,Allegheny,2651898.0100000002,,54615.97,2597282.04,33612.74,,21003.23,,,,2132423.66,,464858.38,,,,,,0.0,,,,,,,,
103022503.0,Duquesne City SD,Allegheny,358679.0,,7173.0,351506.0,,,7173.0,,,,315764.0,,35742.0,,,,,,0.0,,,,,,,,
