AUN,School District,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)",Act 1 Earned Income 6131,Total Act 511 Flat 6140,"Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Total Act 511 Proportional
6150","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168",Current Mercantile 6169
112011103.0,Bermudian Springs SD,Adams,3700074.55,,35996.8,35996.8,,,,,,3664077.75,3496764.41,,167146.34,167.0,,,,,0.0,,,,,,
112011603.0,Conewago Valley SD,Adams,5984611.89,,133659.13,79605.4,,54053.73,,,,5850952.76,5492036.42,,319536.32,39380.02,,,,,0.0,,,,,,
112013054.0,Fairfield Area SD,Adams,2435418.77,,0.0,,,,,,,2435418.77,2289973.62,,124727.61,20717.54,,,,,0.0,,,,,,
112013753.0,Gettysburg Area SD,Adams,7107954.55,,90982.91,,,90982.91,,,,7016971.64,6090382.45,,456223.98,470365.21,,,,,0.0,,,,,,
112015203.0,Littlestown Area SD,Adams,3174576.64,,64317.100000000006,41961.4,,22355.7,,,,3110259.54,1623917.93,1228409.65,257931.96,,,,,,0.0,,,,,,
112018523.0,Upper Adams SD,Adams,2700238.35,,79345.0,32867.0,,46478.0,,,,2620893.35,2479086.6,,141806.75,,,,,,0.0,,,,,,
103020603.0,Allegheny Valley SD,Allegheny,1196022.93,,32749.64,,,32749.64,,,,1163273.29,1045484.36,,117788.93,,,,,,0.0,,,,,,
103020753.0,Avonworth SD,Allegheny,2626145.7100000004,,24799.66,,,24799.66,,,,2601346.0500000003,2336402.99,,262684.93,2258.13,,,,,0.0,,,,,,
103021102.0,Baldwin-Whitehall SD,Allegheny,4691479.49,,31563.51,,,31563.51,,,,4659915.98,4280769.57,,379146.41,,,,,,0.0,,,,,,
103021252.0,Bethel Park SD,Allegheny,5293595.86,,1150.0,,,,,1150.0,,5292445.86,4844026.11,,448419.75,,,,,,0.0,,,,,,
103021453.0,Brentwood Borough SD,Allegheny,1175611.29,,8800.64,,,8800.64,,,,1166810.6500000001,1091720.62,,75090.03,,,,,,0.0,,,,,,
103021603.0,Carlynton SD,Allegheny,1973559.71,,0.0,,,,,,,1973559.71,1797827.63,,175732.08,,,,,,0.0,,,,,,
103021752.0,Chartiers Valley SD,Allegheny,6419850.05,,67321.96,,,67321.96,,,,6352528.09,5215051.58,,632028.75,,,,505447.76,,0.0,,,,,,
103021903.0,Clairton City SD,Allegheny,861157.0,,10120.0,,,10120.0,,,,851037.0,496385.0,,12697.0,,319041.0,,22914.0,,0.0,,,,,,
103022103.0,Cornell SD,Allegheny,764121.0,,20954.0,,,20954.0,,,,743167.0,618701.0,,124466.0,,,,,,0.0,,,,,,
103022253.0,Deer Lakes SD,Allegheny,1911146.42,,65845.06,36754.68,,29090.38,,,,1845301.3599999999,1681346.7,,163954.66,,,,,,0.0,,,,,,
103022503.0,Duquesne City SD,Allegheny,269169.28,,6909.21,,,6909.21,,,,262260.07,246666.22,,15593.85,,,,,,0.0,,,,,,
103022803.0,East Allegheny SD,Allegheny,1802757.2399999998,,47847.77,,,47847.77,,,,1754909.4699999997,1318232.48,,113087.41,,89980.96,3568.49,230040.13,,0.0,,,,,,
103023153.0,Elizabeth Forward SD,Allegheny,2123092.64,,16121.99,,,16121.99,,,,2106970.65,1980082.18,,126888.47,,,,,,0.0,,,,,,
103023912.0,Fox Chapel Area SD,Allegheny,7942294.85,,74223.64,,,74223.64,,,,7868071.21,7068419.81,,799651.4,,,,,,0.0,,,,,,
103024102.0,Gateway SD,Allegheny,5358265.17,,121470.25,,,121470.25,,,,5236794.92,3599198.64,,416890.14,,,,1220706.14,,0.0,,,,,,
103024603.0,Hampton Township SD,Allegheny,4041981.41,,0.0,,,,,,,4041981.41,3593806.06,,448175.35,,,,,,0.0,,,,,,
103024753.0,Highlands SD,Allegheny,2021146.02,,89435.64,53406.64,,36029.0,,,,1931710.3800000001,1806461.11,,125249.27,,,,,,0.0,,,,,,
103025002.0,Keystone Oaks SD,Allegheny,3265481.61,,58536.57,,,58536.57,,,,3206945.04,2713302.85,,493642.19,,,,,,0.0,,,,,,
103026002.0,McKeesport Area SD,Allegheny,2669682.0,,47960.0,,,47960.0,,,,2621722.0,2117282.0,,153474.0,,252964.0,,98002.0,,0.0,,,,,,
103026303.0,Montour SD,Allegheny,4865083.42,,0.0,,,,,,,4865083.42,4189320.6,,675762.82,,,,,,0.0,,,,,,
103026343.0,Moon Area SD,Allegheny,5746006.61,,87422.7,,,87422.7,,,,5658583.91,4837585.46,,805211.79,15786.66,,,,,0.0,,,,,,
103026402.0,Mt Lebanon SD,Allegheny,8056686.02,,48442.51,,,48442.51,,,,8008243.51,7182404.91,,825838.6,,,,,,0.0,,,,,,
103026852.0,North Allegheny SD,Allegheny,14057690.100000001,,173056.8,173056.8,,,,,,13884633.3,12256623.5,,1628009.8,,,,,,0.0,,,,,,
103026902.0,North Hills SD,Allegheny,7267391.6400000015,,70785.29,,,70785.29,,,,7196606.3500000015,5291101.61,,623031.8,3903.23,399886.48,,878683.23,,0.0,,,,,,
103026873.0,Northgate SD,Allegheny,1443606.0,,27874.0,14505.0,,13369.0,,,,1415732.0,1287345.0,,128387.0,,,,,,0.0,,,,,,
103027352.0,Penn Hills SD,Allegheny,4779449.0,,34124.0,,,34124.0,,,,4745325.0,3730904.0,,322166.0,,267811.0,,424444.0,,0.0,,,,,,
103021003.0,Pine-Richland SD,Allegheny,7213407.0,,70213.0,70213.0,,,,,,7143194.0,6047744.0,,1095450.0,,,,,,0.0,,,,,,
