AUN,School District,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)","Act 1 Earned Income
6131","Total Act 511 Flat
6140","Total Act 511 Proportional
6150","Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Cigarette Tax
6163","Sales and
Use Tax
6164","Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168","Current Mercantile
6169"
112011103.0,Bermudian Springs SD,Adams,3999485.86,,36950.1,3962535.76,36950.1,,,,,,3714884.76,,247426.13,224.87,,,,,0.0,,,,,,,,
112011603.0,Conewago Valley SD,Adams,6640954.090000001,,147869.16,6493084.930000001,88528.1,,59341.06,,,,6020512.48,,426608.42,45964.03,,,,,0.0,,,,,,,,
112013054.0,Fairfield Area SD,Adams,2773549.37,,0.0,2773549.37,,,,,,,2604098.93,,147414.1,22036.34,,,,,0.0,,,,,,,,
112013753.0,Gettysburg Area SD,Adams,7806836.54,,90509.88,7716326.66,,,90509.88,,,,6473178.46,,815591.92,427556.28,,,,,0.0,,,,,,,,
112015203.0,Littlestown Area SD,Adams,3445180.15,,64971.38,3380208.77,43660.95,,21310.43,,,,1800326.8,1286917.24,292964.73,,,,,,0.0,,,,,,,,
112018523.0,Upper Adams SD,Adams,2731101.46,,94272.76999999999,2636828.69,33724.7,,60548.07,,,,2504152.16,,132676.53,,,,,,0.0,,,,,,,,
103020603.0,Allegheny Valley SD,Allegheny,1257948.43,,41111.17,1216837.26,,,41111.17,,,,1063878.49,,152958.77,,,,,,0.0,,,,,,,,
103020753.0,Avonworth SD,Allegheny,3067988.23,,14788.15,3053200.08,,,14788.15,,,,2468279.0,,584921.08,,,,,,0.0,,,,,,,,
103021102.0,Baldwin-Whitehall SD,Allegheny,4934484.000000001,,33294.48,4901189.5200000005,,,33294.48,,,,4402860.11,,498329.41,,,,,,0.0,,,,,,,,
103021252.0,Bethel Park SD,Allegheny,5405598.800000001,,5000.0,5400598.800000001,,,,,5000.0,,4800509.36,,600089.44,,,,,,0.0,,,,,,,,
103021453.0,Brentwood Borough SD,Allegheny,1190545.4300000002,,8882.28,1181663.1500000001,,,8882.28,,,,1079887.82,,101775.33,,,,,,0.0,,,,,,,,
