AUN,School District,County,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09
112011103.0,Bermudian Springs SD,Adams,20708871.58,18907790.15,19698163.64,19865174.07,17503535.25,16854780.81,15889772.89,15896280.15,15551324.9,16226504.33,15078410.25,14967150.79,14417424.24
112011603.0,Conewago Valley SD,Adams,46117749.12,42692392.53,41069066.66,39925163.57,37879787.74,36139576.55,33894940.6,32169157.84,32033068.69,31877385.83,30916703.98,29245152.92,28109057.28
112013054.0,Fairfield Area SD,Adams,13338618.35,11668169.75,13783862.58,11258142.89,10961729.93,10983325.17,11049293.68,10947317.7,10789623.69,11150015.11,11203506.97,9966983.58,10395311.92
112013753.0,Gettysburg Area SD,Adams,43994861.59,42140285.75,40573770.08,40519083.87,39533756.66,39399732.17,36091009.22,35711820.6,33756182.83,33552510.85,33193898.38,32310320.57,32135899.88
112015203.0,Littlestown Area SD,Adams,24263902.45,23365063.78,22507993.62,21795799.28,20651159.69,20154230.48,20154167.14,19411588.5,17894615.98,17681783.77,18239210.18,17954245.53,17143664.12
112018523.0,Upper Adams SD,Adams,19786506.18,18718736.0,18843356.56,17644424.19,16939962.12,17612170.93,17006836.78,17004573.92,16186277.09,15251896.59,15485932.69,15189132.83,14343942.26
103020603.0,Allegheny Valley SD,Allegheny,15073326.72,15250152.41,15229731.71,15053495.93,14461465.85,13909410.85,13525136.31,13088689.26,12181312.48,12801115.17,13384729.18,12109490.76,12560121.06
103020753.0,Avonworth SD,Allegheny,24305264.36,23548929.83,22258541.78,21200947.5,20123546.8,18931964.6,18394028.35,17634490.64,16454909.34,15523380.21,15407158.78,14640912.18,13670024.7
103021102.0,Baldwin-Whitehall SD,Allegheny,43688476.05,43091288.16,41368920.3,42873781.67,42048989.17,40418825.55,45224210.57,41198862.61,38652618.74,39106509.29,37561276.32,39095648.29,35339920.42
103021252.0,Bethel Park SD,Allegheny,63543509.68,59705595.89,59546364.28,57822708.84,57270368.28,57019065.01,55202313.11,57623447.01,48352550.0,48297389.44,49497982.82,48756850.96,46764088.27
103021453.0,Brentwood Borough SD,Allegheny,16450097.86,16407721.98,16532752.54,15974228.52,15062497.29,14043994.28,15619266.19,15086098.58,13147762.1,13234678.12,13062757.25,12440704.1,11685575.22
103021603.0,Carlynton SD,Allegheny,20577270.13,20998798.54,21024291.66,21778692.5,19687032.23,19223211.49,20558219.69,25598450.68,17839974.93,16260229.24,15941751.75,15596210.34,14816370.56
103021752.0,Chartiers Valley SD,Allegheny,46253814.17,44969226.61,44929089.82,43034600.96,42766927.81,42790473.51,41103602.49,39294406.94,37297166.49,34821614.68,33688611.8,31756242.56,29874321.89
103021903.0,Clairton City SD,Allegheny,11595078.05,11958209.87,11628342.06,10815410.37,12807888.35,10348615.4,9986935.65,10311513.98,9961861.41,10167686.18,10091633.66,10664201.16,10802141.85
103022103.0,Cornell SD,Allegheny,10619643.96,10364822.19,10043605.72,10227333.73,9522036.53,8834939.89,8539286.6,8405731.93,7811269.02,7945485.62,7997343.05,7851314.57,7532239.37
103022253.0,Deer Lakes SD,Allegheny,25032091.57,25105048.88,24591784.97,23652021.97,22884651.76,21678808.72,20556255.44,20606021.22,20874406.37,19530187.68,22150589.07,21417146.62,20322194.81
103022503.0,Duquesne City SD,Allegheny,14681061.76,15215783.75,13513735.09,13404791.75,12268910.97,11307676.92,8790323.64,5961857.96,9625747.33,8831020.99,7233069.86,8336003.28,7221255.95
103022803.0,East Allegheny SD,Allegheny,19624957.27,18231790.4,18954152.83,19969873.39,17403974.98,18901268.7,19444770.45,18865818.28,17618842.06,17559477.92,17783771.05,17931289.18,18505274.96
103023153.0,Elizabeth Forward SD,Allegheny,26210170.02,27164552.96,27923512.54,26433257.46,27457283.28,25818383.83,25720520.53,24987649.9,25082583.05,23353198.56,23350021.86,25304870.29,25284539.33
