Name,AcademicYearId,AUN,DataElement,DisplayValue
21st Century Cyber CS,22,124150002,AverageDailyMembership(ADM),1611.38
A W Beattie Career Center,22,103020407,AverageDailyMembership(ADM),
Abington Heights SD,22,119350303,AverageDailyMembership(ADM),3575.35
Abington SD,22,123460302,AverageDailyMembership(ADM),8478.9
Achievement House CS,22,125230001,AverageDailyMembership(ADM),1064.86
Ad Prima CS,22,126510015,AverageDailyMembership(ADM),581.6
Adams County Technical Institute,22,112015106,AverageDailyMembership(ADM),
Admiral Peary AVTS,22,108110307,AverageDailyMembership(ADM),
Agora Cyber CS,22,126510020,AverageDailyMembership(ADM),5634.08
Albert Gallatin Area SD,22,101260303,AverageDailyMembership(ADM),3203.78
Aliquippa SD,22,127040503,AverageDailyMembership(ADM),1260.02
Allegheny Valley SD,22,103020603,AverageDailyMembership(ADM),929.69
Allegheny-Clarion Valley SD,22,106160303,AverageDailyMembership(ADM),636.56
Allentown City SD,22,121390302,AverageDailyMembership(ADM),21026.22
Alliance for Progress CS,22,126512990,AverageDailyMembership(ADM),543.22
Altoona Area SD,22,108070502,AverageDailyMembership(ADM),7514.9
Ambridge Area SD,22,127040703,AverageDailyMembership(ADM),2659.55
Annville-Cleona SD,22,113380303,AverageDailyMembership(ADM),1492.48
Antietam SD,22,114060503,AverageDailyMembership(ADM),1166.32
Antonia Pantoja Community CS,22,104510394,AverageDailyMembership(ADM),686.63
Apollo-Ridge SD,22,128030603,AverageDailyMembership(ADM),1200.45
Armstrong SD,22,128030852,AverageDailyMembership(ADM),5216.93
Arts Academy CS,22,121395927,AverageDailyMembership(ADM),326.27
Arts Academy Elementary CS,22,121399898,AverageDailyMembership(ADM),416.33
ASPIRA Bilingual Cyber CS,22,181519176,AverageDailyMembership(ADM),585.27
Athens Area SD,22,117080503,AverageDailyMembership(ADM),2092.12
Austin Area SD,22,109530304,AverageDailyMembership(ADM),151.62
Avella Area SD,22,101630504,AverageDailyMembership(ADM),498.96
Avon Grove CS,22,124150003,AverageDailyMembership(ADM),1889.82
Avon Grove SD,22,124150503,AverageDailyMembership(ADM),5889.6
Avonworth SD,22,103020753,AverageDailyMembership(ADM),1873.64
Baden Academy CS,22,127046517,AverageDailyMembership(ADM),566.35
Bald Eagle Area SD,22,110141003,AverageDailyMembership(ADM),1563.68
Baldwin-Whitehall SD,22,103021102,AverageDailyMembership(ADM),4595.28
Bangor Area SD,22,120480803,AverageDailyMembership(ADM),3003.88
Bear Creek Community CS,22,118400001,AverageDailyMembership(ADM),509.1
Beaver Area SD,22,127041203,AverageDailyMembership(ADM),2088.32
Beaver County Career & Technology Center,22,127041307,AverageDailyMembership(ADM),
Bedford Area SD,22,108051003,AverageDailyMembership(ADM),1900.9
Bedford County Technical Center,22,108051307,AverageDailyMembership(ADM),
Belle Vernon Area SD,22,107650603,AverageDailyMembership(ADM),2461.14
Bellefonte Area SD,22,110141103,AverageDailyMembership(ADM),2814.39
Bellwood-Antis SD,22,108071003,AverageDailyMembership(ADM),1208.52
Belmont CS,22,126510010,AverageDailyMembership(ADM),894.78
Bensalem Township SD,22,122091002,AverageDailyMembership(ADM),7826.5
Benton Area SD,22,116191004,AverageDailyMembership(ADM),671.97
Bentworth SD,22,101630903,AverageDailyMembership(ADM),1098.22
Berks CTC-East Campus,22,114060557,AverageDailyMembership(ADM),
Berlin Brothersvalley SD,22,108561003,AverageDailyMembership(ADM),731.86
Bermudian Springs SD,22,112011103,AverageDailyMembership(ADM),1923.0
Berwick Area SD,22,116191103,AverageDailyMembership(ADM),2937.34
Bethel Park SD,22,103021252,AverageDailyMembership(ADM),4047.93
Bethlehem Area SD,22,120481002,AverageDailyMembership(ADM),15225.29
Bethlehem AVTS,22,120481107,AverageDailyMembership(ADM),
Bethlehem-Center SD,22,101631003,AverageDailyMembership(ADM),1044.98
Big Beaver Falls Area SD,22,127041503,AverageDailyMembership(ADM),1796.1
Big Spring SD,22,115210503,AverageDailyMembership(ADM),2557.24
Blackhawk SD,22,127041603,AverageDailyMembership(ADM),2430.39
Blacklick Valley SD,22,108110603,AverageDailyMembership(ADM),646.88
Blairsville-Saltsburg SD,22,128321103,AverageDailyMembership(ADM),1416.68
Bloomsburg Area SD,22,116191203,AverageDailyMembership(ADM),1696.38
Blue Mountain SD,22,129540803,AverageDailyMembership(ADM),2594.65
Blue Ridge SD,22,119581003,AverageDailyMembership(ADM),985.83
Boyertown Area SD,22,114060753,AverageDailyMembership(ADM),6978.79
Boys' Latin of Philadelphia CS,22,185515523,AverageDailyMembership(ADM),752.03
Bradford Area SD,22,109420803,AverageDailyMembership(ADM),2456.1
Brandywine Heights Area SD,22,114060853,AverageDailyMembership(ADM),1349.56
Brentwood Borough SD,22,103021453,AverageDailyMembership(ADM),1195.49
Bristol Borough SD,22,122091303,AverageDailyMembership(ADM),1339.09
Bristol Township SD,22,122091352,AverageDailyMembership(ADM),7036.57
Brockway Area SD,22,106330703,AverageDailyMembership(ADM),962.96
Brookville Area SD,22,106330803,AverageDailyMembership(ADM),1503.08
Brownsville Area SD,22,101260803,AverageDailyMembership(ADM),1649.01
Bucks County Montessori CS,22,122093460,AverageDailyMembership(ADM),184.91
Bucks County Technical High School,22,122091457,AverageDailyMembership(ADM),
Burgettstown Area SD,22,101631203,AverageDailyMembership(ADM),1054.98
Burrell SD,22,107650703,AverageDailyMembership(ADM),1754.68
Butler Area SD,22,104101252,AverageDailyMembership(ADM),6317.73
Butler County AVTS,22,104101307,AverageDailyMembership(ADM),
California Area SD,22,101631503,AverageDailyMembership(ADM),940.89
Cambria Heights SD,22,108111203,AverageDailyMembership(ADM),1322.76
Cameron County SD,22,109122703,AverageDailyMembership(ADM),563.01
Camp Hill SD,22,115211003,AverageDailyMembership(ADM),1259.42
Canon-McMillan SD,22,101631703,AverageDailyMembership(ADM),5549.26
Canton Area SD,22,117081003,AverageDailyMembership(ADM),855.04
Capital Area School for the Arts CS,22,115227010,AverageDailyMembership(ADM),189.22
Carbon Career & Technical Institute,22,121131507,AverageDailyMembership(ADM),
Carbondale Area SD,22,119351303,AverageDailyMembership(ADM),1643.88
Career Institute of Technology,22,120483007,AverageDailyMembership(ADM),
Carlisle Area SD,22,115211103,AverageDailyMembership(ADM),5222.6
Carlynton SD,22,103021603,AverageDailyMembership(ADM),1375.74
Carmichaels Area SD,22,101301303,AverageDailyMembership(ADM),1020.28
Catalyst Academy CS,22,102024758,AverageDailyMembership(ADM),174.96
Catasauqua Area SD,22,121391303,AverageDailyMembership(ADM),1666.54
Centennial SD,22,122092002,AverageDailyMembership(ADM),5427.11
Center for Student Learning CS at Pennsbury,22,122090001,AverageDailyMembership(ADM),159.73
Central Bucks SD,22,122092102,AverageDailyMembership(ADM),17795.75
Central Cambria SD,22,108111303,AverageDailyMembership(ADM),1614.1
Central Columbia SD,22,116191503,AverageDailyMembership(ADM),1935.35
Central Dauphin SD,22,115221402,AverageDailyMembership(ADM),13694.81
Central Fulton SD,22,111291304,AverageDailyMembership(ADM),959.72
Central Greene SD,22,101301403,AverageDailyMembership(ADM),1600.77
Central Montco Technical High School,22,123460957,AverageDailyMembership(ADM),
Central PA Digital Lrng Foundation CS,22,108070001,AverageDailyMembership(ADM),157.22
Central PA Institute of Science & Techno,22,110141607,AverageDailyMembership(ADM),
Central Valley SD,22,127042003,AverageDailyMembership(ADM),2410.39
Central Westmoreland CTC,22,107651207,AverageDailyMembership(ADM),
Central York SD,22,112671303,AverageDailyMembership(ADM),5849.47
Centre Learning Community CS,22,110143060,AverageDailyMembership(ADM),64.99
Chambersburg Area SD,22,112281302,AverageDailyMembership(ADM),9621.89
Charleroi SD,22,101631803,AverageDailyMembership(ADM),1415.56
Chartiers Valley SD,22,103021752,AverageDailyMembership(ADM),3392.74
Chartiers-Houston SD,22,101631903,AverageDailyMembership(ADM),1219.09
Cheltenham SD,22,123461302,AverageDailyMembership(ADM),4332.49
Chester Charter Scholars Academy CS,22,125236827,AverageDailyMembership(ADM),695.84
Chester Community CS,22,125232950,AverageDailyMembership(ADM),4570.14
Chester County Technical College High School - Pickering Campus,22,124151607,AverageDailyMembership(ADM),
Chester-Upland SD,22,125231232,AverageDailyMembership(ADM),6791.55
Chestnut Ridge SD,22,108051503,AverageDailyMembership(ADM),1280.54
Chichester SD,22,125231303,AverageDailyMembership(ADM),3294.57
Christopher Columbus CS,22,126513160,AverageDailyMembership(ADM),861.32
Circle of Seasons CS,22,121394017,AverageDailyMembership(ADM),406.26
City CHS,22,102020001,AverageDailyMembership(ADM),552.91
Clairton City SD,22,103021903,AverageDailyMembership(ADM),973.24
Clarion Area SD,22,106161203,AverageDailyMembership(ADM),775.01
Clarion County Career Center,22,106161357,AverageDailyMembership(ADM),
Clarion-Limestone Area SD,22,106161703,AverageDailyMembership(ADM),815.41
Claysburg-Kimmel SD,22,108071504,AverageDailyMembership(ADM),792.17
Clearfield Area SD,22,110171003,AverageDailyMembership(ADM),2163.4
Clearfield County CTC,22,110171607,AverageDailyMembership(ADM),
Coatesville Area SD,22,124151902,AverageDailyMembership(ADM),8697.5
Cocalico SD,22,113361303,AverageDailyMembership(ADM),3060.46
Collegium CS,22,124153320,AverageDailyMembership(ADM),2831.0
Colonial SD,22,123461602,AverageDailyMembership(ADM),5377.77
Columbia Borough SD,22,113361503,AverageDailyMembership(ADM),1304.78
Columbia-Montour AVTS,22,116191757,AverageDailyMembership(ADM),
Commodore Perry SD,22,104431304,AverageDailyMembership(ADM),432.16
Commonwealth Charter Academy CS,22,115220002,AverageDailyMembership(ADM),20547.09
Community Academy of Philadelphia CS,22,126512840,AverageDailyMembership(ADM),1231.78
