Cat,AUN,LEA Name,County,"Instruction
1000","Support Services
2000","Non-Instructional Services
3000",Current Expenditures,"Facilities Acquisition, Construction and Improvement
4000","Other Expenditures and Financing Uses
5000",Total Expenditures ,Actual Instructional Expense,Regular Programs - E/S 1100,Special and Gifted Education 1200,Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Community / Junior College Education Programs 1700,Pre-Kindergarten 1800,Pupil Personnel 2100,Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,112011103.0,Bermudian Springs SD,Adams,13625951.95,7198060.01,800861.34,21624873.3,,3291142.95,24916016.25,,10447833.63,2114117.83,756264.32,304686.32,,3049.85,,,518848.73,788379.22,1910173.18,238884.63,264449.4,1587142.29,1875976.63,55.0,14150.93
1.0,112011603.0,Conewago Valley SD,Adams,29395493.69,11598678.45,713377.64,41707549.78,,4166202.74,45873752.52,,21026570.85,5990068.82,1585301.01,793105.01,,448.0,,,1183464.46,1612797.74,2721294.85,522787.75,356360.78,2616774.99,2554808.29,,30389.59
1.0,112013054.0,Fairfield Area SD,Adams,8920415.64,4736291.79,485195.32,14141902.75,,1728341.37,15870244.12,,6030002.4,2137338.94,671907.31,81166.99,,,,,476790.25,264884.04,1250528.6,142563.54,415935.8,1088436.27,798832.56,286088.45,12232.28
1.0,112013753.0,Gettysburg Area SD,Adams,29744163.52,15085200.5,1033932.15,45863296.169999994,,11588745.64,57452041.81,,20562134.96,5595234.96,2744872.57,813595.44,28325.59,,,,1550667.11,905166.51,2721820.9,489315.28,720862.51,4590851.67,3080907.98,957470.94,68137.6
1.0,112015203.0,Littlestown Area SD,Adams,17419907.74,6956423.17,441259.0,24817589.909999996,,1934102.86,26751692.77,,12142582.13,3893021.88,1079541.65,304762.08,,,,,678979.59,1204239.45,1717258.05,216492.12,275774.92,1762848.15,1082787.44,,18043.45
1.0,112018523.0,Upper Adams SD,Adams,13880903.9,7926744.29,646903.05,22454551.240000002,,1514619.36,23969170.6,,9229336.94,3708909.56,741923.27,200734.13,,,,,536676.3,1773713.64,2024303.41,227085.48,308891.11,1676650.23,1367519.47,,11904.65
1.0,103020603.0,Allegheny Valley SD,Allegheny,9999147.15,6206679.94,578260.83,16784087.919999998,,3702516.61,20486604.53,,7462804.75,2325613.02,148764.54,60478.08,1486.76,,,,383976.8,554785.79,1309425.82,166560.85,384491.13,1969732.28,1037131.53,359300.99,41274.75
1.0,103020753.0,Avonworth SD,Allegheny,13904983.91,7517956.83,904466.98,22327407.720000003,,2492737.92,24820145.64,,10118310.92,3448008.78,307129.12,31535.09,,,,,925668.17,448699.3,1521103.8,293940.06,316153.97,1811556.77,1515706.8,592908.02,92219.94
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,32482472.37,18660295.1,1378975.95,52521743.42,,9193261.14,61715004.56,,24673240.74,5719895.08,2069383.67,-11573.52,31526.4,,,,1478115.55,959612.98,3802448.12,509674.73,1037312.42,6348442.83,4143106.77,331869.15,49712.55
1.0,103021252.0,Bethel Park SD,Allegheny,49002369.93,21388173.92,1481538.79,71872082.64,71175.28,9720347.86,81663605.78,,35632078.71,9955940.55,2836609.74,566764.08,10976.85,,,,1668714.03,1541861.42,3619541.05,907564.61,628500.52,6266407.87,3800734.31,1614861.51,1339988.6
1.0,103021453.0,Brentwood Borough SD,Allegheny,12288967.4,5804013.23,761050.46,18854031.090000004,69203.99,1784720.23,20707955.31,,9391089.85,2626318.25,227850.0,43709.3,,,,,692729.78,244897.57,1565531.08,404580.19,296445.66,1801822.39,556041.06,231669.74,10295.76
1.0,103021603.0,Carlynton SD,Allegheny,15885101.62,7906253.16,538682.88,24330037.66,7028046.04,2630.66,31360714.36,,11743208.82,3349180.95,747581.9,19335.95,25794.0,,,,836631.56,514926.29,1840665.57,272761.95,287772.81,2282343.13,1851561.2,,19590.65
1.0,103021752.0,Chartiers Valley SD,Allegheny,32284432.18,16559456.9,1493439.71,50337328.79,37847.73,4039429.94,54414606.46,,24703670.2,6456396.68,800910.75,306473.35,16981.2,,,,1659293.37,1200711.56,3659690.5,332083.46,638057.48,5333242.02,3669154.73,6876.69,60347.09
1.0,103021903.0,Clairton City SD,Allegheny,9561036.0,4124144.0,339410.0,14024590.0,1700.0,149514.0,14175804.0,,6792005.0,2460728.0,204227.0,87945.0,16131.0,,,,338782.0,444659.0,1298030.0,79193.0,157557.0,1150081.0,441012.0,211403.52,3426.48
