Cat,AUN,LEA Name,County,"Instruction
1000","Support Services
2000","Non-Instructional Services
3000",Current Expenditures,"Facilities Acquisition, Construction and Improvement
4000","Other Expenditures and Financing Uses
5000",Total Expenditures ,Actual Instructional Expense (AIE),Regular Programs - E/S 1100,Special and Gifted Education 1200,"Vocational Education Programs
1300",Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Community / Junior College Education Programs 1700,"Pre-Kindergarten
1800","Pupil Personnel
2100","Instructional Staff
2200","Administration
2300","Pupil Health
2400","Business
2500",Operation & Maintenance of Plant Services 2600,"Student Transportation Services
2700","Central
2800","Other Support Services
2900"
1.0,112011103.0,Bermudian Springs SD,Adams,14788897.26,7604834.61,900673.24,23294405.11,1593440.14,2088489.66,26976334.91,16854780.81,11135950.81,2544682.96,820500.03,285160.04,,2603.42,,,571096.39,953610.59,2112629.78,271275.98,330687.44,1684461.26,1666960.43,,14112.74
1.0,112011603.0,Conewago Valley SD,Adams,35943602.34,12093123.6,767540.49,48804266.43000001,,10518693.87,59322960.3,36139576.55,25123674.51,8295566.27,1767218.94,757204.72,,-62.1,,,1268331.9,1909921.37,2764569.66,620129.0,290432.09,2615433.47,2585700.87,,38605.24
1.0,112013054.0,Fairfield Area SD,Adams,9204626.6,4794960.67,478022.71,14477609.98,,7775181.47,22252791.45,10983325.17,6179427.12,2187323.21,743781.79,94094.48,,,,,495513.57,254008.09,1461085.08,139790.48,303345.66,1086928.56,791144.23,250965.99,12179.01
1.0,112013753.0,Gettysburg Area SD,Adams,33800099.77,17236515.97,1077692.55,52114308.29,,5547205.59,57661513.88,39399732.17,23364232.78,6606100.03,3014951.65,789532.18,25283.13,,,,1544381.69,1439734.48,3190216.83,570951.09,760170.52,5584845.48,3073781.73,1013954.33,58479.82
1.0,112015203.0,Littlestown Area SD,Adams,18904811.73,6942111.45,484430.6,26331353.78,,1899480.01,28230833.79,20154230.48,12615271.59,4636320.94,1289436.98,363782.22,,,,,771171.58,1195344.18,1647045.3,235650.23,263890.75,1673933.04,995770.51,141102.36,18203.5
1.0,112018523.0,Upper Adams SD,Adams,14730973.19,8831114.53,641667.23,24203754.95,,1902285.64,26106040.59,17612170.93,10061680.65,3658184.44,804872.13,206235.97,,,,,583995.78,2293908.83,2032658.43,249950.55,361155.61,1924203.41,1367266.5,90.0,17885.42
1.0,103020603.0,Allegheny Valley SD,Allegheny,10522268.4,7015780.87,659445.83,18197495.099999998,,3449181.72,21646676.82,13909410.85,7881688.91,2257358.24,231324.36,148599.19,3297.7,,,,396960.91,680168.96,1543765.53,180649.31,370383.79,2349464.55,1072334.26,385716.01,36337.55
1.0,103020753.0,Avonworth SD,Allegheny,15703342.59,7760365.82,915588.93,24379297.34,,2628426.99,27007724.33,18931964.6,11496921.45,3863298.21,292793.57,50329.36,,,,,986222.47,306896.77,1794940.81,223984.8,351638.93,1931489.11,1435688.55,689562.2,39942.18
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,33384710.83,19767298.03,1384767.3,54536776.16,1910436.0,6274154.71,62721366.87,40418825.55,24570859.71,6636843.66,2127037.56,5784.9,44185.0,,,,1576265.06,1135591.63,4004500.71,532757.04,1144881.87,6238025.08,4632687.27,453220.33,49369.04
1.0,103021252.0,Bethel Park SD,Allegheny,50312450.64,21777198.75,1570229.89,73659879.28,60343.34,9060475.98,82780698.6,57019065.01,35982322.79,10840362.07,2908238.0,364966.26,25311.52,,,191250.0,1683878.2,1541483.06,4086161.38,925277.81,676011.1,6512385.23,3840101.49,1707005.71,804894.77
1.0,103021453.0,Brentwood Borough SD,Allegheny,12682276.97,5574578.78,678087.77,18934943.52,76722.86,9959620.41,28971286.79,14043994.28,9672602.91,2839543.71,153969.0,16161.35,,,,,404431.54,492599.55,1506576.82,371869.78,292532.75,1731428.22,521322.26,243617.12,10200.74
1.0,103021603.0,Carlynton SD,Allegheny,16355240.27,9026831.01,608026.15,25990097.43,2315.0,7754.69,26000167.12,19223211.49,12234317.36,3379764.77,704252.52,3544.62,33361.0,,,,1084038.67,595477.76,1927082.83,261841.46,327058.18,2920287.86,1891660.33,,19383.92
1.0,103021752.0,Chartiers Valley SD,Allegheny,36125090.01,18191681.97,1528802.92,55845574.9,216.35,4889628.78,60735420.03,42790473.51,27975141.69,6932284.17,730591.02,458288.13,28785.0,,,,1958441.08,1258594.58,3452952.05,356639.48,731936.38,5618770.17,4137589.86,52190.0,624568.37
1.0,103021903.0,Clairton City SD,Allegheny,10227443.0,4238259.0,352096.0,14817798.0,,132213.0,14950011.0,10348615.4,7160930.0,2624898.0,293312.0,134758.0,12870.0,,675.0,,358787.0,613937.0,1108953.0,75442.0,184803.0,1110761.0,493913.0,288174.0,3489.0
1.0,103022103.0,Cornell SD,Allegheny,7820080.0,3832369.0,418772.0,12071221.0,,1163445.0,13234666.0,8834939.89,5153141.0,1976812.0,225419.0,459754.0,,4954.0,,,282334.0,237006.0,969978.0,121757.0,288358.0,1257968.0,664245.0,,10723.0
1.0,103022253.0,Deer Lakes SD,Allegheny,17559887.87,11936378.83,557063.0,30053329.700000003,,4278636.88,34331966.58,21678808.72,12591023.31,4149814.11,602952.38,206489.85,9608.22,,,,1089197.3,374177.03,1861478.61,252556.43,381395.43,3777265.66,2791412.42,1376247.62,32648.33
1.0,103022503.0,Duquesne City SD,Allegheny,11246313.59,4484724.34,25603.37,15756641.299999999,,1556260.18,17312901.48,11307676.92,8250127.58,2625848.07,,155713.56,29930.72,,,184693.66,857255.5,584811.35,461046.2,95928.3,340019.75,1145401.22,787255.03,208575.06,4431.93
1.0,103022803.0,East Allegheny SD,Allegheny,19708657.81,8880252.7,401193.34,28990103.849999998,,2797705.0,31787808.85,18901268.7,13584707.36,5121774.85,730244.05,271931.55,,,,,783234.0,511363.0,1658756.0,404234.14,396991.96,2716160.82,2393031.94,385.46,16095.38
1.0,103023153.0,Elizabeth Forward SD,Allegheny,22382966.84,11981995.78,1049795.28,35414757.9,142847.89,3374738.62,38932344.41,25818383.83,16046191.08,4798251.5,1331503.51,204845.55,,,2175.2,,966969.91,1584760.67,2262864.19,445417.74,420310.82,3850922.06,2147250.55,277911.58,25588.26
1.0,103023912.0,Fox Chapel Area SD,Allegheny,54660705.75,27669024.66,2417568.64,84747299.05,113889.39,5161821.24,90023009.68,66922767.98,41710887.31,11322431.65,666937.0,943955.79,16494.0,,,,3471187.21,3962750.36,6448375.33,850907.4,1243153.8,6876898.07,3860255.13,830590.19,124907.17
1.0,103024102.0,Gateway SD,Allegheny,42517710.89,19033785.92,1082310.46,62633807.27,,5030387.43,67664194.7,48327177.55,28769788.7,11231238.54,2299431.53,189997.79,27254.33,,,,2229979.41,1108602.57,3799612.33,673596.28,993778.76,5922032.62,3800856.04,432120.76,73207.15
1.0,103024603.0,Hampton Township SD,Allegheny,26605511.81,13951980.58,1213408.33,41770900.72,,6216976.75,47987877.47,32521325.53,22450059.68,3457172.36,668385.15,29894.62,,,,,1334636.55,1223614.31,3257235.16,441634.45,398073.01,4267769.86,2077467.41,903811.31,47738.52
1.0,103024753.0,Highlands SD,Allegheny,26090851.98,13417419.97,708397.93,40216669.88,,2585362.25,42802032.13,27987774.94,17512943.41,7870289.42,440954.19,107443.34,,,,159221.62,1054951.05,777848.68,2281401.07,492136.74,503065.41,4890691.88,2475065.16,920969.07,21290.91
1.0,103025002.0,Keystone Oaks SD,Allegheny,21230970.42,12322173.36,1049645.82,34602789.6,,4732327.73,39335117.33,25661522.9,15403816.85,4809304.75,409241.52,608607.3,,,,,1139698.46,426388.17,2262588.72,571078.39,608735.48,4358074.9,2265494.73,653056.27,37058.24
