Cat,AUN,LEA Name,County,"Instruction
1000","Support Services
2000","Non-Instructional Services
3000",Current Expenditures,"Facilities Acquisition, Construction and Improvement
4000","Other Expenditures and Financing Uses
5000",Total Expenditures ,"Actual
Instruction Expense (AIE)",Regular Programs - E/S 1100,Special and Gifted Education 1200,"Vocational Education Programs
1300",Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Community / Junior College Education Programs 1700,"Pre-Kindergarten
1800","Pupil Personnel
2100","Instructional Staff
2200","Administration
2300","Pupil Health
2400","Business
2500",Operation & Maintenance of Plant Services 2600,"Student Transportation Services
2700","Central
2800","Other Support Services
2900"
1.0,112011103.0,Bermudian Springs SD,Adams,15622994.81,8136107.28,989240.63,24748342.72,,3506812.0,28255154.72,17503535.25,11850141.15,2596891.19,863901.91,308954.85,,3105.71,,,589721.31,1194287.74,2366678.65,270493.47,351380.39,1625818.23,1723365.19,,14362.3
1.0,112011603.0,Conewago Valley SD,Adams,37026770.9,12556135.25,824239.84,50407145.99,,7791313.31,58198459.3,37879787.74,26011815.46,8355938.57,1843789.77,815227.1,,,,,1328014.96,2085734.08,2975040.67,649126.94,317771.76,2631840.97,2530163.9,,38441.97
1.0,112013054.0,Fairfield Area SD,Adams,9369421.02,4851754.0,508317.21,14729492.23,,2316988.42,17046480.65,10961729.93,6348943.22,2210059.27,715766.22,94652.31,,,,,512155.43,277079.48,1342192.69,146488.89,332864.86,1165854.31,857848.85,205223.64,12045.85
1.0,112013753.0,Gettysburg Area SD,Adams,34445735.68,17249675.08,1138535.71,52833946.47,3000.0,6133574.03,58970520.5,39533756.66,23433506.29,7244549.05,3032587.6,715381.74,19711.0,,,,1489552.42,1585115.95,3318636.66,608554.01,768740.31,5322396.62,3068590.86,1029324.32,58763.93
1.0,112015203.0,Littlestown Area SD,Adams,19245995.52,7634306.25,538305.34,27418607.11,,3171851.05,30590458.16,20651159.69,12560039.84,5067664.16,1181848.04,419333.48,17110.0,,,,756687.66,1321394.62,1776757.58,240822.87,284535.26,1700040.08,1343307.28,192741.42,18019.48
1.0,112018523.0,Upper Adams SD,Adams,14460558.57,8999151.89,684481.91,24144192.37,,1938728.68,26082921.05,16939962.12,10091749.84,3459615.08,715031.81,194161.84,,,,,521581.71,2716107.52,2171360.03,238380.25,324352.52,1621757.75,1393742.5,,11869.61
1.0,103020603.0,Allegheny Valley SD,Allegheny,11268933.68,7250026.81,678391.82,19197352.31,,2029974.69,21227327.0,14461465.85,8100292.05,2764041.82,243677.68,160159.13,763.0,,,,435051.67,718222.74,1536908.86,202984.49,397901.53,2348081.96,1193349.71,377836.25,39689.6
1.0,103020753.0,Avonworth SD,Allegheny,16479461.54,8449350.78,965678.35,25894490.67,,2906597.7,28801088.37,20123546.8,12130641.58,4027954.63,271861.45,49003.88,,,,,1172093.69,459399.39,1893181.19,237228.76,348018.7,1967270.44,1745525.34,565150.06,61483.21
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,35620972.62,19663865.45,1332971.22,56617809.29,1160768.25,6579981.23,64358558.77,42048989.17,27046862.44,6583834.81,1930329.72,9358.65,50587.0,,,,1586669.42,1200575.4,3970506.29,473231.66,1223225.11,6157607.28,4530549.99,468040.47,53459.83
1.0,103021252.0,Bethel Park SD,Allegheny,51136823.52,21155920.73,1495684.2,73788428.45,32215.48,9657191.94,83477835.87,57270368.28,36955660.33,10597174.84,3038562.14,329648.48,24555.75,,,191221.98,1636332.76,1679132.23,4094615.4,1040496.39,606074.6,6398204.09,3642598.9,1423142.83,635323.53
