Ctgy,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,"Actual
Instruction Expense (AIE)","Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,112011103.0,Bermudian Springs SD,Adams,17572869.37,8838539.79,978961.51,27390370.67,,3311468.18,30701838.85,19865174.07,12854451.92,3489652.71,896800.29,328585.39,,3379.06,,,606591.55,1092023.23,2743723.34,283770.7,384404.17,1795637.22,1918596.38,,13793.2
1.0,112011603.0,Conewago Valley SD,Adams,39154764.13,13247194.93,825201.61,53227160.67,,3677742.52,56904903.19,39925163.57,26311749.14,9988927.69,1924152.43,929861.7,,73.17,,,1358658.33,2720311.04,2909810.66,626548.81,338073.96,2636804.35,2619470.42,7577.75,29939.61
1.0,112013054.0,Fairfield Area SD,Adams,9565359.22,5009317.31,509398.32,15084074.85,46214.1,1785360.37,16915649.32,11258142.89,6379529.11,2289742.75,783230.15,99968.21,12889.0,,,,530685.49,303492.53,1375511.65,130204.44,339695.77,1118129.76,978905.68,221170.68,11521.31
1.0,112013753.0,Gettysburg Area SD,Adams,35854096.76,17510835.1,1209951.6,54574883.46,,7011507.9,61586391.36,40519083.87,24662728.22,7400445.82,3127230.92,647158.8,16533.0,,,,1548649.5,1641792.74,3353309.44,604227.58,756896.35,5433070.77,3177410.16,956035.57,39442.99
1.0,112015203.0,Littlestown Area SD,Adams,20119921.32,8160595.94,540555.74,28821073.0,16379.37,3697172.7,32534625.07,21795799.28,12959961.07,5351528.16,1260991.56,533809.38,13631.15,,,,982102.41,1662947.41,1783727.06,264948.3,274240.4,1753801.37,1221908.79,199518.72,17401.48
1.0,112018523.0,Upper Adams SD,Adams,15455102.2,8684707.56,625785.0,24765594.76,,1726031.46,26491626.22,17644424.19,10695896.3,3772145.27,763937.44,223123.19,,,,,567914.71,2217201.78,2143594.88,269677.88,330847.67,1647650.28,1395217.22,101174.14,11429.0
1.0,103020603.0,Allegheny Valley SD,Allegheny,11699062.52,7578970.08,715676.04,19993708.64,,2326156.16,22319864.8,15053495.93,8455567.31,2854486.6,249094.71,138975.9,938.0,,,,442951.89,814602.61,1606360.12,197799.77,353765.14,2387650.83,1254348.28,481085.97,40405.47
1.0,103020753.0,Avonworth SD,Allegheny,17448719.99,9161706.59,970823.9,27581250.48,,3817229.23,31398479.71,21200947.5,12799573.16,4319269.24,297263.61,27364.98,5249.0,,,,1209862.7,697301.9,1840373.69,239019.08,321098.12,2111721.26,1866425.41,820164.53,55739.9
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,37057687.71,21083089.59,1362070.7,59502848.0,759011.03,7824399.51,68086258.54,42873781.67,27663447.08,6910185.09,2452749.38,9379.16,21927.0,,,,1674681.6,1370505.23,3967364.41,529313.25,1196412.13,6109456.29,5712326.89,469766.03,53263.76
1.0,103021252.0,Bethel Park SD,Allegheny,51697051.27,21062831.78,1529252.57,74289135.62,56650.0,11691491.0,86037276.62,57822708.84,37297622.4,10871641.22,2901032.34,403246.3,32259.01,,,191250.0,1549962.09,1770819.93,3764051.01,1033204.86,662450.56,6603986.91,3404756.29,1824486.11,449114.02
