Cat,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,Actual Instruction Expense (AIE),"Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,112011103.0,Bermudian Springs SD,Adams,17094222.54,8689190.32,1006323.59,26789736.45,31992.0,2878182.94,29699911.39,18907790.15,12775074.94,3075025.5,971745.77,269792.71,,2583.62,,,667639.75,1043547.8,2721647.61,294254.11,406639.01,1843746.52,1701939.19,,9776.33
1.0,112011603.0,Conewago Valley SD,Adams,42218832.4,13885295.91,885574.55,56989702.86,,4344728.12,61334430.98,42692392.53,27610985.03,11387650.98,2279976.55,912740.71,27479.13,,,,1341981.31,2748525.08,3138603.83,619345.27,491570.26,3004014.12,2512371.62,7718.0,21166.42
1.0,112013054.0,Fairfield Area SD,Adams,9771071.39,5610270.97,502853.0,15884195.36,,14772672.0,30656867.36,11668169.75,6556462.14,2251658.51,877079.14,85871.6,,,,,571581.54,242751.05,1666796.79,309018.0,400625.0,1286785.21,842906.0,281673.18,8134.2
1.0,112013753.0,Gettysburg Area SD,Adams,37570812.51,17864770.53,1180421.51,56616004.55,18287.6,6656511.16,63290803.31,42140285.75,25888827.4,7636990.26,3416100.05,624607.8,4287.0,,,,1705506.85,1778595.25,3425169.34,500688.56,883435.83,5270508.43,3051718.06,1210596.48,38551.73
1.0,112015203.0,Littlestown Area SD,Adams,21602683.88,8650718.63,581382.94,30834785.45,,2541737.04,33376522.49,23365063.78,14534148.54,5260700.01,1299617.84,499382.49,8835.0,,,,1063178.21,1579315.05,1942612.89,331869.28,304523.67,1898540.67,1359275.6,159127.13,12276.13
1.0,112018523.0,Upper Adams SD,Adams,16437834.96,9132183.4,709148.59,26279166.95,,2034967.24,28314134.19,18718736.0,10994985.19,4274308.14,809959.62,208302.56,,,,150279.45,629334.44,2135367.13,2389998.09,321761.02,334673.57,1679198.88,1489225.13,144572.7,8052.44
1.0,103020603.0,Allegheny Valley SD,Allegheny,12212934.0,7439355.43,650460.05,20302749.48,,3850655.69,24153405.17,15250152.41,8426379.7,3276799.8,196868.08,124393.78,1386.21,,,187106.43,311228.11,694908.97,1606383.59,218942.36,414251.96,2363968.68,999405.48,778561.27,51705.01
1.0,103020753.0,Avonworth SD,Allegheny,19535457.58,9378762.08,1081052.05,29995271.709999997,,3303897.35,33299169.06,23548929.83,14234047.51,4948418.63,331388.44,18260.0,3343.0,,,,1326664.21,875354.08,2045549.96,265775.18,357415.42,2094072.24,1598674.93,767999.44,47256.62
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,39413113.64,19457330.42,1169132.9,60039576.96,810131.02,8382149.9,69231857.88,43091244.01,29902899.24,7082842.67,2422209.41,5162.32,,,,,1962787.11,1158884.53,3644102.81,603448.71,1132064.04,5835464.45,4539869.86,531818.54,48890.37
1.0,103021252.0,Bethel Park SD,Allegheny,53934370.11,22324604.95,1509547.48,77768522.54,9439.36,8020976.52,85798938.42,59705595.89,38527113.19,12028336.76,2855888.97,345867.5,28413.69,,,148750.0,1867012.06,1911666.73,4019483.58,1112679.79,699213.05,7021284.36,3439076.49,1707954.06,546234.83
1.0,103021453.0,Brentwood Borough SD,Allegheny,14944156.41,6208673.9,779742.38,21932572.69,84672.1,1812089.88,23829334.67,16407721.98,11160833.44,3422485.09,327890.0,17000.0,6099.0,,,9848.88,541649.55,533633.67,1663348.08,366056.29,341393.32,1990576.2,610585.76,151660.12,9770.91
1.0,103021603.0,Carlynton SD,Allegheny,18288556.71,8621676.36,633082.16,27543315.23,39319.99,1719903.75,29302538.97,20998798.54,13311110.38,4064057.26,782198.04,79785.24,51405.79,,,,1183705.91,1084528.49,1888718.05,257641.55,342378.51,2697201.84,1148905.57,,18596.44
1.0,103021752.0,Chartiers Valley SD,Allegheny,40622775.11,17944918.72,1406874.26,59974568.089999996,,5190435.71,65165003.8,44969226.61,32253179.73,7673443.97,659509.33,16175.99,20466.09,,,,1385806.3,1589657.7,2927794.17,505115.99,1085117.09,5239395.89,4493079.2,118.44,718833.94
1.0,103021903.0,Clairton City SD,Allegheny,11298877.36,5237334.25,385653.23,16921864.84,334020.8,160983.02,17416868.66,11958209.87,8210107.01,2737044.99,286506.32,56295.78,8398.26,,525.0,,650528.74,497287.86,1414161.09,163943.09,387718.78,1397077.42,454972.59,267962.89,3681.79
1.0,103022103.0,Cornell SD,Allegheny,8719127.0,4817703.0,441568.0,13978398.0,,1125731.0,15104129.0,10364822.19,6331648.0,1806436.0,203791.0,374170.0,,3082.0,,,377694.0,572270.0,1191368.0,146652.0,331454.0,1470748.0,717841.0,,9676.0
1.0,103022253.0,Deer Lakes SD,Allegheny,21054361.24,12681028.23,695099.75,34430489.22,58213.0,3965208.07,38453910.29,25105048.88,14882825.87,5383449.16,772851.59,10759.37,4475.25,,,,1074584.31,705902.6,2303846.89,315499.76,537583.1,3719811.79,2806932.18,1187132.61,29734.99
1.0,103022503.0,Duquesne City SD,Allegheny,14419006.07,5612656.96,90699.21,20122362.240000002,,1639890.69,21762252.93,15215783.75,10158612.87,3534064.11,165923.0,192516.44,15384.52,,,352505.13,1477093.99,1067161.81,698135.75,63785.99,244492.7,1046947.15,766393.45,245809.61,2836.51
1.0,103022803.0,East Allegheny SD,Allegheny,20060089.0,10511181.0,463293.0,31034563.0,208167.37,2897229.0,34139959.37,18231790.4,13807056.2,5209952.0,662136.42,368484.28,12460.1,,,,1363400.61,962508.08,1432117.0,280007.0,453768.0,2972673.0,2893610.0,138996.0,14101.31
1.0,103023153.0,Elizabeth Forward SD,Allegheny,23844847.3,13130513.69,1175807.27,38151168.260000005,,4513074.98,42664243.24,27164552.96,16326583.12,5796235.96,1538727.09,180996.13,2305.0,,,,1230196.13,1607442.25,2660907.91,518948.22,621385.42,4540717.23,1634150.05,294525.37,22241.11
1.0,103023912.0,Fox Chapel Area SD,Allegheny,62290719.71,29745146.71,2637296.76,94673163.18,273788.52,7077425.8,102024377.5,74562430.04,47558130.01,12824317.96,676605.44,925559.39,13605.0,,,292501.91,4005912.36,4501405.37,6308188.25,778530.24,1516522.28,8114309.76,3763587.38,655041.69,101649.38
1.0,103024102.0,Gateway SD,Allegheny,48446872.27,24218459.39,1184016.85,73849348.50999999,,26575162.93,100424511.44,56137217.85,29976264.19,15565876.51,2464476.16,399589.57,40665.84,,,,2846965.93,2058031.67,6333184.52,594742.62,992735.42,6711304.65,4122525.33,494241.51,64727.74
1.0,103024603.0,Hampton Township SD,Allegheny,30941817.71,15820300.63,1335491.4,48097609.74,,5456007.78,53553617.52,36819267.93,25675870.62,4559019.4,689917.5,13038.19,3972.0,,,,1762720.89,1231423.34,3694109.16,453584.98,472236.08,4977029.2,2154594.24,1029257.06,45345.68
1.0,103024753.0,Highlands SD,Allegheny,27793598.31,13069619.66,779118.69,41642336.66,,848093.42,42490430.08,28794945.32,18989547.73,8010213.4,418171.15,78166.03,,,,297500.0,1185540.79,715228.02,2298117.43,466282.0,647730.7,3954855.39,2484015.33,1296822.87,21027.13
1.0,103025002.0,Keystone Oaks SD,Allegheny,24227961.05,12735071.2,948445.75,37911478.0,,6413227.49,44324705.49,28143955.61,17059420.66,5694639.08,443600.87,896518.16,,133782.28,,,1545512.39,618689.05,2337834.18,456482.09,289876.97,4115744.1,2086294.69,1249180.76,35456.97
1.0,103026002.0,McKeesport Area SD,Allegheny,40791159.0,15890232.0,1127087.0,57808478.0,,13052973.0,70861451.0,36925280.28,24628487.0,10838588.0,1151526.0,3487824.0,,,,684734.0,1811326.0,452811.0,3737238.0,534328.0,708749.0,5060700.0,2757709.0,804251.0,23120.0
1.0,103026303.0,Montour SD,Allegheny,37662487.87,18981550.51,1468010.14,58112048.519999996,,37493917.7,95605966.22,44842476.06,27283411.63,8203263.96,2069548.72,65685.42,40578.14,,,,1877768.37,1475353.59,2639472.99,725447.63,691302.18,6360331.72,3484281.11,1655782.3,71810.62
