Cat,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,Actual Instruction Expense,"Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,112011103.0,Bermudian Springs SD,Adams,18581457.91,9762357.9,936726.49,29280542.3,,3856639.11,33137181.41,20708871.58,14086992.09,3197084.44,1055070.14,242311.24,,,,,666801.01,1379281.08,3054807.2,336318.76,432307.7,2055221.92,1830634.8,,6985.43
1.0,112011603.0,Conewago Valley SD,Adams,45700189.21,15655878.94,953352.72,62309420.87,,12978214.37,75287635.24,46117749.12,30569703.91,11827355.19,2413389.92,861744.52,27995.67,,,,1505787.64,3598749.0,3208867.53,630790.91,497705.99,3384206.05,2809298.79,,20473.03
1.0,112013054.0,Fairfield Area SD,Adams,11009490.32,6039717.63,445160.97,17494368.919999998,,1949364.46,19443733.38,13338618.35,7771402.37,2403752.08,752795.82,81540.05,,,,,485481.09,184525.09,1748512.06,261015.35,347374.17,1897060.87,802068.48,307941.22,5739.3
1.0,112013753.0,Gettysburg Area SD,Adams,39927712.53,18211300.51,1101630.12,59240643.160000004,130240.1,7012126.36,66383009.62,43994861.59,27850609.87,8217195.9,3284710.66,543694.52,31501.58,,,,1729550.42,1789361.34,3531502.26,541742.98,872769.48,5317090.64,3070877.83,1329010.41,29395.15
1.0,112015203.0,Littlestown Area SD,Adams,22561659.22,9412860.69,586899.69,32561419.599999998,,2013277.38,34574696.98,24263902.45,15843349.82,5126979.55,1224177.58,364785.27,2367.0,,,,1084198.95,1899940.67,1931593.91,375618.74,351116.4,2290957.78,1306120.69,164611.94,8701.61
1.0,112018523.0,Upper Adams SD,Adams,17648917.39,9599059.92,830193.55,28078170.860000003,,2374874.76,30453045.62,19786506.18,11956467.55,4478295.56,868838.34,200815.94,,,,144500.0,676026.6,2314266.07,2539661.8,334634.99,353719.74,1771653.22,1453984.26,149468.6,5644.64
1.0,103020603.0,Allegheny Valley SD,Allegheny,12504110.91,7544063.53,613299.43,20661473.87,,5709714.68,26371188.55,15073326.72,8651257.3,3398571.22,186400.3,106998.02,2639.25,,,158244.82,364207.5,690209.71,1596432.58,249880.34,423813.55,2504206.34,852307.27,824727.99,38278.25
1.0,103020753.0,Avonworth SD,Allegheny,20756700.72,9815313.38,1024320.27,31596334.37,,7691690.98,39288025.35,24305264.36,15528169.0,4843033.35,329616.0,53265.46,2616.91,,,,1313341.08,757344.34,2105313.04,297866.59,362027.01,2259093.78,1773410.11,897546.42,49371.01
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,40061334.41,18357563.44,1079944.58,59498842.42999999,1179180.59,8146230.94,68824253.96,43688476.05,30679748.07,7111877.37,2257854.31,818.53,11036.13,,,,1734707.05,1137532.91,4019024.48,560674.63,1182397.68,5846575.92,3175218.01,649172.09,52260.67
1.0,103021252.0,Bethel Park SD,Allegheny,57849882.82,23484158.44,1404176.24,82738217.5,24778.01,7354598.54,90117594.05,63543509.68,40282854.03,14436690.25,2700983.68,230456.03,45286.83,,,153612.0,1943746.23,1916614.87,4400462.77,1344105.58,760554.02,7175389.37,3067963.54,2335583.44,539738.62
