Cat,AUN,School District,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Cuurent Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,"Actual Instruction Expense
Summer 2024","Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,112011103.0,Bermudian Springs SD,Adams,19108203.59,11072250.65,1016337.0,31196791.24,,3936895.61,35133686.85,,14445361.15,3343634.18,1081578.81,235086.21,,2543.24,,,692382.46,1085026.27,3600088.43,367796.63,510418.08,2783370.87,2030673.1,,2494.81
1.0,112011603.0,Conewago Valley SD,Adams,49557531.74,17350031.02,1065919.02,67973481.78,,5565037.99,73538519.77,,31793726.01,14323762.48,2534224.07,894451.93,11367.25,,,,1810582.39,3661732.93,3680623.76,645391.32,671650.69,3617297.98,3250137.24,,12614.71
1.0,112013054.0,Fairfield Area SD,Adams,11011380.98,6297242.5,522207.52,17830831.0,,1910096.98,19740927.98,,7291770.71,2877334.86,801301.61,36473.8,4500.0,,,,583849.61,435968.12,1554566.36,198729.05,340249.56,1687269.31,1164797.94,327776.03,4036.52
1.0,112013753.0,Gettysburg Area SD,Adams,41455134.23,21275145.78,1507561.52,64237841.53,,7819439.23,72057280.76,,27788130.98,9407709.47,3881425.26,357229.03,20639.49,,,,1893099.02,2187022.02,3912674.4,678419.14,925298.85,6290441.81,3829500.47,1551949.29,6740.78
1.0,112015203.0,Littlestown Area SD,Adams,23022706.63,10679023.27,627123.64,34328853.54,32706.26,4698217.23,39059777.03,,15874199.89,5457023.41,1342452.4,302291.61,11450.0,,,35289.32,1653037.51,2013607.51,2045465.88,393040.06,403814.96,2335727.21,1642185.53,189050.03,3094.58
1.0,112018523.0,Upper Adams SD,Adams,19576518.07,9933568.56,852896.9,30362983.53,,4642433.92,35005417.45,,13144802.45,5278587.38,886258.9,135365.69,,,,131503.65,775657.82,2651477.78,2330270.23,439005.51,354478.1,1925577.44,1349883.51,105224.81,1993.36
1.0,103020603.0,Allegheny Valley SD,Allegheny,12352536.0,7841789.0,656855.0,20851180.0,,2366716.0,23217896.0,,8286050.0,3409513.0,154778.0,274689.0,15700.0,,,211806.0,635265.0,557757.0,1613032.0,288562.0,508614.0,2392551.0,1297042.0,485622.0,63344.0
1.0,103020753.0,Avonworth SD,Allegheny,21875309.96,10186858.74,1277710.18,33339878.88,,4619267.76,37959146.64,,16088236.62,5337438.49,387988.0,58623.85,3023.0,,,,1378802.01,686145.15,2203131.9,314436.63,398521.72,2398790.64,1883055.27,878870.5,45104.92
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,44394884.0,22391763.73,1531687.0,68318334.73,2904386.38,9784183.67,81006904.78,,33585321.72,8651491.58,2155466.3,2604.4,,,,,2235406.97,2123635.19,4185076.84,519800.81,1113058.74,6984363.62,4416126.98,761433.01,52861.57
1.0,103021252.0,Bethel Park SD,Allegheny,60615237.39,26908143.0,1791459.12,89314839.51,86361.45,9127759.13,98528960.09,,43629390.05,15832100.07,695315.87,262012.51,26418.89,,,170000.0,2325366.13,2170831.32,4884900.88,1117560.23,745023.37,8104283.84,4140081.38,3188350.23,231745.62
1.0,103021453.0,Brentwood Borough SD,Allegheny,17256701.51,7069168.61,797127.79,25122997.91,53634.87,3896298.53,29072931.31,,13059459.55,3795202.28,366906.72,22395.79,,,,12737.17,573232.93,535313.2,1786731.37,329270.99,407745.25,2401860.38,863480.72,161073.8,10459.97
1.0,103021603.0,Carlynton SD,Allegheny,20687979.96,11240235.99,784661.54,32712877.49,1344327.18,747405.85,34804610.52,,14679920.64,5136172.76,855049.86,5867.7,10969.0,,,,1392074.09,1869437.17,1832925.84,352698.06,357314.72,2902907.04,2408406.31,104854.43,19618.33
1.0,103021752.0,Chartiers Valley SD,Allegheny,46412335.73,21852408.46,1609439.58,69874183.77,1285195.31,6111810.77,77271189.85,,36588749.23,8897728.04,909064.51,8437.92,8356.03,,,,1850931.28,2067800.23,3935595.23,619214.07,828340.37,6207278.37,5312340.6,46454.18,984454.13
1.0,103021903.0,Clairton City SD,Allegheny,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,103022103.0,Cornell SD,Allegheny,10359830.0,5343007.0,416425.0,16119262.0,13908.0,1129322.0,17262492.0,,7531230.0,2194989.0,208549.0,425062.0,,,,,344438.0,516584.0,1347701.0,181045.0,500833.0,1572303.0,869897.0,,10206.0
1.0,103022253.0,Deer Lakes SD,Allegheny,23981856.31,12721582.43,724852.94,37428291.68,,4205685.09,41633976.77,,17059286.4,6066203.38,852206.18,,4160.35,,,,1135537.95,607165.27,2728053.22,308874.69,427494.73,3830624.8,2687736.83,968988.09,27106.85
1.0,103022503.0,Duquesne City SD,Allegheny,15015391.0,6097875.0,167525.0,21280791.0,,934795.0,22215586.0,,10523047.0,4147136.0,123093.0,61881.0,13594.0,,,146640.0,1481985.0,780629.0,917248.0,106503.0,384891.0,1286106.0,974106.0,163805.0,2602.0
1.0,103022803.0,East Allegheny SD,Allegheny,24754398.6,12291618.58,613849.07,37659866.25,284404.0,3361005.48,41305275.73,,16956497.12,6149514.61,802672.65,790271.76,55442.46,,,,1941871.7,1156698.0,1521218.12,316879.96,450724.68,3302579.99,3519682.12,67836.11,14127.9
1.0,103023153.0,Elizabeth Forward SD,Allegheny,28407396.18,15622676.86,1489819.34,45519892.38,2381241.01,4002240.05,51903373.44,,20166155.26,6081302.12,1953411.52,202160.28,4367.0,,,,1341697.33,1995926.44,2944272.68,581480.49,616629.33,4937830.8,2795156.38,386374.69,23308.72
1.0,103023912.0,Fox Chapel Area SD,Allegheny,66480605.98,31777820.33,2946061.53,101204487.84,718372.91,10906956.57,112829817.32,,50948222.57,13946766.81,673162.69,670191.42,10418.9,,,231843.59,4425707.77,4525764.03,6490442.67,776051.59,1139733.6,8809840.06,4620597.58,797699.6,191983.43
1.0,103024102.0,Gateway SD,Allegheny,52391523.6,23980814.01,1391024.89,77763362.5,791093.04,5152936.98,83707392.52,,31926111.51,17548992.13,2587996.13,282915.8,45508.03,,,,3228418.31,1553257.23,4595573.1,456961.22,1242493.97,7531319.9,4780726.81,528854.6,63208.87
