Cat,AUN,LEA Name,County,Revenue from Federal Sources 8000,"Payments for Federally Impacted Areas
P.L. 81-874
8110",Other Unrestricted Federal Grants-in-Aid Direct From the Federal Government 8190,Unrestricted Grants-in-Aid From the Federal Government Through the Commonwealth of PA 8200,"Payments for Federally Impacted Areas P.L. 81-815
8310","Energy Conservation Grants - TA and ECM
8320",Other Restricted Federal Grants-in-Aid Directly From the Federal Government 8390,"Grants for IDEA and NCLB Programs Not Specified in the Following 8510 Series
8511","IDEA, Part B 8512","IDEA, Section 619
8513","NCLB, Title I - Improving the Academic Achievement of the Disadvantaged 8514","NCLB, Title II - Preparing, Training and Recruiting High Quality Teachers and Principals 8515","NCLB, Title III - Language Instruction for English Learners and Immigrant Students 8516","NCLB, Title IV - 21st Century Schools 8517","NCLB, Title V - Flexibility and Accountability 8519",Vocational Education - Operating Expenditures 8521,Child Nutrition Program 8530,Nutrition Education and Training 8540,Federal Block Grants 8560,Child Care and Development Block Grants 8580,Adult Basic Education 8620,Economic Opportunity Act (Headstart) 8640,Workforce Investment Act (WIA) 8660,Other Restricted Federal Grants-in-Aid Through the Commonwealth of PA 8690,ARRA - Build America Bonds 8731,ARRA - Qualified School Construction Bonds (QSCB) 8732,ARRA - Qualified Zone Academy Bonds (QZAB) 8733,ARRA - Qualified Energy Conservation Bonds (QECB) 8735,ESSER - Elementary and Secondary School Emergency Relief Fund 8741,Governor's Emergency Education Relief Fund (GEER) 8742,ESSER II - Elementary and Secondary School Emergency Relief Fund 8743,ARP ESSER(ESSER III) - Elementary and Secondary School Emergency Relief Fund 8744,GEER II - Governor's Emergency Education Relief Fund 8745,ARP IDEA 8746,ARP ECF - Emergency Connectivity Fund 8747,ARP IDEA Preschool 8748,"Other CARES and CRRSA Act, and ARP ACT Funding 8749",ARP ESSER Learning Loss 8751,ARP ESSER Summer Programs 8752,ARP ESSER Afterschool Programs 8753,ARP ESSER Homeless Children and Youth Funds (ARP-HCY) 8754,ARP ESSER Emergency Relief for Other Educational Entities 8755,School Based Access Medicaid Reimbursement Program (SBAP) Reimbursements (ACCESS) 8810,Medical Assistance Reimbursements for Administrative Claiming (Quarterly) Program 8820,Medical Assistance Reimbursement (ACCESS) - Early Intervention 8830
1.0,112011103.0,Bermudian Springs SD,Adams,1570583.93,,,,,,,,,,316689.58,62668.76,17080.07,20945.97,,15784.41,,,,,,,,,,,,,,,20700.44,992254.28,,,,,,90857.32,14485.8,10886.65,8230.65,,,,
1.0,112011603.0,Conewago Valley SD,Adams,2890344.27,,,,,,,,,,619442.42,97019.0,14642.72,23604.12,,,,,,,,,,,,,,,,24180.0,1486501.72,348057.68,,,,,,43247.86,,3240.44,,,230408.31,,
1.0,112013054.0,Fairfield Area SD,Adams,615225.81,,,,,,,,,,23393.08,35636.74,,14870.14,,,,,,,,,,,,,,,,,119999.42,375653.85,,,,,,32622.62,6524.98,6524.98,,,,,
1.0,112013753.0,Gettysburg Area SD,Adams,2327646.36,,,,,,57041.2,,,,630534.0,118374.56,29893.07,59987.0,,58435.26,,,,,,,,,,,,,,,389722.25,534589.77,,,146149.85,,,228797.56,2193.9,19679.4,23055.65,29192.89,,,
1.0,112015203.0,Littlestown Area SD,Adams,1798987.29,,,,,,,,,,317713.0,58226.0,,23175.0,,,,,,,,,,,,,,,,,,1236718.0,,,,,,91642.46,18328.12,10332.9,,,42851.81,,
1.0,112018523.0,Upper Adams SD,Adams,2325590.59,,,,,,,,,,281454.2,44337.0,42958.29,22388.0,,,,,,,,,,,,,,,,,586879.46,1314444.59,,,,,,24346.54,333.48,0.41,8448.62,,,,
1.0,103020603.0,Allegheny Valley SD,Allegheny,828736.0,,,,,,,,,,202141.0,29768.0,,16079.0,,,,,,,,,,,,,,,,,,503665.0,,,,,,68793.0,,1002.0,5629.0,,,1659.0,
1.0,103020753.0,Avonworth SD,Allegheny,208357.12,,,,,,,,,,57725.0,24383.0,1071.1,10000.0,,,,,,,,,,,,,,,,,,77692.0,,,,,,25911.0,5182.0,5182.0,,,,1211.02,
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,2575843.22,,,,,,,,,,714535.12,118665.0,91567.73,56155.0,,,,,,,,,,,,,,,,,613183.52,331751.0,,,,,5483.0,92951.35,13616.0,12000.0,13438.0,,488660.81,23836.69,
1.0,103021252.0,Bethel Park SD,Allegheny,1038958.75,,,,,,,,,,230144.0,75567.26,,21245.0,,,,,,,,,,,,,,,,,284834.44,405431.12,,,,,,14685.89,,1988.23,,,,5062.81,
