Cat,AUN,LEA Name,County,"Committed
Fund Balance 0830","Assigned
Fund Balance 0840","Unassigned
Fund Balance 0850"
1.0,112011103.0,Bermudian Springs SD,Adams,95315.0,2924538.0,2745746.0
1.0,112011603.0,Conewago Valley SD,Adams,,7586978.0,385921.0
1.0,112013054.0,Fairfield Area SD,Adams,2748765.0,2633882.0,2876453.0
1.0,112013753.0,Gettysburg Area SD,Adams,9526035.0,5709610.0,5067794.0
1.0,112015203.0,Littlestown Area SD,Adams,,6965636.0,2329383.0
1.0,112018523.0,Upper Adams SD,Adams,,2582270.0,3862593.0
1.0,103020603.0,Allegheny Valley SD,Allegheny,,8700000.0,32277.0
1.0,103020753.0,Avonworth SD,Allegheny,,,7581393.0
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,2973797.0,15626594.0,5799561.0
1.0,103021252.0,Bethel Park SD,Allegheny,16822393.0,295000.0,5569067.0
1.0,103021453.0,Brentwood Borough SD,Allegheny,4000000.0,2828771.0,1388932.0
1.0,103021603.0,Carlynton SD,Allegheny,,622500.0,6906479.0
1.0,103021752.0,Chartiers Valley SD,Allegheny,1687618.0,,4080403.0
1.0,103021903.0,Clairton City SD,Allegheny,,,-839838.0
1.0,103022103.0,Cornell SD,Allegheny,,,-1024321.0
1.0,103022253.0,Deer Lakes SD,Allegheny,,3200000.0,1711122.0
1.0,103022503.0,Duquesne City SD,Allegheny,,,315164.0
1.0,103022803.0,East Allegheny SD,Allegheny,,,-5126101.0
1.0,103023153.0,Elizabeth Forward SD,Allegheny,,5000000.0,3234096.0
1.0,103023912.0,Fox Chapel Area SD,Allegheny,7221889.0,10103896.0,10030607.0
1.0,103024102.0,Gateway SD,Allegheny,4527000.0,,7817402.0
1.0,103024603.0,Hampton Township SD,Allegheny,1519000.0,11148.0,3985990.0
1.0,103024753.0,Highlands SD,Allegheny,3572031.0,14915341.0,3847303.0
1.0,103025002.0,Keystone Oaks SD,Allegheny,5053002.0,573996.0,3349508.0
1.0,103026002.0,McKeesport Area SD,Allegheny,,,7006886.0
1.0,103026303.0,Montour SD,Allegheny,,11757564.0,17456179.0
1.0,103026343.0,Moon Area SD,Allegheny,8000000.0,4000000.0,6098287.0
1.0,103026402.0,Mt Lebanon SD,Allegheny,,772314.0,6522236.0
1.0,103026852.0,North Allegheny SD,Allegheny,1551585.0,3533039.0,16637939.0
1.0,103026902.0,North Hills SD,Allegheny,,13709008.0,5202497.0
1.0,103026873.0,Northgate SD,Allegheny,,8014872.0,2086645.0
1.0,103027352.0,Penn Hills SD,Allegheny,,,13620751.0
1.0,103021003.0,Pine-Richland SD,Allegheny,192471.0,25858787.0,7195264.0
1.0,102027451.0,Pittsburgh SD,Allegheny,75428779.0,33013891.0,60811831.0
1.0,103027503.0,Plum Borough SD,Allegheny,4885502.0,,5501419.0
1.0,103027753.0,Quaker Valley SD,Allegheny,1075000.0,3367500.0,4035013.0
1.0,103028203.0,Riverview SD,Allegheny,4864415.0,789283.0,2279913.0
1.0,103028302.0,Shaler Area SD,Allegheny,,6383669.0,3161151.0
1.0,103028653.0,South Allegheny SD,Allegheny,,3853386.0,75824.0
1.0,103028703.0,South Fayette Township SD,Allegheny,27323177.0,,4195966.0
1.0,103028753.0,South Park SD,Allegheny,,4936779.0,3253108.0
1.0,103028833.0,Steel Valley SD,Allegheny,,1500000.0,1027649.0
1.0,103028853.0,Sto-Rox SD,Allegheny,,,-2552225.0
1.0,103029203.0,Upper St. Clair SD,Allegheny,,3550000.0,7147893.0
1.0,103029403.0,West Allegheny SD,Allegheny,,12725349.0,13997648.0
1.0,103029553.0,West Jefferson Hills SD,Allegheny,13442780.0,,4352369.0
1.0,103029603.0,West Mifflin Area SD,Allegheny,,,4994867.0
1.0,103029803.0,Wilkinsburg Borough SD,Allegheny,,,8376309.0
1.0,103029902.0,Woodland Hills SD,Allegheny,,,8620323.0
1.0,128030603.0,Apollo-Ridge SD,Armstrong,,,9586540.0
1.0,128030852.0,Armstrong SD,Armstrong,6027744.0,4000000.0,8000000.0
1.0,128033053.0,Freeport Area SD,Armstrong,3000000.0,2458.0,2801295.0
1.0,128034503.0,Leechburg Area SD,Armstrong,1102306.0,3732988.0,2456380.0
1.0,127040503.0,Aliquippa SD,Beaver,,,
1.0,127040703.0,Ambridge Area SD,Beaver,,,5423879.0
1.0,127041203.0,Beaver Area SD,Beaver,,6534646.0,2600000.0
1.0,127041503.0,Big Beaver Falls Area SD,Beaver,,3702000.0,2533443.0
1.0,127041603.0,Blackhawk SD,Beaver,,,6577915.0
1.0,127042003.0,Central Valley SD,Beaver,891599.0,1000000.0,2760053.0
1.0,127042853.0,Freedom Area SD,Beaver,5163140.0,,1898156.0
1.0,127044103.0,Hopewell Area SD,Beaver,3110900.0,,1588666.0
1.0,127045303.0,Midland Borough SD,Beaver,,,3723426.0
1.0,127045653.0,New Brighton Area SD,Beaver,250000.0,4055557.0,5273332.0
1.0,127045853.0,Riverside Beaver County SD,Beaver,,1270925.0,2254225.0
1.0,127046903.0,Rochester Area SD,Beaver,,298919.0,457077.0
1.0,127047404.0,South Side Area SD,Beaver,,4837209.0,1569041.0
1.0,127049303.0,Western Beaver County SD,Beaver,,7981.0,1578792.0
1.0,108051003.0,Bedford Area SD,Bedford,2345273.0,,2917736.0
1.0,108051503.0,Chestnut Ridge SD,Bedford,7219168.0,,2823067.0
1.0,108053003.0,Everett Area SD,Bedford,,403355.0,3381019.0
1.0,108056004.0,Northern Bedford County SD,Bedford,1700000.0,1969339.0,2490602.0
1.0,108058003.0,Tussey Mountain SD,Bedford,,,6524446.0
1.0,114060503.0,Antietam SD,Berks,3310894.0,1478992.0,1987855.0
1.0,114060753.0,Boyertown Area SD,Berks,4100000.0,7000000.0,9307690.0
1.0,114060853.0,Brandywine Heights Area SD,Berks,1500000.0,6779469.0,2051419.0
1.0,114061103.0,Conrad Weiser Area SD,Berks,1533854.0,1985762.0,4046499.0
1.0,114061503.0,Daniel Boone Area SD,Berks,,3067905.0,3822962.0
1.0,114062003.0,Exeter Township SD,Berks,2321821.0,8178944.0,4904483.0
1.0,114062503.0,Fleetwood Area SD,Berks,557583.0,299999.0,2925114.0
1.0,114063003.0,Governor Mifflin SD,Berks,1250000.0,500000.0,5737507.0
1.0,114063503.0,Hamburg Area SD,Berks,68803.0,14719438.0,3329138.0
1.0,114064003.0,Kutztown Area SD,Berks,3361928.0,418600.0,2919449.0
1.0,114065503.0,Muhlenberg SD,Berks,,10356809.0,5705686.0
1.0,114066503.0,Oley Valley SD,Berks,777015.0,678152.0,2838060.0
1.0,114067002.0,Reading SD,Berks,,,55754183.0
1.0,114067503.0,Schuylkill Valley SD,Berks,543533.0,,4281566.0
1.0,114068003.0,Tulpehocken Area SD,Berks,2000000.0,251736.0,3029658.0
1.0,114068103.0,Twin Valley SD,Berks,,8010000.0,6111475.0
1.0,114069103.0,Wilson SD,Berks,21677595.0,1000000.0,6677712.0
1.0,114069353.0,Wyomissing Area SD,Berks,10673423.0,41539.0,3300095.0
1.0,108070502.0,Altoona Area SD,Blair,17362255.0,,8000000.0
1.0,108071003.0,Bellwood-Antis SD,Blair,763153.0,126413.0,2153998.0
1.0,108071504.0,Claysburg-Kimmel SD,Blair,,2462000.0,1359283.0
1.0,108073503.0,Hollidaysburg Area SD,Blair,4288662.0,183429.0,4673507.0
1.0,108077503.0,Spring Cove SD,Blair,1400000.0,1683561.0,5322328.0
1.0,108078003.0,Tyrone Area SD,Blair,1000000.0,6164647.0,1911367.0
1.0,108079004.0,Williamsburg Community SD,Blair,1670000.0,870991.0,1060763.0
1.0,117080503.0,Athens Area SD,Bradford,,7116408.0,1625579.0
1.0,117081003.0,Canton Area SD,Bradford,,5018419.0,1535596.0
1.0,117083004.0,Northeast Bradford SD,Bradford,967688.0,4229000.0,1361017.0
1.0,117086003.0,Sayre Area SD,Bradford,,200000.0,1655643.0
1.0,117086503.0,Towanda Area SD,Bradford,500000.0,840045.0,2489333.0
1.0,117086653.0,Troy Area SD,Bradford,2912135.0,1440895.0,1596445.0
1.0,117089003.0,Wyalusing Area SD,Bradford,5091276.0,858089.0,2848750.0
1.0,122091002.0,Bensalem Township SD,Bucks,5000000.0,,9498162.0
1.0,122091303.0,Bristol Borough SD,Bucks,,,1615236.0
1.0,122091352.0,Bristol Township SD,Bucks,3237285.0,23000000.0,13392186.0
1.0,122092002.0,Centennial SD,Bucks,2500000.0,,10233851.0
1.0,122092102.0,Central Bucks SD,Bucks,,17795262.0,28324668.0
1.0,122092353.0,Council Rock SD,Bucks,8590124.0,211591.0,10612154.0
1.0,122097203.0,Morrisville Borough SD,Bucks,,,-1626851.0
1.0,122097502.0,Neshaminy SD,Bucks,28154085.0,7820353.0,14269330.0
1.0,122097604.0,New Hope-Solebury SD,Bucks,14120336.0,,3268812.0
1.0,122098003.0,Palisades SD,Bucks,16441438.0,5756335.0,2633475.0
1.0,122098103.0,Pennridge SD,Bucks,4016120.0,,11965832.0
1.0,122098202.0,Pennsbury SD,Bucks,,,17251668.0
1.0,122098403.0,Quakertown Community SD,Bucks,23649583.0,,9960153.0
1.0,104101252.0,Butler Area SD,Butler,441704.0,10125990.0,8569155.0
1.0,104103603.0,Karns City Area SD,Butler,,,8597435.0
1.0,104107803.0,Knoch SD,Butler,,8151490.0,2267495.0
1.0,104105003.0,Mars Area SD,Butler,,2743116.0,4172716.0
1.0,104105353.0,Moniteau SD,Butler,,,5705144.0
1.0,104107903.0,Seneca Valley SD,Butler,1000000.0,39739397.0,11000000.0
1.0,104107503.0,Slippery Rock Area SD,Butler,,5000000.0,1328392.0
1.0,108110603.0,Blacklick Valley SD,Cambria,,2563222.0,5334506.0
1.0,108111203.0,Cambria Heights SD,Cambria,,,7069967.0
1.0,108111303.0,Central Cambria SD,Cambria,,,
1.0,108111403.0,Conemaugh Valley SD,Cambria,,4472171.0,1893524.0
1.0,108112003.0,Ferndale Area SD,Cambria,,584920.0,2767310.0
1.0,108112203.0,Forest Hills SD,Cambria,,3500000.0,2583386.0
1.0,108112502.0,Greater Johnstown SD,Cambria,,,8797704.0
1.0,108114503.0,Northern Cambria SD,Cambria,,3230000.0,2354670.0
1.0,108116003.0,Penn Cambria SD,Cambria,5057701.0,10228.0,2021198.0
1.0,108116303.0,Portage Area SD,Cambria,3448851.0,,2381596.0
1.0,108116503.0,Richland SD,Cambria,3198000.0,6880373.0,1953789.0
1.0,108118503.0,Westmont Hilltop SD,Cambria,,6601452.0,830474.0
1.0,109122703.0,Cameron County SD,Cameron,1406005.0,465501.0,845434.0
1.0,121135003.0,Jim Thorpe Area SD,Carbon,,8000000.0,5702387.0
1.0,121135503.0,Lehighton Area SD,Carbon,,,8615550.0
1.0,121136503.0,Palmerton Area SD,Carbon,3276779.0,6037398.0,1175206.0
1.0,121136603.0,Panther Valley SD,Carbon,58111.0,212000.0,7145337.0
1.0,121139004.0,Weatherly Area SD,Carbon,,,4480487.0
1.0,110141003.0,Bald Eagle Area SD,Centre,3985427.0,10192250.0,4810062.0
1.0,110141103.0,Bellefonte Area SD,Centre,2850662.0,,10195541.0
1.0,110147003.0,Penns Valley Area SD,Centre,12217450.0,685000.0,4593636.0
1.0,110148002.0,State College Area SD,Centre,34313014.0,84854.0,13429489.0
1.0,124150503.0,Avon Grove SD,Chester,5998719.0,12389477.0,8458885.0
1.0,124151902.0,Coatesville Area SD,Chester,,,15846863.0
1.0,124152003.0,Downingtown Area SD,Chester,,,20778346.0
1.0,124153503.0,Great Valley SD,Chester,,20753303.0,15664834.0
1.0,124154003.0,Kennett Consolidated SD,Chester,,,7450067.0
1.0,124156503.0,Octorara Area SD,Chester,,6130642.0,4392237.0
1.0,124156603.0,Owen J Roberts SD,Chester,3883467.0,5110906.0,6122841.0
1.0,124156703.0,Oxford Area SD,Chester,10769700.0,,1439101.0
1.0,124157203.0,Phoenixville Area SD,Chester,,,26278407.0
1.0,124157802.0,Tredyffrin-Easttown SD,Chester,32281271.0,229943.0,
1.0,124158503.0,Unionville-Chadds Ford SD,Chester,3754674.0,,5098431.0
