Public High School Graduates and Postsecondary Education Rates,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
School Year: 2020-2021,,,,,,,,,
,,,,,,,,,
Table 1: Statistical Highlights,,,,,,,,,
2020-2021 School Year,,,,,,,,,
Total,,,,,,,,,
GRADUATE COUNT,,COLLEGE BOUND,,,,,SUMMARY (TOTAL COLLEGE BOUND %),,
123407,,75185,,,,,0.609244208189163,,
,,,,,,,,,
Gender,,,,,,,,,
GENDER,GRADUATE COUNT,,COLLEGE BOUND,,,SUMMARY (TOTAL COLLEGE BOUND %),,,
Female,61679,,42606,,,0.690769954117285,,,
Male,61728,,32579,,,0.527783177812338,,,
Race/Ethnicity,,,,,,,,,
RACE,,,,GRADUATE COUNT,,COLLEGE BOUND,,SUMMARY (TOTAL COLLEGE BOUND %),
American Indian / Alaskan Native,,,,187,,99,,0.529411764705882,
Asian,,,,5395,,4448,,0.824467099165894,
Black or African American,,,,15944,,8079,,0.506710988459609,
Hispanic,,,,12740,,5978,,0.469230769230769,
Multi-Racial,,,,3464,,1956,,0.564665127020785,
Native Hawaiian or other Pacific Islander(not hispanic),,,,103,,76,,0.737864077669903,
White,,,,85574,,54549,,0.63744829036857,
Public High School Graduates by Race and Gender,,,,,,,,,
2020-2021 School Year,,,,,,,,,
GRADUATE COUNT,,,,,,Female,,,Male
American Indian / Alaskan Native,,,,,,99,,,88
Asian,,,,,,2812,,,2583
Black or African American,,,,,,8222,,,7722
Hispanic,,,,,,6493,,,6247
Multi-Racial,,,,,,1772,,,1692
Native Hawaiian or other Pacific Islander(not hispanic),,,,,,51,,,52
White,,,,,,42230,,,43344
,,,,,,,,,
Postgraduate Activities,,,,,,,,,
2020-2021 School Year,,,,,,,,,
TOTAL SCHOOLS,,,,,696.0,,,,
TOTAL GRADUATES,,,,,123407.0,,,,
TOTAL POSTSECONDARY BOUND,,,,,77951.0,,,0.631657847609941,
TOTAL COLLEGE BOUND,,,,,75185.0,,,0.609244208189163,
2- OR 4- YEAR COLLEGE OR UNIVERSITY,,,,,73261.0,,,0.593653520464803,
SPECIALIZED ASSOCIATE DEGREE-GRANTING INSTITUTION,,,,,1924.0,,,0.0155906877243592,
NON-DEGREE-GRANTING POSTSECONDARY SCHOOL,,,,,2766.0,,,0.0224136394207784,
