Cat,AUN,LEA Name,County,"Object 100
Personnel Services - Salaries","Object 200
Personnel Services - Employee Benefits",Object 220 Social Security Contributions,Object 230 Retirement Contributions,"Object 300
Purchased Professional and Technical Services","Object 400
Purchased Property Services","Object 500
Other Purchased Services","Object 600
Supplies","Object 700
Property","Object 800
Other Objects","Object 900
Other Uses of Funds",Total
1.0,112011103.0,Bermudian Springs SD,Adams,12809501.06,9070368.530000001,928420.0,4458930.859999999,2085450.1900000002,476167.18,4689294.19,1069480.1300000001,867795.9,2181882.94,1883746.73,35133686.85
1.0,112011603.0,Conewago Valley SD,Adams,28992938.040000003,19815682.610000003,2129947.8000000003,10167956.709999999,8863959.65,705923.21,7064857.78,2246612.34,245883.56,1062651.59,4540010.99,73538519.77
1.0,112013054.0,Fairfield Area SD,Adams,7605407.040000001,4495197.359999999,568343.9500000001,2623066.0,1490430.34,310851.23,2663999.47,744243.45,505652.03,792282.58,1132864.48,19740927.98
1.0,112013753.0,Gettysburg Area SD,Adams,24965777.330000002,18286920.25,1813998.35,8761247.92,5744455.680000001,697568.15,10229596.84,3818578.71,338093.83,2687121.9699999997,5289168.0,72057280.76
1.0,112015203.0,Littlestown Area SD,Adams,14732954.159999998,9764038.530000001,1077844.58,5063457.430000001,3611113.42,528789.07,3993054.78,1262062.77,403177.82999999996,1227639.05,3536947.42,39059777.03
1.0,112018523.0,Upper Adams SD,Adams,11932354.809999999,7480677.569999999,881483.76,4198483.79,2657460.82,1523389.51,4698378.47,1004809.58,1008608.48,1118479.51,3581258.7,35005417.45
1.0,103020603.0,Allegheny Valley SD,Allegheny,8974433.14,5918875.87,682442.31,3091293.87,1168856.19,351187.11000000004,3308360.28,924671.0599999999,118107.35999999999,792159.99,1661245.0,23217896.0
1.0,103020753.0,Avonworth SD,Allegheny,15397752.770000001,9852788.040000001,1162163.05,5401651.88,1816431.0,450174.72,3747015.51,1545170.99,512346.47,1157743.5,3479723.64,37959146.64
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,32966611.3,20920974.99,2472839.11,11329537.75,4642283.49,4799821.58,4108191.2199999997,3268335.02,354888.2,2960798.98,6985000.0,81006904.78
1.0,103021252.0,Bethel Park SD,Allegheny,44216002.22,28286261.319999997,3279557.4099999997,15387616.719999999,4827447.399999999,991176.89,4883843.58,4462323.97,1402549.82,4927203.99,4532150.9,98528960.09
1.0,103021453.0,Brentwood Borough SD,Allegheny,10750168.120000001,7014408.96,827198.46,3659932.87,1760220.7899999998,460710.22,3340440.2399999998,1698001.7499999998,87236.25,722759.5,3238985.48,29072931.31
1.0,103021603.0,Carlynton SD,Allegheny,13231542.26,8569389.59,970514.18,4537665.420000001,2753058.6900000004,1761753.9100000001,5301484.6,2022601.06,364462.77999999997,252924.78,547392.85,34804610.52
1.0,103021752.0,Chartiers Valley SD,Allegheny,33922162.43,21614409.34,2549962.1199999996,11761522.77,3840140.5100000002,518506.78,5099166.75,3518692.91,1552012.12,4350111.25,2855987.76,77271189.85
1.0,103021903.0,Clairton City SD,Allegheny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,103022103.0,Cornell SD,Allegheny,6707832.0,4423611.0,496370.0,2313514.0,1181561.0,500722.0,2552398.0,311135.0,395507.0,207121.0,982605.0,17262492.0
1.0,103022253.0,Deer Lakes SD,Allegheny,17121402.73,11061027.47,1279551.05,5987038.1899999995,1766806.79,346111.37999999995,4116112.5700000003,1921431.28,1005881.0,1366563.5999999999,2928639.95,41633976.77
1.0,103022503.0,Duquesne City SD,Allegheny,5305534.0,3599865.0,407657.0,1883540.0,1528082.0,130920.0,9806773.0,728882.0,0.0,529420.0,586110.0,22215586.0
1.0,103022803.0,East Allegheny SD,Allegheny,13259360.020000001,8331413.28,994632.16,4578876.19,3846357.2,374935.78,10009687.41,1013184.24,1058768.5,733745.2999999999,2677824.0,41305275.73
1.0,103023153.0,Elizabeth Forward SD,Allegheny,20050137.97,12716100.430000002,1504553.4,6795388.759999999,1798462.56,2989041.19,5748029.35,2715987.91,1795593.7200000002,147252.81,3942767.5,51903373.44
