Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)",Local Other (6500-6999),Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Total Federal Revenue 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
1.0,112011103.0,Bermudian Springs SD,Adams,25258315.44,13873142.500000002,398795.1,14271937.6,0.565,10602147.32,0.4197,384230.52,0.0152,,0.0
1.0,112011603.0,Conewago Valley SD,Adams,45893431.510000005,28853491.74,797281.35,29650773.09,0.6461,15595930.25,0.3398,646728.17,0.0141,,0.0
1.0,112013054.0,Fairfield Area SD,Adams,16959798.540000003,10351674.159999998,497140.58999999997,10848814.75,0.6397,5844056.12,0.3446,157375.57,0.0093,109552.1,0.0065
1.0,112013753.0,Gettysburg Area SD,Adams,53795579.93000001,35264515.2,2694551.07,37959066.27,0.7056,14944503.14,0.2778,866937.45,0.0161,25073.07,0.0005
1.0,112015203.0,Littlestown Area SD,Adams,27284761.56,15548325.350000001,377503.32000000007,15925828.67,0.5837,10895491.94,0.3993,463440.95,0.017,,0.0
1.0,112018523.0,Upper Adams SD,Adams,23979813.12,12478645.330000002,678517.15,13157162.48,0.5487,10551971.14,0.44,270679.5,0.0113,,0.0
1.0,103020603.0,Allegheny Valley SD,Allegheny,20540143.299999997,15006584.62,210628.78000000003,15217213.4,0.7409,5025989.18,0.2447,296940.72,0.0145,,0.0
1.0,103020753.0,Avonworth SD,Allegheny,24817593.109999996,18511007.489999995,336459.59,18847467.08,0.7594,5636832.08,0.2271,261948.95,0.0106,71345.0,0.0029
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,60463042.21,38517160.89999999,1294411.32,39811572.22,0.6584,20007817.32,0.3309,643652.67,0.0106,,0.0
1.0,103021252.0,Bethel Park SD,Allegheny,80104372.59,56467869.989999995,1560964.5699999998,58028834.56,0.7244,21607069.53,0.2697,398865.5,0.005,69603.0,0.0009
1.0,103021453.0,Brentwood Borough SD,Allegheny,19223361.499999996,10335463.209999999,375084.9099999999,10710548.12,0.5572,8250337.55,0.4292,262475.83,0.0137,,0.0
1.0,103021603.0,Carlynton SD,Allegheny,23210928.150000002,14558612.269999998,422640.38000000006,14981252.65,0.6454,7546023.88,0.3251,683651.62,0.0295,,0.0
1.0,103021752.0,Chartiers Valley SD,Allegheny,54603014.03,40962879.07,1212980.5099999998,42175859.58,0.7724,11863091.85,0.2173,548734.01,0.01,15328.59,0.0003
1.0,103021903.0,Clairton City SD,Allegheny,14192881.0,3521858.0,361626.0,3883484.0,0.2736,9634626.0,0.6788,674771.0,0.0475,,0.0
1.0,103022103.0,Cornell SD,Allegheny,12735772.0,8447820.0,346202.0,8794022.0,0.6905,3428526.0,0.2692,513224.0,0.0403,,0.0
1.0,103022253.0,Deer Lakes SD,Allegheny,32314212.21,20155188.119999994,617282.2099999998,20772470.33,0.6428,11184384.31,0.3461,357357.57,0.0111,,0.0
1.0,103022503.0,Duquesne City SD,Allegheny,20506315.38,1764977.95,244911.43,2009889.38,0.098,16267101.59,0.7933,1229324.41,0.0599,1000000.0,0.0488
1.0,103022803.0,East Allegheny SD,Allegheny,28715786.67,14500957.25,1437236.37,15938193.62,0.555,12088686.98,0.421,688906.07,0.024,,0.0
1.0,103023153.0,Elizabeth Forward SD,Allegheny,37400777.980000004,18951094.63,1094820.6199999999,20045915.25,0.536,16872607.23,0.4511,482255.5,0.0129,,0.0
1.0,103023912.0,Fox Chapel Area SD,Allegheny,84714042.86999999,68105423.29,1055712.71,69161136.0,0.8164,14358804.56,0.1695,563674.49,0.0067,630427.82,0.0074
1.0,103024102.0,Gateway SD,Allegheny,69708208.95,48767608.14,1067633.1099999999,49835241.25,0.7149,16254333.61,0.2332,846634.09,0.0121,2772000.0,0.0398
1.0,103024603.0,Hampton Township SD,Allegheny,43508616.65,31521002.91,434675.95000000007,31955678.86,0.7345,11316696.8,0.2601,227670.99,0.0052,8570.0,0.0002
1.0,103024753.0,Highlands SD,Allegheny,40003093.14,19789675.97,746429.3099999999,20536105.28,0.5134,18221722.64,0.4555,1245265.22,0.0311,,0.0
1.0,103025002.0,Keystone Oaks SD,Allegheny,38883305.38999999,27373813.100000005,1104039.44,28477852.54,0.7324,9787292.69,0.2517,458590.12,0.0118,159570.04,0.0041
1.0,103026002.0,McKeesport Area SD,Allegheny,57077580.0,13872299.0,1970112.0,15842411.0,0.2776,36416943.0,0.638,4818226.0,0.0844,,0.0
1.0,103026303.0,Montour SD,Allegheny,56952944.260000005,45100644.34,950683.7499999999,46051328.09,0.8086,10471153.18,0.1839,430462.99,0.0076,,0.0
1.0,103026343.0,Moon Area SD,Allegheny,62653436.76,46550945.03,814328.7000000001,47365273.73,0.756,13443845.52,0.2146,1282602.32,0.0205,561715.19,0.009
1.0,103026402.0,Mt Lebanon SD,Allegheny,83335131.38,65411921.07,1043455.92,66455376.99,0.7974,16334004.89,0.196,545749.5,0.0065,,0.0
1.0,103026852.0,North Allegheny SD,Allegheny,196553512.83,102807575.02,1993051.82,104800626.84,0.5332,25832381.9,0.1314,982619.54,0.005,64937884.55,0.3304
1.0,103026902.0,North Hills SD,Allegheny,70486354.72,53083534.58999998,951927.29,54035461.88,0.7666,15536396.37,0.2204,914496.47,0.013,,0.0
1.0,103026873.0,Northgate SD,Allegheny,20979875.0,12308647.0,281719.0,12590366.0,0.6001,7212568.0,0.3438,1176941.0,0.0561,,0.0
1.0,103027352.0,Penn Hills SD,Allegheny,76568863.0,39410212.0,2018127.0,41428339.0,0.5411,28839229.0,0.3766,3848520.0,0.0503,2452775.0,0.032
1.0,103021003.0,Pine-Richland SD,Allegheny,70150587.0,54664785.0,1268771.0,55933556.0,0.7973,13820829.0,0.197,396202.0,0.0056,,0.0
1.0,102027451.0,Pittsburgh SD,Allegheny,620394296.8399999,290957156.51,17353251.660000004,308310408.17,0.497,250865710.84,0.4044,59332253.66,0.0956,1885924.17,0.003
1.0,103027503.0,Plum Borough SD,Allegheny,56904907.510000005,29884541.24,2149162.2800000003,32033703.52,0.5629,23669917.46,0.416,1201286.53,0.0211,,0.0
1.0,103027753.0,Quaker Valley SD,Allegheny,41724899.36,34823968.9,473711.3,35297680.2,0.846,5343200.65,0.1281,1075168.51,0.0258,8850.0,0.0002
1.0,103028203.0,Riverview SD,Allegheny,19296860.07,13113548.12,286248.64,13399796.76,0.6944,5501385.52,0.2851,387677.79,0.0201,8000.0,0.0004
1.0,103028302.0,Shaler Area SD,Allegheny,73102917.16,46622861.36000001,878193.0000000001,47501054.36,0.6498,24287121.71,0.3322,957241.09,0.0131,357500.0,0.0049
1.0,103028653.0,South Allegheny SD,Allegheny,21280887.47,6411348.49,523111.19000000006,6934459.68,0.3259,13860594.66,0.6513,485833.13,0.0228,,0.0
1.0,103028703.0,South Fayette Township SD,Allegheny,44037104.47,32591677.86,803448.21,33395126.07,0.7583,8062328.01,0.1831,1424868.39,0.0324,1154782.0,0.0262
1.0,103028753.0,South Park SD,Allegheny,29807095.47,17317795.25,583661.29,17901456.54,0.6006,11319457.23,0.3798,486181.7,0.0163,100000.0,0.0034
1.0,103028833.0,Steel Valley SD,Allegheny,29382501.68,14041227.27,562958.22,14604185.49,0.497,13080069.45,0.4452,1420395.64,0.0483,277851.1,0.0095
1.0,103028853.0,Sto-Rox SD,Allegheny,21636866.639999997,7500744.880000001,207444.81999999998,7708189.7,0.3563,12840218.52,0.5934,1033854.65,0.0478,54603.77,0.0025
1.0,103029203.0,Upper Saint Clair SD,Allegheny,65492896.99,47896508.46,1979605.5,49876113.96,0.7615,13018569.3,0.1988,1657573.98,0.0253,940639.75,0.0144
1.0,103029403.0,West Allegheny SD,Allegheny,54857963.52,40138223.65,1003212.96,41141436.61,0.75,13210762.35,0.2408,501941.56,0.0091,3823.0,0.0001
1.0,103029553.0,West Jefferson Hills SD,Allegheny,42009423.14,29195241.75,508327.12000000005,29703568.87,0.7071,12072550.98,0.2874,233303.29,0.0056,,0.0
1.0,103029603.0,West Mifflin Area SD,Allegheny,45046747.15,25540290.41,3348428.8999999994,28888719.31,0.6413,15041552.87,0.3339,1116474.97,0.0248,,0.0
1.0,103029803.0,Wilkinsburg Borough SD,Allegheny,29652483.080000002,13992528.79,372201.81,14364730.6,0.4844,11661586.68,0.3933,3101165.8,0.1046,525000.0,0.0177
1.0,103029902.0,Woodland Hills SD,Allegheny,79675110.32,46595377.88000001,1882877.6300000004,48478255.51,0.6084,27781697.75,0.3487,3415157.06,0.0429,,0.0
1.0,128030603.0,Apollo-Ridge SD,Armstrong,20995691.810000002,7488373.279999999,443034.83999999997,7931408.12,0.3778,12496987.46,0.5952,567296.23,0.027,,0.0
1.0,128030852.0,Armstrong SD,Armstrong,92023488.64,31762831.07,1076684.88,32839515.95,0.3569,48737473.21,0.5296,4448062.92,0.0483,5998436.56,0.0652
1.0,128033053.0,Freeport Area SD,Armstrong,25504664.09,13846874.0,287159.45,14134033.45,0.5542,11136921.76,0.4367,229883.88,0.009,3825.0,0.0001
1.0,128034503.0,Leechburg Area SD,Armstrong,12151033.16,5064816.259999999,173202.8,5238019.06,0.4311,6607855.97,0.5438,305158.13,0.0251,,0.0
1.0,127040503.0,Aliquippa SD,Beaver,20817192.209999997,5566250.04,426293.00999999995,5992543.05,0.2879,12308880.15,0.5913,2286841.61,0.1099,228927.4,0.011
1.0,127040703.0,Ambridge Area SD,Beaver,41831281.31999999,21501991.530000005,1160613.72,22662605.25,0.5418,17802934.38,0.4256,1269630.0,0.0304,96111.69,0.0023
1.0,127041203.0,Beaver Area SD,Beaver,27359995.0,15866216.0,909032.0,16775248.0,0.6131,9585005.0,0.3503,373562.0,0.0137,626180.0,0.0229
1.0,127041503.0,Big Beaver Falls Area SD,Beaver,25571471.0,7573318.0,415636.0,7988954.0,0.3124,15371451.0,0.6011,2211066.0,0.0865,,0.0
1.0,127041603.0,Blackhawk SD,Beaver,32413164.799999997,16426853.770000001,580023.6299999999,17006877.4,0.5247,14910180.0,0.46,496107.4,0.0153,,0.0
1.0,127042003.0,Central Valley SD,Beaver,30401767.32,16011079.039999997,444363.0,16455442.04,0.5413,13542649.34,0.4455,403675.94,0.0133,,0.0
1.0,127042853.0,Freedom Area SD,Beaver,19817913.81,7216678.290000001,332800.83,7549479.12,0.3809,11809464.59,0.5959,440231.45,0.0222,18738.65,0.0009
1.0,127044103.0,Hopewell Area SD,Beaver,35232124.34,17655639.75,560268.6900000001,18215908.44,0.517,16561383.08,0.4701,450412.78,0.0128,4420.04,0.0001
1.0,127045303.0,Midland Borough SD,Beaver,5396159.99,808347.27,235836.75,1044184.02,0.1935,4023132.35,0.7456,241356.19,0.0447,87487.43,0.0162
1.0,127045653.0,New Brighton Area SD,Beaver,21419828.0,5734407.0,363833.0,6098240.0,0.2847,14489848.0,0.6765,831740.0,0.0388,,0.0
1.0,127045853.0,Riverside Beaver County SD,Beaver,21829689.37,8775126.88,303301.13,9078428.01,0.4159,12286416.7,0.5628,314844.66,0.0144,150000.0,0.0069
1.0,127046903.0,Rochester Area SD,Beaver,15214311.0,4912011.0,806208.0,5718219.0,0.3758,8996345.0,0.5913,499747.0,0.0328,,0.0
1.0,127047404.0,South Side Area SD,Beaver,21364437.0,7572683.0,210594.0,7783277.0,0.3643,13285948.0,0.6219,295212.0,0.0138,,0.0
1.0,127049303.0,Western Beaver County SD,Beaver,11571254.0,3631596.0,326934.0,3958530.0,0.3421,7453352.0,0.6441,159372.0,0.0138,,0.0
1.0,108051003.0,Bedford Area SD,Bedford,26099034.86,11271606.070000002,746122.08,12017728.15,0.4605,12329302.14,0.4724,1749527.47,0.067,2477.1,0.0001
1.0,108051503.0,Chestnut Ridge SD,Bedford,19266910.689999998,5389238.49,731490.4800000001,6120728.97,0.3177,12633536.25,0.6557,512645.47,0.0266,,0.0
1.0,108053003.0,Everett Area SD,Bedford,17491944.04,6859100.670000001,845543.2200000001,7704643.89,0.4405,9300298.81,0.5317,448529.7,0.0256,38471.64,0.0022
1.0,108056004.0,Northern Bedford County SD,Bedford,12280640.29,3168630.92,347052.42,3515683.34,0.2863,8401450.02,0.6841,363506.93,0.0296,,0.0
1.0,108058003.0,Tussey Mountain SD,Bedford,16158540.13,3889992.6500000004,498719.33999999997,4388711.99,0.2716,11200668.46,0.6932,569159.68,0.0352,,0.0
1.0,114060503.0,Antietam SD,Berks,15372483.88,9383612.97,338023.75,9721636.72,0.6324,5424943.54,0.3529,225903.62,0.0147,,0.0
1.0,114060753.0,Boyertown Area SD,Berks,96367098.77000001,63459478.559999995,1905633.5000000002,65365112.06,0.6783,29024884.81,0.3012,1863491.2,0.0193,113610.7,0.0012
1.0,114060853.0,Brandywine Heights Area SD,Berks,29365163.48,20110169.629999995,515771.06,20625940.69,0.7024,8385416.89,0.2856,352683.4,0.012,1122.5,0.0
1.0,114061103.0,Conrad Weiser Area SD,Berks,42788447.28,27013045.449999996,1719303.1500000001,28732348.6,0.6715,12573558.06,0.2939,1482540.62,0.0346,,0.0
1.0,114061503.0,Daniel Boone Area SD,Berks,50598339.33,32568725.139999993,997082.4799999999,33565807.62,0.6634,16716138.71,0.3304,316393.0,0.0063,,0.0
1.0,114062003.0,Exeter Township SD,Berks,72750046.27,45668105.38,1088904.57,46757009.95,0.6427,17635628.42,0.2424,452837.44,0.0062,7904570.46,0.1087
1.0,114062503.0,Fleetwood Area SD,Berks,38801393.17,25705016.55000001,756546.5400000002,26461563.09,0.682,11918103.72,0.3072,414002.36,0.0107,7724.0,0.0002
1.0,114063003.0,Governor Mifflin SD,Berks,60019392.89999999,44192604.40999999,1202236.6199999999,45394841.03,0.7563,13775885.02,0.2295,818134.87,0.0136,30531.98,0.0005
1.0,114063503.0,Hamburg Area SD,Berks,36455595.34,23264060.87,524339.9999999999,23788400.87,0.6525,12206508.25,0.3348,423137.14,0.0116,37549.08,0.001
1.0,114064003.0,Kutztown Area SD,Berks,30517155.05,21168977.650000002,462648.80000000005,21631626.45,0.7088,7381936.7,0.2419,316773.6,0.0104,1186818.3,0.0389
1.0,114065503.0,Muhlenberg SD,Berks,49586516.0,36015871.0,717568.0,36733439.0,0.7408,12012128.0,0.2422,840949.0,0.017,,0.0
1.0,114066503.0,Oley Valley SD,Berks,28833093.939999998,19341686.55,475683.93999999994,19817370.49,0.6873,8659091.86,0.3003,356631.59,0.0124,,0.0
1.0,114067002.0,Reading SD,Berks,214202099.2,34599176.25,4901464.08,39500640.33,0.1844,158866537.88,0.7417,15820552.91,0.0739,14368.08,0.0001
1.0,114067503.0,Schuylkill Valley SD,Berks,34165596.56,25541426.5,1022166.62,26563593.12,0.7775,7216934.12,0.2112,385069.32,0.0113,,0.0
1.0,114068003.0,Tulpehocken Area SD,Berks,42018626.629999995,17862593.82,488804.49000000005,18351398.31,0.4367,8490978.44,0.2021,675339.83,0.0161,14500910.05,0.3451
1.0,114068103.0,Twin Valley SD,Berks,53059947.18000001,37156427.09,2689248.54,39845675.63,0.751,12593249.91,0.2373,621021.64,0.0117,,0.0
1.0,114069103.0,Wilson SD,Berks,89438435.57000001,68057364.97999999,2485432.22,70542797.2,0.7887,17736014.48,0.1983,939656.89,0.0105,219967.0,0.0025
1.0,114069353.0,Wyomissing Area SD,Berks,31255941.87,25866399.080000006,530395.1199999999,26396794.2,0.8445,4503322.31,0.1441,314940.67,0.0101,40884.69,0.0013
1.0,108070502.0,Altoona Area SD,Blair,87342531.2,23624318.61,3050436.070000001,26674754.68,0.3054,55976348.43,0.6409,4684985.4,0.0536,6442.69,0.0001
1.0,108071003.0,Bellwood-Antis SD,Blair,16275097.759999998,5408867.44,412263.11,5821130.55,0.3577,10229253.1,0.6285,224714.11,0.0138,,0.0
1.0,108071504.0,Claysburg-Kimmel SD,Blair,10838185.900000002,2773272.1500000004,281980.14,3055252.29,0.2819,7418725.9,0.6845,299500.41,0.0276,64707.3,0.006
1.0,108073503.0,Hollidaysburg Area SD,Blair,45700033.910000004,23223231.490000002,1046017.85,24269249.34,0.5311,18613037.5,0.4073,837747.07,0.0183,1980000.0,0.0433
1.0,108077503.0,Spring Cove SD,Blair,22618591.259999998,10376217.93,436381.66,10812599.59,0.478,11428187.38,0.5053,377804.29,0.0167,,0.0
1.0,108078003.0,Tyrone Area SD,Blair,22507452.89,6431888.03,544679.7999999999,6976567.83,0.31,14364305.53,0.6382,1166579.53,0.0518,,0.0
1.0,108079004.0,Williamsburg Community SD,Blair,7079876.25,1918699.32,168436.27,2087135.59,0.2948,4774623.69,0.6744,218116.97,0.0308,,0.0
1.0,117080503.0,Athens Area SD,Bradford,34222219.58,14807846.03,802927.8300000001,15610773.86,0.4562,17712504.89,0.5176,846988.0,0.0247,51952.83,0.0015
1.0,117081003.0,Canton Area SD,Bradford,14151664.82,3700058.8799999994,306527.53,4006586.41,0.2831,9850428.63,0.6961,294649.78,0.0208,,0.0
1.0,117083004.0,Northeast Bradford SD,Bradford,12465217.91,3635036.46,241021.65,3876058.11,0.3109,8339136.23,0.669,250023.57,0.0201,,0.0
1.0,117086003.0,Sayre Area SD,Bradford,16468668.92,7022101.009999999,270920.26,7293021.27,0.4428,8877690.4,0.5391,297957.25,0.0181,,0.0
1.0,117086503.0,Towanda Area SD,Bradford,22932393.5,9547967.46,694367.94,10242335.4,0.4466,11208713.18,0.4888,1333914.92,0.0582,147430.0,0.0064
1.0,117086653.0,Troy Area SD,Bradford,21806671.23,7252491.279999999,409693.51999999996,7662184.8,0.3514,13566298.91,0.6221,578187.52,0.0265,,0.0
1.0,117089003.0,Wyalusing Area SD,Bradford,27285976.29,8795655.66,390993.66000000003,9186649.32,0.3367,10869558.87,0.3984,470288.1,0.0172,6759480.0,0.2477
1.0,122091002.0,Bensalem Township SD,Bucks,126443026.67999999,94165751.80000001,4132059.3999999994,98297811.2,0.7774,26701739.91,0.2112,1443475.57,0.0114,,0.0
1.0,122091303.0,Bristol Borough SD,Bucks,21979023.3,11543978.06,442877.35000000003,11986855.41,0.5454,9280438.95,0.4222,711728.94,0.0324,,0.0
1.0,122091352.0,Bristol Township SD,Bucks,124041558.64,79768076.25999998,1787208.77,81555285.03,0.6575,37240430.12,0.3002,2461226.17,0.0198,2784617.32,0.0224
1.0,122092002.0,Centennial SD,Bucks,100751202.39000002,73335301.22,1422534.7899999998,74757836.01,0.742,24278808.01,0.241,1514558.37,0.015,200000.0,0.002
1.0,122092102.0,Central Bucks SD,Bucks,299724850.46,236193169.97,7421196.180000001,243614366.15,0.8128,54043312.73,0.1803,1577171.58,0.0053,490000.0,0.0016
