Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,112011103.0,Bermudian Springs SD,Adams,28456792.16,15174746.84,491740.9,15666487.74,0.5505,12389956.61,0.4354,400347.81,0.0141,,0.0
1.0,112011603.0,Conewago Valley SD,Adams,58417127.15,33218124.430000007,1046235.24,34264359.67,0.5865,19090926.97,0.3268,686840.51,0.0118,4375000.0,0.0749
1.0,112013054.0,Fairfield Area SD,Adams,17837748.57,10456946.860000001,468261.64,10925208.5,0.6125,6747412.99,0.3783,165127.08,0.0093,,0.0
1.0,112013753.0,Gettysburg Area SD,Adams,59850700.92,38058769.730000004,3081702.7399999998,41140472.47,0.6874,17638866.76,0.2947,1069469.89,0.0179,1891.8,0.0
1.0,112015203.0,Littlestown Area SD,Adams,31333708.46,17967296.769999996,386066.37,18353363.14,0.5857,12367376.4,0.3947,416149.92,0.0133,196819.0,0.0063
1.0,112018523.0,Upper Adams SD,Adams,27610663.69,14018277.430000002,1034459.6799999999,15052737.11,0.5452,12013505.65,0.4351,301490.0,0.0109,242930.93,0.0088
1.0,103020603.0,Allegheny Valley SD,Allegheny,22536116.1,15969335.98,327240.08999999997,16296576.07,0.7231,5930082.03,0.2631,260062.0,0.0115,49396.0,0.0022
1.0,103020753.0,Avonworth SD,Allegheny,29622122.5,21995945.0,409524.0,22405469.0,0.7564,7035193.5,0.2375,181460.0,0.0061,,0.0
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,64254538.61,39114301.33,1350803.83,40465105.16,0.6298,22624064.98,0.3521,860851.47,0.0134,304517.0,0.0047
1.0,103021252.0,Bethel Park SD,Allegheny,84923118.21,59964557.04000001,1712352.0099999998,61676909.05,0.7263,22646853.55,0.2667,406439.9,0.0048,192915.71,0.0023
1.0,103021453.0,Brentwood Borough SD,Allegheny,22159878.13,12142395.29,328305.7,12470700.99,0.5628,9379216.52,0.4233,309960.62,0.014,,0.0
1.0,103021603.0,Carlynton SD,Allegheny,26556589.72,16563777.08,436286.98,17000064.06,0.6401,8586406.01,0.3233,970119.65,0.0365,,0.0
1.0,103021752.0,Chartiers Valley SD,Allegheny,60500915.8,43826881.57,798310.8099999999,44625192.38,0.7376,15128840.64,0.2501,746877.93,0.0123,4.85,0.0
1.0,103021903.0,Clairton City SD,Allegheny,17437406.0,3117175.0,319209.0,3436384.0,0.1971,10981603.0,0.6298,989419.0,0.0567,2030000.0,0.1164
1.0,103022103.0,Cornell SD,Allegheny,13403066.0,8386792.0,324967.0,8711759.0,0.65,4065252.0,0.3033,626055.0,0.0467,,0.0
1.0,103022253.0,Deer Lakes SD,Allegheny,35845146.89,21345982.460000005,786883.6299999999,22132866.09,0.6175,13298012.79,0.371,414268.01,0.0116,,0.0
1.0,103022503.0,Duquesne City SD,Allegheny,19247476.63,1628309.4799999997,275164.94999999995,1903474.43,0.0989,14947393.15,0.7766,1587481.05,0.0825,809128.0,0.042
1.0,103022803.0,East Allegheny SD,Allegheny,33238483.31,15158205.719999997,3551772.88,18709978.6,0.5629,13600262.24,0.4092,928242.47,0.0279,,0.0
1.0,103023153.0,Elizabeth Forward SD,Allegheny,41678796.1,19622895.279999997,1186614.91,20809510.19,0.4993,18970877.32,0.4552,395771.59,0.0095,1502637.0,0.0361
1.0,103023912.0,Fox Chapel Area SD,Allegheny,94985883.2,72443825.43,1408758.57,73852584.0,0.7775,18541090.68,0.1952,1582797.07,0.0167,1009411.45,0.0106
1.0,103024102.0,Gateway SD,Allegheny,90250643.58,49995632.08,1399145.6199999999,51394777.7,0.5695,18871240.8,0.2091,1134941.87,0.0126,18849683.21,0.2089
1.0,103024603.0,Hampton Township SD,Allegheny,48988029.78,34879711.5,469943.6,35349655.1,0.7216,13395095.35,0.2734,243251.41,0.005,27.92,0.0
1.0,103024753.0,Highlands SD,Allegheny,42362006.53,19269790.18,861692.4100000001,20131482.59,0.4752,21046360.73,0.4968,1184163.21,0.028,,0.0
1.0,103025002.0,Keystone Oaks SD,Allegheny,42323678.12,29097967.33,862751.0900000001,29960718.42,0.7079,11343657.47,0.268,634302.23,0.015,385000.0,0.0091
1.0,103026002.0,McKeesport Area SD,Allegheny,61701511.0,14605578.0,1558588.0,16164166.0,0.262,40731265.0,0.6601,4782569.0,0.0775,23511.0,0.0004
1.0,103026303.0,Montour SD,Allegheny,66411513.55,50872098.49000001,906513.5800000001,51778612.07,0.7797,13183383.57,0.1985,639495.55,0.0096,810022.36,0.0122
1.0,103026343.0,Moon Area SD,Allegheny,80820275.0,51532472.0,1174883.0,52707355.0,0.6522,18558490.0,0.2296,1385929.0,0.0171,8168501.0,0.1011
1.0,103026402.0,Mt Lebanon SD,Allegheny,98883133.58,72716444.29,1705132.9300000002,74421577.22,0.7526,23456169.35,0.2372,1005387.01,0.0102,,0.0
1.0,103026852.0,North Allegheny SD,Allegheny,154026394.97,117151732.58,2308575.32,119460307.9,0.7756,33135264.2,0.2151,1073621.03,0.007,357201.84,0.0023
1.0,103026902.0,North Hills SD,Allegheny,76525588.0,55554099.0,1091476.0,56645575.0,0.7402,18900187.0,0.247,979826.0,0.0128,,0.0
1.0,103026873.0,Northgate SD,Allegheny,23908598.0,13348053.0,438973.0,13787026.0,0.5767,8474797.0,0.3545,1134805.0,0.0475,511970.0,0.0214
1.0,103027352.0,Penn Hills SD,Allegheny,84119500.36,43746680.580000006,2203895.65,45950576.23,0.5463,34064705.74,0.405,4104218.39,0.0488,,0.0
1.0,103021003.0,Pine-Richland SD,Allegheny,89576028.0,62286038.0,1656295.0,63942333.0,0.7138,17207980.0,0.1921,389492.0,0.0043,8036223.0,0.0897
1.0,102027451.0,Pittsburgh SD,Allegheny,647523432.74,310596307.16,11784446.15,322380753.31,0.4979,278486002.63,0.4301,45172752.66,0.0698,1483924.14,0.0023
