Ctgy,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,112011103.0,Bermudian Springs SD,Adams,29342979.69,15823944.980000002,539498.77,16363443.75,0.5577,12647901.25,0.431,331634.69,0.0113,,0.0
1.0,112011603.0,Conewago Valley SD,Adams,56985979.5,35106305.95,1266598.49,36372904.44,0.6383,19709817.43,0.3459,903257.63,0.0159,,0.0
1.0,112013054.0,Fairfield Area SD,Adams,18298640.11,10923445.069999998,418314.44999999995,11341759.52,0.6198,6783460.16,0.3707,166095.43,0.0091,7325.0,0.0004
1.0,112013753.0,Gettysburg Area SD,Adams,61276755.69,38376928.91,3660279.3200000003,42037208.23,0.686,18169839.28,0.2965,1044235.76,0.017,25472.42,0.0004
1.0,112015203.0,Littlestown Area SD,Adams,32491632.15,18648834.12,509501.38,19158335.5,0.5896,12754390.13,0.3925,375035.63,0.0115,203870.89,0.0063
1.0,112018523.0,Upper Adams SD,Adams,28034282.93,14551258.029999997,976702.9699999999,15527961.0,0.5539,12178811.93,0.4344,327510.0,0.0117,,0.0
1.0,103020603.0,Allegheny Valley SD,Allegheny,23133987.47,16094351.35,488637.02999999997,16582988.38,0.7168,6279933.64,0.2715,271065.45,0.0117,,0.0
1.0,103020753.0,Avonworth SD,Allegheny,30875855.34,23125592.589999996,508235.39,23633827.98,0.7654,7101977.4,0.23,140049.96,0.0045,,0.0
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,68378445.4,41334588.580000006,1684199.3599999999,43018787.94,0.6291,23245457.05,0.34,991372.41,0.0145,1122828.0,0.0164
1.0,103021252.0,Bethel Park SD,Allegheny,86058804.05,59824328.56,2091139.29,61915467.85,0.7195,23763464.63,0.2761,374611.01,0.0044,5260.56,0.0001
1.0,103021453.0,Brentwood Borough SD,Allegheny,22527635.93,12211322.59,485794.52999999997,12697117.12,0.5636,9533859.27,0.4232,296659.54,0.0132,,0.0
1.0,103021603.0,Carlynton SD,Allegheny,28267438.0,17545529.0,558066.0,18103595.0,0.6404,9038131.0,0.3197,1125712.0,0.0398,,0.0
