Unnamed: 0,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)",Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Revenue from Federal Sources 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
1.0,112011103.0,Bermudian Springs SD,Adams,35185329.99,18610956.22,840288.62,19451244.84,0.5528,14163501.22,0.4025,1570583.93,0.0446,,0.0
1.0,112011603.0,Conewago Valley SD,Adams,73929130.86,43804578.71,2186686.32,45991265.03,0.6221,25047521.56,0.3388,2890344.27,0.0391,,0.0
1.0,112013054.0,Fairfield Area SD,Adams,21694714.75,13019411.35,694405.48,13713816.83,0.6321,7365672.11,0.3395,615225.81,0.0284,,0.0
1.0,112013753.0,Gettysburg Area SD,Adams,72483143.7,44949803.83,4203729.17,49153533.0,0.6781,20996908.33,0.2897,2327646.36,0.0321,5056.01,0.0001
1.0,112015203.0,Littlestown Area SD,Adams,41105736.48,22470077.49,1359650.99,23829728.48,0.5797,14599104.02,0.3552,1798987.29,0.0438,877916.69,0.0214
1.0,112018523.0,Upper Adams SD,Adams,35618979.69,16800239.56,1535347.93,18335587.49,0.5148,14957801.61,0.4199,2325590.59,0.0653,,0.0
1.0,103020603.0,Allegheny Valley SD,Allegheny,26410783.0,17343104.0,830816.0,18173920.0,0.6881,7408127.0,0.2805,828736.0,0.0314,,0.0
1.0,103020753.0,Avonworth SD,Allegheny,38156411.84,28334400.07,1114922.23,29449322.3,0.7718,8498732.42,0.2227,208357.12,0.0055,,0.0
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,83493398.7,49278239.49,2808678.02,52086917.51,0.6238,28830637.97,0.3453,2575843.22,0.0309,,0.0
1.0,103021252.0,Bethel Park SD,Allegheny,98906687.91,66549864.04,3336143.62,69886007.66,0.7066,26709104.27,0.27,1038958.75,0.0105,1272617.23,0.0129
1.0,103021453.0,Brentwood Borough SD,Allegheny,27531900.64,15309749.3,496983.6,15806732.9,0.5741,10205905.45,0.3707,1519262.29,0.0552,,0.0
1.0,103021603.0,Carlynton SD,Allegheny,36301302.9,21456627.08,1210021.43,22666648.51,0.6244,10338965.29,0.2848,3295689.1,0.0908,,0.0
1.0,103021752.0,Chartiers Valley SD,Allegheny,77595025.69,53703308.4,2517614.25,56220922.65,0.7245,18564680.37,0.2393,2809422.67,0.0362,,0.0
1.0,103021903.0,Clairton City SD,Allegheny,,,,,,,,,,,
1.0,103022103.0,Cornell SD,Allegheny,17417459.0,10509654.0,509228.0,11018882.0,0.6326,5283136.0,0.3033,998684.0,0.0573,116757.0,0.0067
1.0,103022253.0,Deer Lakes SD,Allegheny,41229933.99,22904363.18,1379511.32,24283874.5,0.589,15099015.99,0.3662,1160934.1,0.0282,686109.4,0.0166
1.0,103022503.0,Duquesne City SD,Allegheny,23380426.0,1763940.0,249859.0,2013799.0,0.0861,18148336.0,0.7762,3193029.0,0.1366,25262.0,0.0011
1.0,103022803.0,East Allegheny SD,Allegheny,41037918.0,15997125.99,1091965.01,17089091.0,0.4164,21712669.0,0.5291,2236158.0,0.0545,,0.0
1.0,103023153.0,Elizabeth Forward SD,Allegheny,52919083.64,24358225.51,1890487.31,26248712.82,0.496,22052903.03,0.4167,2414505.58,0.0456,2202962.21,0.0416
1.0,103023912.0,Fox Chapel Area SD,Allegheny,112932150.52,84539496.28,3117503.68,87656999.96,0.7762,22978822.11,0.2035,1763579.01,0.0156,532749.44,0.0047
1.0,103024102.0,Gateway SD,Allegheny,84944130.57,58200249.31,2381969.5,60582218.81,0.7132,22554064.09,0.2655,1807847.67,0.0213,,0.0
1.0,103024603.0,Hampton Township SD,Allegheny,60032888.04,41750735.0,1179500.24,42930235.24,0.7151,15982736.0,0.2662,705639.4,0.0118,414277.4,0.0069
1.0,103024753.0,Highlands SD,Allegheny,50313629.0,21419081.0,1767456.0,23186537.0,0.4608,24664415.0,0.4902,1939897.0,0.0386,522780.0,0.0104
1.0,103025002.0,Keystone Oaks SD,Allegheny,49425157.0,32644801.0,1541626.0,34186427.0,0.6917,13253653.0,0.2682,1808089.0,0.0366,176988.0,0.0036
1.0,103026002.0,McKeesport Area SD,Allegheny,87167518.0,18163903.0,3025189.0,21189092.0,0.2431,54762880.0,0.6282,11215546.0,0.1287,,0.0
1.0,103026303.0,Montour SD,Allegheny,81439269.05,59058769.98,2825945.37,61884715.35,0.7599,16282387.43,0.1999,3265221.27,0.0401,6945.0,0.0001
1.0,103026343.0,Moon Area SD,Allegheny,90239483.77,64681241.57,2567591.43,67248833.0,0.7452,21216367.54,0.2351,1593106.73,0.0177,181176.5,0.002
1.0,103026402.0,Mt Lebanon SD,Allegheny,111281966.21,81159697.04,2930650.47,84090347.51,0.7557,26741687.55,0.2403,449931.15,0.004,,0.0
1.0,103026852.0,North Allegheny SD,Allegheny,196582856.23,146204849.7,5230520.16,151435369.86,0.7703,41851999.66,0.2129,1974500.96,0.01,1320985.75,0.0067
1.0,103026902.0,North Hills SD,Allegheny,92749506.69,65953996.55,2669352.17,68623348.72,0.7399,22991149.18,0.2479,1135008.79,0.0122,,0.0
1.0,103026873.0,Northgate SD,Allegheny,28832247.55,15226903.18,951743.66,16178646.84,0.5611,9841011.95,0.3413,2812588.76,0.0976,,0.0
1.0,103027352.0,Penn Hills SD,Allegheny,103300096.2,52834387.41,2166324.83,55000712.24,0.5324,38905835.12,0.3766,9212296.72,0.0892,181252.12,0.0018
1.0,103021003.0,Pine-Richland SD,Allegheny,104953207.0,78232271.0,2980266.0,81212537.0,0.7738,20602743.0,0.1963,1462739.0,0.0139,1675188.0,0.016
1.0,102027451.0,Pittsburgh SD,Allegheny,801542446.24,379014324.29,17219460.71,396233785.0,0.4943,324237551.95,0.4045,80609338.13,0.1006,461771.16,0.0006
