Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,All Fund Types,Unnamed: 5,Governmental Fund Types -- Debt Outstanding at Beginning of Fiscal Year,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Governmental Fund Types -- Additional Debt During Year,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Governmental Fund Types -- Retirements and Repayments,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Governmental Fund Types -- Debt Outstanding at End of Fiscal Year,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Proprietary Fund Types -- Debt Outstanding at Beginning of Fiscal Year,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Proprietary Fund Types -- Additional Debt During Year,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Proprietary Fund Types -- Retirements and Repayments,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Proprietary Fund Types -- Debt Outstanding at End of Fiscal Year,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
,AUN,LEA Name,County,Debt Outstanding at Beginning of Fiscal Year,Debt Outstanding at End of Fiscal Year,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL
1.0,112011103,Bermudian Springs SD,Adams,96210659,96969812,,50490000,,164324,,163993,45392342,96210659,,0,,0,,0,4132000,4132000,,1660000,,59754,,163993,1489100,3372847,,48830000,,104570,,0,48035242,96969812,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
1.0,112011603,Conewago Valley SD,Adams,129681403,131519864,,41392000,,991722,,,87297681,129681403,,0,,0,,,7242338,7242338,,3003000,,584764,,,1816113,5403877,,38389000,,406958,,,92723906,131519864,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
1.0,112013054,Fairfield Area SD,Adams,47662725.79,46578582.81,,21525000,,,,158328.79,25507672,47191000.79,,0,,,,0,0,0,,955000,,,,127864.98,0,1082864.98,,20570000,,,,30463.81,25507672,46108135.81,,,,,,,471725,471725,,,,,,,0,0,,,,,,,1278,1278,,,,,,,470447,470447
1.0,112013753,Gettysburg Area SD,Adams,149716812,149616008,,68875000,,,,,79255083,148130083,,0,,,,,5873251,5873251,,4200000,,,,,1895769,6095769,,64675000,,,,,83232565,147907565,,,,,,,1586729,1586729,,,,,,,192416,192416,,,,,,,70702,70702,,,,,,,1708443,1708443
1.0,112015203,Littlestown Area SD,Adams,68731922,79692872,,22230000,,,,950892,44690476,67871368,,9850000,,,,82876,3301620,13234496,,910000,,,,335350,1083193,2328543,,31170000,,,,698418,46908903,78777321,,,,,,,860554,860554,,,,,,,67391,67391,,,,,,,12394,12394,,,,,,,915551,915551
1.0,112018523,Upper Adams SD,Adams,70175989.82,69370979.23,119681.19,33235000,,1031731.63,,,35789577,70175989.82,0,0,,0,,,2508990,2508990,119681.19,1675000,,331577.4,,,1187742,3314000.59,0,31560000,,700154.23,,,37110825,69370979.23,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
1.0,103020603,Allegheny Valley SD,Allegheny,52528459,52917247,,24245000,,,102743,,28180716,52528459,,0,,,0,,1398181,1398181,,1560000,,,24769,,11390,1596159,,22685000,,,77974,,29567507,52330481,,,,,,,0,0,,,,,,,586766,586766,,,,,,,0,0,,,,,,,586766,586766
1.0,103020753,Avonworth SD,Allegheny,91999043,92143840,,44270000,,197146,328262,,46691654,91487062,,0,,0,0,,2845906,2845906,,1830000,,47166,41681,,829640,2748487,,42440000,,149980,286581,,48707920,91584481,,,,,,,511981,511981,,,,,,,53094,53094,,,,,,,5716,5716,,,,,,,559359,559359
1.0,103021102,Baldwin-Whitehall SD,Allegheny,182790182,183599227,650000,88260000,,,,,92096223,181006223,0,0,,,,,9423411,9423411,116702,6985000,,,,,1725228,8826930,533298,81275000,,,,,99794406,181602704,,,,,,,1783959,1783959,,,,,,,212564,212564,,,,,,,0,0,,,,,,,1996523,1996523
