Cat,AUN,LEA Name,County,Total State Revenue 7000,Basic Education Funding 7110,Basic Education Funding - Formula 7111,Basic Education Funding - Social Security 7112,Level Up Supplement 7120,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340","Sewage Treatment Operations / Environmental Subsidies
7350",School Safety and Security Grants 7361,School Mental Health & Safety and Security Grants 7362,Other Safe Schools Grants 7369,Project 720 / High School Reform 7503,Ready to Learn Block Grant 7505,PAsmart Grants 7506,Supplemental Equipment Grants 7509,Continuity of Education and Equity Grants 7521,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1.0,112011103.0,Bermudian Springs SD,Adams,14163501.22,7528634.61,6990375.69,538258.92,,,8956.38,,,70911.79,,,280.0,,1318804.34,,,,,,1189231.49,23540.59,218208.48,32310.37,764007.42,,,,,,330674.0,,,,,,,,2677941.75,,,
1.0,112011603.0,Conewago Valley SD,Adams,25047521.56,12393492.69,11174001.0,1219491.69,,,39186.26,,,166128.09,,,320.0,,2521800.95,,,,,,1373496.11,94710.0,560972.79,79860.72,1155288.61,,,78779.65,,,573730.0,,,,,,,,6009755.69,,,
1.0,112013054.0,Fairfield Area SD,Adams,7365672.11,4245550.09,3977441.98,268108.11,,,12420.61,,,17148.84,,,,,713985.32,,,,,,540181.7,9625.0,98631.48,16307.21,579458.72,,,,,,147924.0,,,,,507.5,,,983931.64,,,
1.0,112013753.0,Gettysburg Area SD,Adams,20996908.33,10015594.83,9137235.7,878359.13,,,195496.92,,,273718.46,,,880.0,,2031999.45,,,,,,1777164.81,97405.0,347699.45,56432.28,1398616.01,,87986.35,,,,298479.0,,30921.52,,,,,,4384514.25,,,
1.0,112015203.0,Littlestown Area SD,Adams,14599104.02,7635845.09,7045239.35,590605.74,,,8543.68,,,63863.0,,,,,1503945.89,,,,,,691949.1,63910.0,212764.29,33615.97,1129916.64,,,,,,312057.0,,,,,700.0,,,2941993.36,,,
1.0,112018523.0,Upper Adams SD,Adams,14957801.61,8105485.57,7558693.0,546792.57,,,,,,93500.71,,1480.0,1578.0,,1266785.41,,,,182395.87,,1094847.74,38885.0,197354.2,30054.19,1030265.99,,,47498.4,,,268707.0,,,,,,,,2598963.53,,,
1.0,103020603.0,Allegheny Valley SD,Allegheny,7408127.0,3224292.0,2897595.0,326697.0,,,,,,,,,,,764320.0,,,,112500.0,,760959.0,9625.0,311235.0,18344.0,501412.0,,24588.0,19347.0,,,104493.0,,,,,12884.0,,,1544128.0,,,
1.0,103020753.0,Avonworth SD,Allegheny,8498732.42,3733992.44,3160666.3,573326.14,,,36946.46,,,,,,,,768939.62,,,,,,423108.74,72765.0,212620.26,42463.81,311644.93,,1495.0,69746.67,,,108288.0,,,,,,,,2716221.49,,500.0,
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,28830637.97,12992245.98,11596281.7,1395964.28,,,,,,,,,,,3144623.22,,,,,,942784.05,108955.0,1324340.12,92251.16,2095502.1,,60000.0,,,,1615849.0,,,,,,,-27092.86,6481180.2,,,
1.0,103021252.0,Bethel Park SD,Allegheny,26709104.27,11428499.2,9833863.6,1594635.6,,,,,,,,,,,2991882.97,,,,170000.0,,712578.37,103565.0,608422.58,88097.53,2142591.33,,,259437.86,,,505751.0,,,,,,,,7698278.43,,,
1.0,103021453.0,Brentwood Borough SD,Allegheny,10205905.45,6332073.23,5809645.65,522427.58,,,,,,,,,,,1081057.98,,,,,,110917.72,770.0,1737.41,20853.99,788979.15,,,59522.7,,,218768.0,,,,,,,,1591225.27,,,
1.0,103021603.0,Carlynton SD,Allegheny,10338965.29,5390773.0,4930448.0,460325.0,,,109237.0,,,,,875.0,,,1115755.65,,,,,,483333.07,55055.0,,23021.4,704508.21,,,,,,189030.0,,,,,12726.0,,,2254650.96,,,
1.0,103021752.0,Chartiers Valley SD,Allegheny,18564680.37,7374017.47,5979152.04,1394865.43,,,74754.36,,,,,,,,1902753.91,,,,,,879620.86,93940.0,600686.62,61226.85,1145809.04,,60000.0,95605.14,,,303975.0,,,,,,,,5972291.12,,,
1.0,103021903.0,Clairton City SD,Allegheny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,103022103.0,Cornell SD,Allegheny,5283136.0,2290658.0,2056095.0,234563.0,,,,,,,,,,,565783.0,,,,,,166575.0,23485.0,,9679.0,321170.0,,,141324.0,,,596726.0,,,,,,,,1167736.0,,,
1.0,103022253.0,Deer Lakes SD,Allegheny,15099015.99,7285986.69,6621778.07,664208.62,,,61727.17,,,,,,,,1543514.66,,,,,,755613.12,24255.0,656259.71,32615.99,1174353.21,,26742.23,,11407.7,,264465.0,,,,,,,,3262075.51,,,
1.0,103022503.0,Duquesne City SD,Allegheny,18148336.0,13386512.0,13156241.0,230271.0,519532.0,,39858.0,,,,,,,,893146.0,,,,170000.0,,484252.0,76615.0,60822.0,7541.0,463195.0,,,120992.0,,,202807.0,,,,,90469.0,,,1632595.0,,,
1.0,103022803.0,East Allegheny SD,Allegheny,21712669.0,10134511.91,9445914.37,688597.54,865503.66,,102910.92,,,,,,,,1639997.91,,,,,,591132.56,159775.0,567018.0,,1210919.37,,,,,,2726130.0,159091.0,,,,330906.0,,,3224772.67,,,
1.0,103023153.0,Elizabeth Forward SD,Allegheny,22052903.03,11390846.03,10490949.51,899896.52,,,51185.72,,,,,,,,2175298.17,,,,,,1178079.75,18480.0,784164.21,41695.27,1637976.5,,,18660.39,,,453629.0,,,,,,,,4302887.99,,,
1.0,103023912.0,Fox Chapel Area SD,Allegheny,22978822.11,6762050.04,4958888.41,1803161.63,,,41182.33,,,,,,,,2662793.56,,,,,,1013709.55,194425.0,1044618.99,78077.31,1854485.62,,,136031.35,,,205030.0,364613.57,,,,,,,8621804.79,,,
1.0,103024102.0,Gateway SD,Allegheny,22554064.09,9844308.42,8625179.3,1219129.12,,,45175.75,,,,,,,,2643685.09,,,,,,900349.18,120120.0,519404.27,,1840397.7,,,,,,385880.0,,,,,,,,6254743.68,,,
1.0,103024603.0,Hampton Township SD,Allegheny,15982736.0,6670413.86,5622440.32,1047973.54,,,85244.96,,,,,,,,1669386.81,,,,,,691729.77,69300.0,560222.39,58643.57,1082870.93,,,23445.19,,,294130.0,,,,,,,,4777348.52,,,
1.0,103024753.0,Highlands SD,Allegheny,24664415.0,14328946.0,13445682.0,883264.0,,,155352.0,,,,,,,,2500380.0,,,,399702.0,,1082534.0,57750.0,,43185.0,1634216.0,,,42597.0,,,460757.0,,,,,,,,3958996.0,,,
1.0,103025002.0,Keystone Oaks SD,Allegheny,13253653.0,6293374.0,5596184.0,697190.0,,,76708.0,,,,,,,,1656046.0,,,,,,430939.0,44275.0,,51925.0,1069169.0,,,98303.0,,,231127.0,,,,,,,,3301787.0,,,
1.0,103026002.0,McKeesport Area SD,Allegheny,54762880.0,33080592.0,31778324.0,1302268.0,2202095.0,,213836.0,,,312820.0,,,,,4267216.0,,,,707143.0,,1295539.0,213675.0,1296475.0,56789.0,3074153.0,,,66450.0,,,888223.0,,20512.0,,,,,,7067362.0,,,
1.0,103026303.0,Montour SD,Allegheny,16282387.43,6323233.94,5198038.17,1125195.77,,,55831.12,,,,,,,,1775226.04,,,,,,422385.84,103950.0,582593.28,61468.16,1166191.45,,,171031.4,,,196733.0,,,,,,,,5423743.2,,,
