AUN,School District,County,Tuition to Other SDs in the State,"Tuition to Brick & Mortar Charter
Schools:
Nonspecial","Tuition to Cyber Charter
Schools:
Nonspecial","Tuition to Brick & Mortar Charter
Schools:
Special","Tuition to Cyber Charter
Schools:
Special",Tuition to Nonpublic Schools,Tuition to CTCs,Tuition to Higher Ed and Technical Institutes,Tuition to Approved Private Schools,Tuition to PRRIs and Detention Centers,Tuition to Other LEAs
112011103.0,Bermudian Springs SD,Adams,162214.91,511570.08,1173799.76,97441.92,314146.82,,206166.0,,,119711.71,
112011603.0,Conewago Valley SD,Adams,177719.37,505307.28,1438123.73,203614.16,612953.78,,203114.0,,51260.55,,
112013054.0,Fairfield Area SD,Adams,198863.34,265558.12,598865.99,10859.59,34788.99,,112792.0,2800.0,,62716.89,
112013753.0,Gettysburg Area SD,Adams,189406.1,1944614.79,1185730.73,606876.7,472353.03,,313232.0,,6601.5,36657.43,297849.63
112015203.0,Littlestown Area SD,Adams,278628.55,374056.97,958999.88,121478.28,548525.92,,182720.0,2250.0,130065.51,540070.12,
112018523.0,Upper Adams SD,Adams,372504.54,730184.36,675566.58,250819.44,169855.75,,259869.0,2550.0,,56926.51,270807.58
103020603.0,Allegheny Valley SD,Allegheny,29050.0,,311167.44,,328189.56,,143087.43,,671887.88,151564.2,
103020753.0,Avonworth SD,Allegheny,51758.93,80373.96,107994.11,145306.04,89493.96,,367566.0,18000.0,67463.0,234168.75,
103021102.0,Baldwin-Whitehall SD,Allegheny,,505759.44,997175.3,0.0,0.0,,930024.04,,987351.17,64272.25,47016.69
103021252.0,Bethel Park SD,Allegheny,82414.55,362284.52,604895.56,217679.6,615170.6,99596.89,718068.39,,1054043.83,9525.0,
103021453.0,Brentwood Borough SD,Allegheny,119559.94,159061.41,477226.81,193069.86,360805.17,22620.0,321949.95,,220561.44,31991.75,
103021603.0,Carlynton SD,Allegheny,9540.0,404170.24,558513.16,142517.92,355296.72,444108.65,442662.9,,252599.29,13.08,
103021752.0,Chartiers Valley SD,Allegheny,18360.0,312989.95,346181.13,140117.53,159093.84,1990.0,860120.61,,844399.16,44643.9,309112.68
103021903.0,Clairton City SD,Allegheny,57004.63,1283275.85,186732.63,694631.74,100636.76,,227286.96,1200.0,239818.95,220881.4,
103022103.0,Cornell SD,Allegheny,2833.0,204541.0,360136.0,81931.0,144256.0,,209213.0,,167961.0,324057.0,
103022253.0,Deer Lakes SD,Allegheny,70452.65,,440783.33,,247087.3,280025.36,847291.93,5912.0,440680.67,1871.32,144933.67
103022503.0,Duquesne City SD,Allegheny,4159547.0,2325819.0,212283.0,1514664.0,448204.0,337025.0,134413.0,,156305.0,18.13,
103022803.0,East Allegheny SD,Allegheny,,3071337.0,1395024.59,0.0,0.0,3900.0,463776.21,,504995.39,286593.69,309024.87
103023153.0,Elizabeth Forward SD,Allegheny,31554.74,39204.36,598795.9,0.0,298756.06,,529895.29,,124086.75,,8176.0
103023912.0,Fox Chapel Area SD,Allegheny,94013.86,150793.67,513025.75,232304.8,510077.93,220442.43,644137.92,,821735.72,,
103024102.0,Gateway SD,Allegheny,188374.41,1405441.36,794421.95,901211.74,764075.23,897452.8,797071.62,,650345.99,30970.57,70985.57
103024603.0,Hampton Township SD,Allegheny,89535.9,15485.68,557289.97,76295.65,235502.1,,753754.26,,419351.49,12054.24,
103024753.0,Highlands SD,Allegheny,203149.0,339343.0,1219418.0,140928.0,506421.0,1457105.0,355457.0,,342272.0,,3.0
103025002.0,Keystone Oaks SD,Allegheny,19000.0,500906.0,502768.0,94848.0,206208.0,610777.0,504602.0,,148191.0,2324.0,
103026002.0,McKeesport Area SD,Allegheny,219288.0,5273738.0,950973.0,3801364.0,685471.0,,,,656218.0,380615.0,
103026303.0,Montour SD,Allegheny,123737.89,545002.38,522219.65,245189.56,462570.89,601521.92,917067.57,,274165.63,0.01,63718.0
103026343.0,Moon Area SD,Allegheny,53884.65,,662546.85,,715352.24,264771.9,662407.22,,716748.56,54838.35,2254.0
103026402.0,Mt Lebanon SD,Allegheny,6666.2,29836.86,552304.71,88649.9,27120.36,523668.23,363170.97,,410527.95,18000.0,28323.0
103026852.0,North Allegheny SD,Allegheny,,453668.15,1345749.55,202139.72,396899.67,768348.35,1159327.12,,878295.01,64400.4,
103026902.0,North Hills SD,Allegheny,103497.0,177245.57,447382.45,370434.14,456186.91,,999788.0,,1243147.18,,668231.22
103026873.0,Northgate SD,Allegheny,46614.0,622250.0,675501.0,162242.0,84859.0,4122.0,625705.0,27900.0,577393.0,158304.0,87258.0
103027352.0,Penn Hills SD,Allegheny,648403.04,7005058.78,1952708.89,5525599.58,1558502.44,756665.4,488633.78,50511.1,1333131.58,386947.24,
103021003.0,Pine-Richland SD,Allegheny,,50733.0,449935.0,53041.0,332392.0,,683023.0,,1397440.0,4073.0,330950.0
102027451.0,Pittsburgh SD,Allegheny,2716690.87,77403382.42,15225545.59,16943750.76,4432710.57,,,10613.0,3656385.18,72220.83,961465.88
103027503.0,Plum Borough SD,Allegheny,147112.98,252630.35,585231.43,173063.38,392586.79,,802531.86,,532641.78,109440.89,309417.44
103027753.0,Quaker Valley SD,Allegheny,18360.06,207744.24,279774.83,71916.54,119453.37,,235024.85,,254365.92,17950.0,
103028203.0,Riverview SD,Allegheny,,280994.94,292579.06,0.0,0.0,,144440.0,,390869.0,119348.0,15500.0
103028302.0,Shaler Area SD,Allegheny,94575.0,241115.51,1601941.67,590146.54,825002.33,506710.51,1494093.01,,615894.43,156668.61,195078.5
103028653.0,South Allegheny SD,Allegheny,887917.01,464699.0,345366.74,412541.96,451729.0,,433434.45,,771075.89,,
103028703.0,South Fayette Township SD,Allegheny,,87045.91,411564.16,46062.86,234066.22,494418.28,594165.0,2549.71,296692.91,17502.72,4432.5
103028753.0,South Park SD,Allegheny,61533.0,129157.1,509131.13,228405.64,340693.62,435430.63,445036.09,,299132.33,11468.5,
103028833.0,Steel Valley SD,Allegheny,50891.0,2660545.99,878304.0,2605510.87,1207208.0,602840.11,239571.39,,453080.25,65891.39,
103028853.0,Sto-Rox SD,Allegheny,209464.72,4718490.67,1572830.22,1040070.14,0.0,378680.22,211910.81,4393.0,1016058.89,43886.32,
103029203.0,Upper St. Clair SD,Allegheny,,55243.94,190639.73,90415.2,38601.43,729574.53,275859.85,,319544.92,,22578.25
103029403.0,West Allegheny SD,Allegheny,22046.2,215814.72,404042.25,0.0,229352.67,452702.78,713134.08,105122.11,202081.1,200964.26,
103029553.0,West Jefferson Hills SD,Allegheny,13400.0,128233.88,369421.6,45065.7,147033.72,129420.49,522902.2,72000.0,157114.79,,
103029603.0,West Mifflin Area SD,Allegheny,42373.27,771260.23,771260.22,469180.42,469180.41,,565444.44,,923734.89,10.08,830963.7
103029803.0,Wilkinsburg Borough SD,Allegheny,3199988.34,4476989.91,1050158.12,3687478.79,809446.56,,10169.23,,557748.25,206131.71,360811.6
103029902.0,Woodland Hills SD,Allegheny,326516.38,7363875.68,4832481.15,9145055.36,2527824.6,215610.05,557099.04,,1863395.02,98370.45,
128030603.0,Apollo-Ridge SD,Armstrong,70550.59,,704869.1,,250740.8,407564.33,918514.58,,,,317775.18
128030852.0,Armstrong SD,Armstrong,3154123.78,,1648126.11,,1527607.95,,5477233.44,,459106.3,77598.42,
128033053.0,Freeport Area SD,Armstrong,157372.0,,460009.0,,164346.23,130830.22,808037.09,,294559.35,150168.89,
128034503.0,Leechburg Area SD,Armstrong,21345.0,,375523.31,,248381.97,53685.66,339732.94,,59931.69,-1719.21,
127040503.0,Aliquippa SD,Beaver,32941.1,497560.58,,779075.43,,,154859.39,,78539.21,27752.99,
127040703.0,Ambridge Area SD,Beaver,227199.77,3390974.92,746522.84,2471565.45,833395.79,270909.83,443327.18,,767539.06,426.0,
127041203.0,Beaver Area SD,Beaver,287515.2,352513.11,471119.83,169863.3,151635.29,60015.8,367650.79,17478.75,323059.29,110380.82,
127041503.0,Big Beaver Falls Area SD,Beaver,246766.59,540315.04,1260735.1,0.0,0.0,384263.99,228199.4,,108399.81,17080.92,4020.0
127041603.0,Blackhawk SD,Beaver,5213.01,268811.41,784510.16,0.0,0.0,681593.0,452835.91,,230311.54,151141.85,
127042003.0,Central Valley SD,Beaver,64588.22,791387.43,651267.0,119990.56,325141.4,,443469.39,,114660.97,9290.0,
127042853.0,Freedom Area SD,Beaver,688.29,437155.07,444292.22,254001.38,215964.05,598404.12,369303.01,,117320.93,18550.0,
127044103.0,Hopewell Area SD,Beaver,155432.6,644637.75,736539.61,227673.62,668698.4,,403552.49,,54665.32,,
127045303.0,Midland Borough SD,Beaver,782331.29,334670.6,164263.91,43634.57,178162.35,,,,19385.05,20548.24,
