School District,District Address (City),District Address (Street),District Zip Code,Geographic Size of District (Square Miles)
Abington Heights SD,Clarks Summit,200 E Grove St,18411,70.55
Abington SD,Abington,970 Highland Ave,19001,15.86
Albert Gallatin Area SD,Uniontown,2625 Morgantown Rd,15401,141.66
Aliquippa SD,Aliquippa,800 21st Street,15001,4.6
Allegheny Valley SD,Cheswick,300 Pearl Ave,15024,10.38
Allegheny-Clarion Valley SD,Foxburg,776 Route 58,16036,125.29
Allentown City SD,Allentown,31 S Penn Street,18105,18.02
Altoona Area SD,Altoona,1404 6th Ave,16602,70.19
Ambridge Area SD,Ambridge,901 Duss Avenue,15003,25.59
Annville-Cleona SD,Annville,520 S White Oak St,17003,39.22
Antietam SD,Reading,100 Antietam Rd Stony Ck Mills,19606,5.21
Apollo-Ridge SD,Spring Church,1825 State Route 56,15686,76.83
Armstrong SD,Kittanning,181 Heritage Park Drive,16201,444.17
Athens Area SD,Athens,100 Canal Street,18810,183
Austin Area SD,Austin,138 Costello Avenue,16720,226.05
Avella Area SD,Avella,1000 Avella Rd,15312,74.32
Avon Grove SD,West Grove,375 S Jennersville Road,19390,62.72
Avonworth SD,Pittsburgh,258 Josephs Lane,15237,10.78
Bald Eagle Area SD,Wingate,751 S Eagle Valley Rd,16823,341.16
Baldwin-Whitehall SD,Pittsburgh,4900 Curry Rd,15236,10.78
Bangor Area SD,Bangor,123 Five Points Richmond Rd,18013,87.18
Beaver Area SD,Beaver,1300 Fifth Street,15009,22.46
Bedford Area SD,Bedford,330 E John St,15522,291.18
Belle Vernon Area SD,Belle Vernon,270 Crest Avenue,15012,43.82
Bellefonte Area SD,Bellefonte,318 N Allegheny St,16823,116.75
Bellwood-Antis SD,Bellwood,300 Martin Street,16617,61.49
Bensalem Township SD,Bensalem,3000 Donallen Dr,19020,20.92
Benton Area SD,Benton,600 Green Acres Rd,17814,97.17
Bentworth SD,Bentleyville,150 Bearcat Drive,15314,59.07
Berlin Brothersvalley SD,Berlin,1025 Main St,15530,165.02
Bermudian Springs SD,York Springs,7335 Carlisle Pike,17372,75.27
Berwick Area SD,Berwick,500 Line St,18603,91.11
Bethel Park SD,Bethel Park,301 Church Rd,15102,11.75
Bethlehem Area SD,Bethlehem,1516 Sycamore St,18017,42.06
Bethlehem-Center SD,Fredericktown,194 Crawford Rd,15333,55.33
Big Beaver Falls Area SD,Beaver Falls,1503 8th Avenue,15010,22.21
Big Spring SD,Newville,45 Mount Rock Rd,17241,195.06
Blackhawk SD,Beaver Falls,500 Blackhawk Rd,15010,70.79
Blacklick Valley SD,Nanty Glo,555 Birch St,15943,33.54
Blairsville-Saltsburg SD,Blairsville,102 School Lane,15717,110.85
Bloomsburg Area SD,Bloomsburg,728 E 5th St,17815,84.63
Blue Mountain SD,Orwigsburg,685 Red Dale Rd,17961,123.21
Blue Ridge SD,New Milford,5150 School Road,18834,110.53
Boyertown Area SD,Boyertown,911 Montgomery Ave,19512,97.94
Bradford Area SD,Bradford,150 Lorana Ave,16701,253.52
Brandywine Heights Area SD,Topton,200 W Weis St,19562,52.17
Brentwood Borough SD,Pittsburgh,3601 Brownsville Rd,15227,1.45
Bristol Borough SD,Bristol,1776 Farragut Avenue,19007,1.86
Bristol Township SD,Levittown,5 Blue Lake Rd,19057,17.2
Brockway Area SD,Brockway,40 North St,15824,130.4
Brookville Area SD,Brookville,104 Jenks Street,15825,262.95
Brownsville Area SD,Brownsville,5 Falcon Drive,15417,56.66
Burgettstown Area SD,Burgettstown,100 Bavington Rd,15021,105.34
Burrell SD,Lower Burrell,1021 Puckety Church Rd,15068,26.65
Butler Area SD,Butler,110 Campus Lane,16001,144.24
California Area SD,Coal Center,11 Trojan Way Suite 100,15423,34.58
Cambria Heights SD,Patton,426 Glendale Lake Rd,16668,111.07
Cameron County SD,Emporium,601 Woodland Ave,15834,398.42
Camp Hill SD,Camp Hill,2627 Chestnut St,17011,2.12
Canon-McMillan SD,Canonsburg,1 N Jefferson Ave,15317,56.09
Canton Area SD,Canton,509 E Main St,17724,211.41
Carbondale Area SD,Carbondale,101 Brooklyn St,18407,18.59
Carlisle Area SD,Carlisle,623 W. Penn St.,17013,76.49
Carlynton SD,Carnegie,435 Kings Hwy,15106,3.32
Carmichaels Area SD,Carmichaels,225 N Vine St,15320,39.07
Catasauqua Area SD,Catasauqua,201 N 14th St,18032,6.31
Centennial SD,Warminster,48 Swan Way,18974,17.17
Central Bucks SD,Doylestown,20 Welden Dr,18901,121.04
Central Cambria SD,Ebensburg,208 Schoolhouse Rd,15931,99.89
Central Columbia SD,Bloomsburg,4777 Old Berwick Rd,17815,78.67
Central Dauphin SD,Harrisburg,600 Rutherford Rd,17109,127.35
Central Fulton SD,McConnellsburg,151 E Cherry St,17233,120.56
Central Greene SD,Waynesburg,250 S. Cumberland Street,15370,169.78
Central Valley SD,Monaca,160 Baker Road Extension,15061,24.67
Central York SD,York,775 Marion Rd,17406,29.1
Chambersburg Area SD,Chambersburg,435 Stanley Ave,17201,249.31
Charleroi SD,Charleroi,125 Fecsen Drive,15022,26.06
Chartiers Valley SD,Pittsburgh,2030 Swallow Hill Rd,15220,19.22
Chartiers-Houston SD,Houston,2020 W Pike St,15342,25.02
Cheltenham SD,Elkins Park,2000 Ashbourne Rd,19027,9.05
Chester-Upland SD,Chester,Attn: Administration Suite,19013,8.08
