ABINGTON HEIGHTS SD,Clarks Summit,200 E Grove St,18411,70.55
ABINGTON SD,Abington,970 Highland Ave,19001,15.86
ALBERT GALLATIN AREA SD,Uniontown,2625 Morgantown Rd,15401,141.66
ALIQUIPPA SD,Aliquippa,800 21st Street,15001,4.6
ALLEGHENY VALLEY SD,Cheswick,300 Pearl Ave,15024,10.38
ALLEGHENY-CLARION VALLEY SD,Foxburg,776 Route 58,16036,125.29
ALLENTOWN CITY SD,Allentown,31 S Penn Street,18105,18.02
ALTOONA AREA SD,Altoona,1404 6th Ave,16602,70.19
AMBRIDGE AREA SD,Ambridge,901 Duss Avenue,15003,25.59
ANNVILLE-CLEONA SD,Annville,520 S White Oak St,17003,39.22
ANTIETAM SD,Reading,100 Antietam Rd Stony Ck Mills,19606,5.21
APOLLO-RIDGE SD,Spring Church,1825 State Route 56,15686,76.83
ARMSTRONG SD,Kittanning,181 Heritage Park Drive,16201,444.17
ATHENS AREA SD,Athens,100 Canal Street,18810,183
AUSTIN AREA SD,Austin,138 Costello Avenue,16720,226.05
AVELLA AREA SD,Avella,1000 Avella Rd,15312,74.32
AVON GROVE SD,West Grove,375 S Jennersville Road,19390,62.72
AVONWORTH SD,Pittsburgh,258 Josephs Lane,15237,10.78
BALD EAGLE AREA SD,Wingate,751 S Eagle Valley Rd,16823,341.16
BALDWIN-WHITEHALL SD,Pittsburgh,4900 Curry Rd,15236,10.78
BANGOR AREA SD,Bangor,123 Five Points Richmond Rd,18013,87.18
BEAVER AREA SD,Beaver,1300 Fifth Street,15009,22.46
BEDFORD AREA SD,Bedford,330 E John St,15522,291.18
BELLE VERNON AREA SD,Belle Vernon,270 Crest Avenue,15012,43.82
BELLEFONTE AREA SD,Bellefonte,318 N Allegheny St,16823,116.75
BELLWOOD-ANTIS SD,Bellwood,300 Martin Street,16617,61.49
BENSALEM TOWNSHIP SD,Bensalem,3000 Donallen Dr,19020,20.92
BENTON AREA SD,Benton,600 Green Acres Rd,17814,97.17
BENTWORTH SD,Bentleyville,150 Bearcat Drive,15314,59.07
BERLIN BROTHERSVALLEY SD,Berlin,1025 Main St,15530,165.02
BERMUDIAN SPRINGS SD,York Springs,7335 Carlisle Pike,17372,75.27
BERWICK AREA SD,Berwick,500 Line St,18603,91.11
BETHEL PARK SD,Bethel Park,301 Church Rd,15102,11.75
BETHLEHEM AREA SD,Bethlehem,1516 Sycamore St,18017,42.06
BETHLEHEM-CENTER SD,Fredericktown,194 Crawford Rd,15333,55.33
BIG BEAVER FALLS AREA SD,Beaver Falls,1503 8th Avenue,15010,22.21
BIG SPRING SD,Newville,45 Mount Rock Rd,17241,195.06
BLACKHAWK SD,Beaver Falls,500 Blackhawk Rd,15010,70.79
BLACKLICK VALLEY SD,Nanty Glo,555 Birch St,15943,33.54
BLAIRSVILLE-SALTSBURG SD,Blairsville,102 School Lane,15717,110.85
BLOOMSBURG AREA SD,Bloomsburg,728 E 5th St,17815,84.63
BLUE MOUNTAIN SD,Orwigsburg,685 Red Dale Rd,17961,123.21
BLUE RIDGE SD,New Milford,5150 School Road,18834,110.53
BOYERTOWN AREA SD,Boyertown,911 Montgomery Ave,19512,97.94
BRADFORD AREA SD,Bradford,150 Lorana Ave,16701,253.52
BRANDYWINE HEIGHTS AREA SD,Topton,200 W Weis St,19562,52.17
BRENTWOOD BOROUGH SD,Pittsburgh,3601 Brownsville Rd,15227,1.45
BRISTOL BOROUGH SD,Bristol,1776 Farragut Avenue,19007,1.86
BRISTOL TOWNSHIP SD,Levittown,5 Blue Lake Rd,19057,17.2
BROCKWAY AREA SD,Brockway,40 North St,15824,130.4
BROOKVILLE AREA SD,Brookville,104 Jenks Street,15825,262.95
BROWNSVILLE AREA SD,Brownsville,5 Falcon Drive,15417,56.66
BURGETTSTOWN AREA SD,Burgettstown,100 Bavington Rd,15021,105.34
BURRELL SD,Lower Burrell,1021 Puckety Church Rd,15068,26.65
BUTLER AREA SD,Butler,110 Campus Lane,16001,144.24
CALIFORNIA AREA SD,Coal Center,11 Trojan Way Suite 100,15423,34.58
CAMBRIA HEIGHTS SD,Patton,426 Glendale Lake Rd,16668,111.07
CAMERON COUNTY SD,Emporium,601 Woodland Ave,15834,398.42
CAMP HILL SD,Camp Hill,2627 Chestnut St,17011,2.12
CANON-MCMILLAN SD,Canonsburg,1 N Jefferson Ave,15317,56.09
CANTON AREA SD,Canton,509 E Main St,17724,211.41
CARBONDALE AREA SD,Carbondale,101 Brooklyn St,18407,18.59
CARLISLE AREA SD,Carlisle,623 W. Penn St.,17013,76.49
CARLYNTON SD,Carnegie,435 Kings Hwy,15106,3.32
CARMICHAELS AREA SD,Carmichaels,225 N Vine St,15320,39.07
CATASAUQUA AREA SD,Catasauqua,201 N 14th St,18032,6.31
CENTENNIAL SD,Warminster,48 Swan Way,18974,17.17
CENTRAL BUCKS SD,Doylestown,20 Welden Dr,18901,121.04
CENTRAL CAMBRIA SD,Ebensburg,208 Schoolhouse Rd,15931,99.89
CENTRAL COLUMBIA SD,Bloomsburg,4777 Old Berwick Rd,17815,78.67
CENTRAL DAUPHIN SD,Harrisburg,600 Rutherford Rd,17109,127.35
CENTRAL FULTON SD,McConnellsburg,151 E Cherry St,17233,120.56
CENTRAL GREENE SD,Waynesburg,250 S. Cumberland Street,15370,169.78
CENTRAL VALLEY SD,Monaca,160 Baker Road Extension,15061,24.67
