Abington Heights SD	District Address (City)	Clarks Summit
Abington Heights SD	District Address (Street)	200 E Grove St
Abington Heights SD	District Name	Abington Heights SD
Abington Heights SD	District Zip Code	18411
Abington Heights SD	Geographic Size of District (Square Miles)	70.55
Abington SD	District Address (City)	Abington
Abington SD	District Address (Street)	970 Highland Ave
Abington SD	District Name	Abington SD
Abington SD	District Zip Code	19001
Abington SD	Geographic Size of District (Square Miles)	15.86
Albert Gallatin Area SD	District Address (City)	Uniontown
Albert Gallatin Area SD	District Address (Street)	2625 Morgantown Rd
Albert Gallatin Area SD	District Name	Albert Gallatin Area SD
Albert Gallatin Area SD	District Zip Code	15401
Albert Gallatin Area SD	Geographic Size of District (Square Miles)	141.66
Aliquippa SD	District Address (City)	Aliquippa
Aliquippa SD	District Address (Street)	800 21st Street
Aliquippa SD	District Name	Aliquippa SD
Aliquippa SD	District Zip Code	15001
Aliquippa SD	Geographic Size of District (Square Miles)	4.6
Allegheny Valley SD	District Address (City)	Cheswick
Allegheny Valley SD	District Address (Street)	300 Pearl Ave
Allegheny Valley SD	District Name	Allegheny Valley SD
Allegheny Valley SD	District Zip Code	15024
Allegheny Valley SD	Geographic Size of District (Square Miles)	10.38
Allegheny-Clarion Valley SD	District Address (City)	Foxburg
Allegheny-Clarion Valley SD	District Address (Street)	776 Route 58
Allegheny-Clarion Valley SD	District Name	Allegheny-Clarion Valley SD
Allegheny-Clarion Valley SD	District Zip Code	16036
Allegheny-Clarion Valley SD	Geographic Size of District (Square Miles)	125.29
Allentown City SD	District Address (City)	Allentown
Allentown City SD	District Address (Street)	31 S Penn Street
Allentown City SD	District Name	Allentown City SD
Allentown City SD	District Zip Code	18105
Allentown City SD	Geographic Size of District (Square Miles)	18.02
Altoona Area SD	District Address (City)	Altoona
Altoona Area SD	District Address (Street)	1404 6th Ave
Altoona Area SD	District Name	Altoona Area SD
Altoona Area SD	District Zip Code	16602
Altoona Area SD	Geographic Size of District (Square Miles)	70.19
Ambridge Area SD	District Address (City)	Ambridge
Ambridge Area SD	District Address (Street)	901 Duss Avenue
Ambridge Area SD	District Name	Ambridge Area SD
Ambridge Area SD	District Zip Code	15003
Ambridge Area SD	Geographic Size of District (Square Miles)	25.59
Annville-Cleona SD	District Address (City)	Annville
Annville-Cleona SD	District Address (Street)	520 S White Oak St
Annville-Cleona SD	District Name	Annville-Cleona SD
Annville-Cleona SD	District Zip Code	17003
Annville-Cleona SD	Geographic Size of District (Square Miles)	39.22
Antietam SD	District Address (City)	Reading
Antietam SD	District Address (Street)	100 Antietam Rd Stony Ck Mills
Antietam SD	District Name	Antietam SD
Antietam SD	District Zip Code	19606
Antietam SD	Geographic Size of District (Square Miles)	5.21
Apollo-Ridge SD	District Address (City)	Spring Church
Apollo-Ridge SD	District Address (Street)	1825 State Route 56
Apollo-Ridge SD	District Name	Apollo-Ridge SD
Apollo-Ridge SD	District Zip Code	15686
Apollo-Ridge SD	Geographic Size of District (Square Miles)	76.83
Armstrong SD	District Address (City)	Kittanning
Armstrong SD	District Address (Street)	181 Heritage Park Drive
Armstrong SD	District Name	Armstrong SD
Armstrong SD	District Zip Code	16201
Armstrong SD	Geographic Size of District (Square Miles)	444.17
Athens Area SD	District Address (City)	Athens
Athens Area SD	District Address (Street)	100 Canal Street
Athens Area SD	District Name	Athens Area SD
Athens Area SD	District Zip Code	18810
Athens Area SD	Geographic Size of District (Square Miles)	183
Austin Area SD	District Address (City)	Austin
Austin Area SD	District Address (Street)	138 Costello Avenue
Austin Area SD	District Name	Austin Area SD
Austin Area SD	District Zip Code	16720
Austin Area SD	Geographic Size of District (Square Miles)	226.05
Avella Area SD	District Address (City)	Avella
Avella Area SD	District Address (Street)	1000 Avella Rd
Avella Area SD	District Name	Avella Area SD
Avella Area SD	District Zip Code	15312
Avella Area SD	Geographic Size of District (Square Miles)	74.32
Avon Grove SD	District Address (City)	West Grove
