21ST CENTURY CYBER CS,0,12807718.82,40241.7,12537120.49,12847960.52,2016
A W BEATTIE CAREER CENTER,291578,7300334,1113947,8555788.95,8713750,2016
ACT ACADEMY CYBER CS,192675,1586308.61,8307,1830478.84,1787290.61,2016
ASPIRA BILINGUAL CYBER CHARTER SCHOOL,606493.87,4186508.91,7146.23,5483475.29,4800149.01,2016
ABINGTON HEIGHTS SD,309009.33,31885494.99,14871217.02,47244735.95,47193731.34,2016
ABINGTON SD,1432686.2,112671313.9,31776716.3,146359769.6,146880716.4,2016
ACADEMY CS,412492,2527662,34510,2860817,2974664,2016
ACHIEVEMENT HOUSE CS,500202.43,7240930.65,65310.54,8206485.13,7806443.62,2016
AD PRIMA CS,533138,6772680,125811,7205395,7431629,2016
ADMIRAL PEARY AREA VOCATIONAL-TECHNICAL SCHOOL,119601,2242215.74,795797.58,3153238.43,3157614.32,2016
AGORA CYBER CS,2427623,93851918,0,111830032,102649100,2016
ALBERT GALLATIN AREA SD,2505526.49,12797079.96,37562154.42,50644144.56,53023607.02,2016
ALIQUIPPA SD,2408167.44,6616842.37,14695188.83,23180355.46,23720198.64,2016
ALLEGHENY VALLEY SD,260062,16296576.07,5930082.03,21227327,22536116.1,2016
ALLEGHENY-CLARION VALLEY SD,1311767.05,4329708.53,9355612.55,14564414.85,14997088.13,2016
ALLENTOWN CITY SD,15399600,98531193,170031359,298166283,284122038,2016
ALLIANCE FOR PROGRESS CS,403080,4687025,101633,5277492,5191738,2016
ALTOONA AREA SD,4730973.36,28263424,64586882.1,104679637.2,99612691.98,2016
AMBRIDGE AREA SD,871490.33,25272886.06,20727568.87,45840130.08,46873214.75,2016
ANNVILLE-CLEONA SD,315513.76,14554177.94,8209025.37,22972650.1,23897392.19,2016
ANTIETAM SD,354164.04,10559611.97,6677107.2,18395008.37,17817061.25,2016
ANTONIA PANTOJA COMMUNITY CHARTER SCHOOL,1453548.34,9824708.58,36420.19,11770172.93,11314677.11,2016
APOLLO-RIDGE SD,575732.59,8612200.84,14019916.28,22526193.23,23207849.71,2016
ARMSTRONG SD,4194869,37984571,57600074.01,97213267.3,99780217.45,2016
ARTS ACADEMY CS,176615.83,4699554.23,16344.65,4658356.72,4892514.71,2016
ARTS ACADEMY ELEMENTARY CHARTER SCHOOL,239259,4492218,7453.2,4945975.43,4738930.2,2016
ATHENS AREA SD,990543.15,16939238.97,20027938.07,37962392.48,37965720.19,2016
AUSTIN AREA SD,575037.07,1790559.42,2533107.41,4856818.51,4898703.9,2016
AVELLA AREA SD,193839.66,3507867.06,6431737.73,10220683.73,10267869.05,2016
AVON GROVE CS,285154,22509800,119867,22523500,22914821,2016
AVON GROVE SD,638100.4,54639124.54,30203440.9,88475906.31,85509201.37,2016
AVONWORTH SD,181460,22405469,7035193.5,28801088.37,29622122.5,2016
BADEN ACADEMY CS,159852.93,6980008.8,77763.68,6560985.13,7227470.6,2016
BALD EAGLE AREA SD,320355.55,15652996.22,15516244.3,29232900.49,31489658.47,2016
BALDWIN-WHITEHALL SD,860851.47,40465105.16,22624064.98,64358558.77,64254538.61,2016
BANGOR AREA SD,655815.77,33613743.43,20327644.74,54313568.42,54597203.94,2016
BEAR CREEK COMMUNITY CS,330806.88,6280047.91,116333.93,6788675.99,6727993.47,2016
BEAVER AREA SD,480281.47,19492407.63,11254492.29,29963477.12,31659013.22,2016
BEAVER COUNTY CAREER & TECHNOLOGY CENTER,294293,4268109.19,1174048.72,5665681.1,5736450.91,2016
BEDFORD AREA SD,1635871.33,13855298.29,13958864.63,28810613.66,29450034.25,2016
BEDFORD COUNTY TECHNICAL CENTER,80411,1237951.92,604323.14,1864920.67,1922686.06,2016
BELLE VERNON AREA SD,737394.34,18340640.74,17317032.19,36848493.88,36395067.27,2016
BELLEFONTE AREA SD,653289.43,30848934.55,16339957.85,56724301.4,57907181.83,2016
BELLWOOD-ANTIS SD,284807.06,6783695.56,10449150.37,17433098.71,17517652.99,2016
