Name,DataElement,DisplayValue
21st Century Cyber CS,AverageDailyMembership(ADM),1611.38
A W Beattie Career Center,AverageDailyMembership(ADM),NULL
Abington Heights SD,AverageDailyMembership(ADM),3575.35
Abington SD,AverageDailyMembership(ADM),8478.9
Achievement House CS,AverageDailyMembership(ADM),1064.86
Ad Prima CS,AverageDailyMembership(ADM),581.6
Adams County Technical Institute,AverageDailyMembership(ADM),NULL
Admiral Peary AVTS,AverageDailyMembership(ADM),NULL
Agora Cyber CS,AverageDailyMembership(ADM),5634.08
Albert Gallatin Area SD,AverageDailyMembership(ADM),3203.78
Aliquippa SD,AverageDailyMembership(ADM),1260.02
Allegheny Valley SD,AverageDailyMembership(ADM),929.69
Allegheny-Clarion Valley SD,AverageDailyMembership(ADM),636.56
Allentown City SD,AverageDailyMembership(ADM),21026.22
Alliance for Progress CS,AverageDailyMembership(ADM),543.22
Altoona Area SD,AverageDailyMembership(ADM),7514.9
Ambridge Area SD,AverageDailyMembership(ADM),2659.55
Annville-Cleona SD,AverageDailyMembership(ADM),1492.48
Antietam SD,AverageDailyMembership(ADM),1166.32
Antonia Pantoja Community CS,AverageDailyMembership(ADM),686.63
Apollo-Ridge SD,AverageDailyMembership(ADM),1200.45
Armstrong SD,AverageDailyMembership(ADM),5216.93
Arts Academy CS,AverageDailyMembership(ADM),326.27
Arts Academy Elementary CS,AverageDailyMembership(ADM),416.33
ASPIRA Bilingual Cyber CS,AverageDailyMembership(ADM),585.27
Athens Area SD,AverageDailyMembership(ADM),2092.12
Austin Area SD,AverageDailyMembership(ADM),151.62
Avella Area SD,AverageDailyMembership(ADM),498.96
Avon Grove CS,AverageDailyMembership(ADM),1889.82
Avon Grove SD,AverageDailyMembership(ADM),5889.6
Avonworth SD,AverageDailyMembership(ADM),1873.64
Baden Academy CS,AverageDailyMembership(ADM),566.35
Bald Eagle Area SD,AverageDailyMembership(ADM),1563.68
Baldwin-Whitehall SD,AverageDailyMembership(ADM),4595.28
Bangor Area SD,AverageDailyMembership(ADM),3003.88
Bear Creek Community CS,AverageDailyMembership(ADM),509.1
Beaver Area SD,AverageDailyMembership(ADM),2088.32
Beaver County Career & Technology Center,AverageDailyMembership(ADM),NULL
Bedford Area SD,AverageDailyMembership(ADM),1900.9
Bedford County Technical Center,AverageDailyMembership(ADM),NULL
Belle Vernon Area SD,AverageDailyMembership(ADM),2461.14
Bellefonte Area SD,AverageDailyMembership(ADM),2814.39
Bellwood-Antis SD,AverageDailyMembership(ADM),1208.52
Belmont CS,AverageDailyMembership(ADM),894.78
Bensalem Township SD,AverageDailyMembership(ADM),7826.5
Benton Area SD,AverageDailyMembership(ADM),671.97
Bentworth SD,AverageDailyMembership(ADM),1098.22
Berks CTC-East Campus,AverageDailyMembership(ADM),NULL
Berlin Brothersvalley SD,AverageDailyMembership(ADM),731.86
Bermudian Springs SD,AverageDailyMembership(ADM),1923
Berwick Area SD,AverageDailyMembership(ADM),2937.34
Bethel Park SD,AverageDailyMembership(ADM),4047.93
Bethlehem Area SD,AverageDailyMembership(ADM),15225.29
Bethlehem AVTS,AverageDailyMembership(ADM),NULL
Bethlehem-Center SD,AverageDailyMembership(ADM),1044.98
Big Beaver Falls Area SD,AverageDailyMembership(ADM),1796.1
Big Spring SD,AverageDailyMembership(ADM),2557.24
Blackhawk SD,AverageDailyMembership(ADM),2430.39
Blacklick Valley SD,AverageDailyMembership(ADM),646.88
Blairsville-Saltsburg SD,AverageDailyMembership(ADM),1416.68
Bloomsburg Area SD,AverageDailyMembership(ADM),1696.38
Blue Mountain SD,AverageDailyMembership(ADM),2594.65
Blue Ridge SD,AverageDailyMembership(ADM),985.83
Boyertown Area SD,AverageDailyMembership(ADM),6978.79
Boys' Latin of Philadelphia CS,AverageDailyMembership(ADM),752.03
Bradford Area SD,AverageDailyMembership(ADM),2456.1
Brandywine Heights Area SD,AverageDailyMembership(ADM),1349.56
Brentwood Borough SD,AverageDailyMembership(ADM),1195.49
Bristol Borough SD,AverageDailyMembership(ADM),1339.09
Bristol Township SD,AverageDailyMembership(ADM),7036.57
Brockway Area SD,AverageDailyMembership(ADM),962.96
Brookville Area SD,AverageDailyMembership(ADM),1503.08
Brownsville Area SD,AverageDailyMembership(ADM),1649.01
Bucks County Montessori CS,AverageDailyMembership(ADM),184.91
Bucks County Technical High School,AverageDailyMembership(ADM),NULL
Burgettstown Area SD,AverageDailyMembership(ADM),1054.98
Burrell SD,AverageDailyMembership(ADM),1754.68
Butler Area SD,AverageDailyMembership(ADM),6317.73
Butler County AVTS,AverageDailyMembership(ADM),NULL
California Area SD,AverageDailyMembership(ADM),940.89
Cambria Heights SD,AverageDailyMembership(ADM),1322.76
Cameron County SD,AverageDailyMembership(ADM),563.01
Camp Hill SD,AverageDailyMembership(ADM),1259.42
Canon-McMillan SD,AverageDailyMembership(ADM),5549.26
Canton Area SD,AverageDailyMembership(ADM),855.04
Capital Area School for the Arts CS,AverageDailyMembership(ADM),189.22
Carbon Career & Technical Institute,AverageDailyMembership(ADM),NULL
Carbondale Area SD,AverageDailyMembership(ADM),1643.88
Career Institute of Technology,AverageDailyMembership(ADM),NULL
Carlisle Area SD,AverageDailyMembership(ADM),5222.6
Carlynton SD,AverageDailyMembership(ADM),1375.74
Carmichaels Area SD,AverageDailyMembership(ADM),1020.28
Catalyst Academy CS,AverageDailyMembership(ADM),174.96
Catasauqua Area SD,AverageDailyMembership(ADM),1666.54
Centennial SD,AverageDailyMembership(ADM),5427.11
Center for Student Learning CS at Pennsbury,AverageDailyMembership(ADM),159.73
Central Bucks SD,AverageDailyMembership(ADM),17795.75
Central Cambria SD,AverageDailyMembership(ADM),1614.1
Central Columbia SD,AverageDailyMembership(ADM),1935.35
Central Dauphin SD,AverageDailyMembership(ADM),13694.81
Central Fulton SD,AverageDailyMembership(ADM),959.72
Central Greene SD,AverageDailyMembership(ADM),1600.77
Central Montco Technical High School,AverageDailyMembership(ADM),NULL
Central PA Digital Lrng Foundation CS,AverageDailyMembership(ADM),157.22
Central PA Institute of Science & Techno,AverageDailyMembership(ADM),NULL
Central Valley SD,AverageDailyMembership(ADM),2410.39
Central Westmoreland CTC,AverageDailyMembership(ADM),NULL
Central York SD,AverageDailyMembership(ADM),5849.47
Centre Learning Community CS,AverageDailyMembership(ADM),64.99
Chambersburg Area SD,AverageDailyMembership(ADM),9621.89
Charleroi SD,AverageDailyMembership(ADM),1415.56
Chartiers Valley SD,AverageDailyMembership(ADM),3392.74
Chartiers-Houston SD,AverageDailyMembership(ADM),1219.09
Cheltenham SD,AverageDailyMembership(ADM),4332.49
Chester Charter Scholars Academy CS,AverageDailyMembership(ADM),695.84
Chester Community CS,AverageDailyMembership(ADM),4570.14
Chester County Technical College High School - Pickering Campus,AverageDailyMembership(ADM),NULL
Chester-Upland SD,AverageDailyMembership(ADM),6791.55
Chestnut Ridge SD,AverageDailyMembership(ADM),1280.54
Chichester SD,AverageDailyMembership(ADM),3294.57
Christopher Columbus CS,AverageDailyMembership(ADM),861.32
Circle of Seasons CS,AverageDailyMembership(ADM),406.26
City CHS,AverageDailyMembership(ADM),552.91
Clairton City SD,AverageDailyMembership(ADM),973.24
Clarion Area SD,AverageDailyMembership(ADM),775.01
Clarion County Career Center,AverageDailyMembership(ADM),NULL
Clarion-Limestone Area SD,AverageDailyMembership(ADM),815.41
Claysburg-Kimmel SD,AverageDailyMembership(ADM),792.17
Clearfield Area SD,AverageDailyMembership(ADM),2163.4
Clearfield County CTC,AverageDailyMembership(ADM),NULL
Coatesville Area SD,AverageDailyMembership(ADM),8697.5
Cocalico SD,AverageDailyMembership(ADM),3060.46
Collegium CS,AverageDailyMembership(ADM),2831
Colonial SD,AverageDailyMembership(ADM),5377.77
Columbia Borough SD,AverageDailyMembership(ADM),1304.78
Columbia-Montour AVTS,AverageDailyMembership(ADM),NULL
Commodore Perry SD,AverageDailyMembership(ADM),432.16
Commonwealth Charter Academy CS,AverageDailyMembership(ADM),20547.09
Community Academy of Philadelphia CS,AverageDailyMembership(ADM),1231.78
Conemaugh Township Area SD,AverageDailyMembership(ADM),917.42
Conemaugh Valley SD,AverageDailyMembership(ADM),728.47
Conestoga Valley SD,AverageDailyMembership(ADM),4169.8
Conewago Valley SD,AverageDailyMembership(ADM),3997.95
Conneaut SD,AverageDailyMembership(ADM),1938.12
Connellsville Area Career & Technical Center,AverageDailyMembership(ADM),NULL
Connellsville Area SD,AverageDailyMembership(ADM),4199.94
Conrad Weiser Area SD,AverageDailyMembership(ADM),2503.62
Cornell SD,AverageDailyMembership(ADM),568.05
Cornwall-Lebanon SD,AverageDailyMembership(ADM),5020.27
Corry Area SD,AverageDailyMembership(ADM),1885.51
Coudersport Area SD,AverageDailyMembership(ADM),737.38
Council Rock SD,AverageDailyMembership(ADM),10607.91
Cranberry Area SD,AverageDailyMembership(ADM),1191.43
Crawford Central SD,AverageDailyMembership(ADM),3439.05
Crawford County CTC,AverageDailyMembership(ADM),NULL
Crestwood SD,AverageDailyMembership(ADM),2846.77
Crispus Attucks CS,AverageDailyMembership(ADM),70.16
CTC of Lackawanna County,AverageDailyMembership(ADM),NULL
Cumberland Perry AVTS,AverageDailyMembership(ADM),NULL
Cumberland Valley SD,AverageDailyMembership(ADM),10131.1
Curwensville Area SD,AverageDailyMembership(ADM),1042.11
Dallas SD,AverageDailyMembership(ADM),2574.71
Dallastown Area SD,AverageDailyMembership(ADM),6696.98
Daniel Boone Area SD,AverageDailyMembership(ADM),3254.59
Danville Area SD,AverageDailyMembership(ADM),2324.28
Dauphin County Technical School,AverageDailyMembership(ADM),NULL
Deep Roots CS,AverageDailyMembership(ADM),356.9
Deer Lakes SD,AverageDailyMembership(ADM),1851.94
Delaware County Technical High School-As,AverageDailyMembership(ADM),NULL
Delaware Valley SD,AverageDailyMembership(ADM),4424.21
Derry Area SD,AverageDailyMembership(ADM),1941.74
Derry Township SD,AverageDailyMembership(ADM),3400.02
Discovery CS,AverageDailyMembership(ADM),612.53
Donegal SD,AverageDailyMembership(ADM),3017.57
Dover Area SD,AverageDailyMembership(ADM),3454.55
Downingtown Area SD,AverageDailyMembership(ADM),13642.47
