21ST CENTURY CYBER CS,0.00,25978879.77,69556.20,25374541.60,26103469.92,2021
A W BEATTIE CAREER CENTER,631130.20,8511446.19,1799823.64,11169513.51,11059270.03,2021
ASPIRA BILINGUAL CYBER CS,2583669.00,11759424.00,8215.00,11072161.00,14351308.00,2021
ABINGTON HEIGHTS SD,2304663.26,34487705.77,15713729.25,52504767.01,52506098.28,2021
ABINGTON SD,4747098.90,123482613.40,38589508.04,169930563.60,166819220.30,2021
ACHIEVEMENT HOUSE CS,2120466.00,19149595.00,26530.00,13763039.00,21296591.00,2021
AD PRIMA CS,2701359.00,8809945.00,142508.00,10786243.00,11699754.00,2021
ADAMS COUNTY TECHNICAL INSTITUTE,0.00,1001500.59,294344.32,1321418.17,1295844.91,2021
ADMIRAL PEARY AVTS,441758.68,NULL,NULL,NULL,5457312.33,2021
ADMIRAL PEARY AREA VOCATIONAL-TECHNICAL SCHOOL,NULL,3849923.45,1165630.20,5380391.11,NULL,2021
AGORA CYBER CS,10391278.00,103398413.00,468360.00,110412891.00,114258051.00,2021
ALBERT GALLATIN AREA SD,8719671.02,14981169.14,39330949.60,59783318.87,63034747.26,2021
ALIQUIPPA SD,458704.63,6969564.12,14440080.59,23508270.55,21868349.34,2021
ALLEGHENY VALLEY SD,839502.10,17924832.18,6395175.27,25339622.96,25294329.55,2021
ALLEGHENY-CLARION VALLEY SD,1460264.76,4707597.99,9668389.71,16675707.76,15836252.46,2021
ALLENTOWN CITY SD,63649571.00,120554557.00,217284526.00,356709038.00,401820381.00,2021
ALLIANCE FOR PROGRESS CS,2098346.00,8226352.00,111270.00,9801620.00,10435968.00,2021
ALTOONA AREA SD,15863826.80,32184780.13,70618330.41,197877715.90,198845007.80,2021
AMBRIDGE AREA SD,4493201.12,26469831.52,21523810.73,48207471.32,52921611.37,2021
ANNVILLE-CLEONA SD,1125832.87,17692396.55,9535601.59,27023661.24,28353831.01,2021
ANTIETAM SD,1334315.70,12332253.12,7942013.64,20891671.58,21611082.46,2021
ANTONIA PANTOJA COMMUNITY CS,3755422.00,11845889.00,25776.00,14494239.00,15627087.00,2021
APOLLO-RIDGE SD,1618604.67,8686773.80,15195091.28,25862885.14,25789764.75,2021
ARMSTRONG SD,8321491.60,40457271.22,58126841.44,104190999.90,106905604.30,2021
ARTS ACADEMY CS,520429.05,5003621.91,38260.33,5533739.34,5562311.29,2021
ARTS ACADEMY ELEMENTARY CS,872813.69,6015760.66,62006.40,6912261.20,6954265.14,2021
ATHENS AREA SD,2785687.00,17437804.00,22465517.81,44653792.21,42689008.81,2021
AUSTIN AREA SD,424899.00,1885863.00,2370798.00,4483074.00,4681560.00,2021
AVELLA AREA SD,711785.10,3952649.27,6841224.83,11529430.60,11530359.20,2021
AVON GROVE CS,1741525.00,31414529.00,124493.00,31894905.00,33280547.00,2021
AVON GROVE SD,3802261.69,64607287.34,34227480.84,99027950.05,102721772.00,2021
AVONWORTH SD,517020.51,27743955.57,7826770.35,35265722.44,36087746.43,2021
BADEN ACADEMY CS,869786.23,9839464.51,83170.68,9472921.76,11103711.42,2021
BALD EAGLE AREA SD,1183736.08,17236554.58,16298469.51,34535781.00,34718760.17,2021
BALDWIN-WHITEHALL SD,2992665.91,51090312.43,25729861.21,76225391.69,80462839.55,2021
BANGOR AREA SD,3371621.98,36848560.92,21827682.25,59582457.26,62047865.15,2021
BEAR CREEK COMMUNITY CS,1036351.16,7226870.30,105581.79,8952159.71,8368803.25,2021
BEAVER AREA SD,1622824.60,23707644.23,12286399.39,35665856.94,37641750.39,2021
BEAVER COUNTY CTC,391863.88,NULL,1302393.08,NULL,6264791.20,2021
BEAVER COUNTY CAREER & TECHNOLOGY CENTER,NULL,4563604.18,NULL,5972965.44,NULL,2021
BEDFORD AREA SD,2888332.66,16320503.53,14624671.62,33239527.90,33872582.81,2021
BEDFORD COUNTY TECHNICAL CENTER,236645.56,1415829.65,545233.11,2146150.68,2197708.32,2021
BELLE VERNON AREA SD,2317274.98,21107961.95,18301268.14,39120029.32,41767573.07,2021
BELLEFONTE AREA SD,2049785.69,35047181.01,18189390.39,60471088.81,61214314.20,2021
BELLWOOD-ANTIS SD,1146359.82,7129590.83,11593600.43,20561879.86,20396716.08,2021
BELMONT CS,4896028.00,15321187.00,791138.00,20657832.00,21061291.00,2021
BENSALEM TOWNSHIP SD,9302443.41,115815028.10,38456914.36,169528152.90,163574385.90,2021
BENTON AREA SD,1000730.90,7320842.33,6418341.46,18233654.16,18486914.69,2021
BENTWORTH SD,1501524.37,8426990.17,10627634.48,20373513.22,20954420.35,2021
BERKS CTC-EAST CAMPUS,NULL,NULL,3500812.13,19308154.51,19426566.59,2021
BERKS CAREER AND TECHNOLOGY CENTER-EAST CAMPUS,1013909.16,14866066.02,NULL,NULL,NULL,2021
BERLIN BROTHERSVALLEY SD,786764.81,3936667.17,8307885.90,13323049.72,13067666.84,2021
BERMUDIAN SPRINGS SD,1327671.67,18952364.34,13465515.44,34598138.71,33924814.53,2021
BERWICK AREA SD,2885172.70,20939452.53,24559923.47,55152241.32,48427741.47,2021
BETHEL PARK SD,2113171.48,65116442.38,24821517.42,94613334.18,93223683.69,2021
BETHLEHEM AVTS,NULL,NULL,NULL,13408665.42,13408665.42,2021
BETHLEHEM AREA SD,16906946.44,216534769.90,82983841.37,445659806.70,451564726.80,2021
BETHLEHEM AREA VOCATIONAL-TECHNICAL SCHOOL,639928.58,10445693.16,2322843.68,NULL,NULL,2021
BETHLEHEM-CENTER SD,0.00,0.00,0.00,0.00,0.00,2021
BIG BEAVER FALLS AREA SD,4274869.57,8936198.71,20676383.22,32387088.10,34042477.52,2021
BIG SPRING SD,3528119.66,37510397.61,19594637.38,57381941.54,60876086.76,2021
BLACKHAWK SD,779921.97,21360006.00,18099245.92,41309541.70,40513050.89,2021
BLACKLICK VALLEY SD,1588909.94,2361482.66,8870217.55,11570879.36,12866345.69,2021
BLAIRSVILLE-SALTSBURG SD,3373423.00,14434689.00,17985692.00,36252512.00,36080990.00,2021
BLOOMSBURG AREA SD,640402.44,16768189.19,11244441.99,29204939.78,28653033.62,2021
BLUE MOUNTAIN SD,1055850.82,28949572.11,17579673.92,53334972.19,53768000.85,2021
BLUE RIDGE SD,2249651.81,7050104.37,11689040.50,21102824.14,21118796.68,2021
BOYERTOWN AREA SD,4159833.39,93876078.28,36247608.85,131455451.70,134283520.50,2021
BOYS LATIN OF PHILADELPHIA CS,4325710.00,12928549.00,225550.00,NULL,17580026.00,2021
BOYS' LATIN OF PHILADELPHIA CS,NULL,NULL,NULL,15046148.40,NULL,2021
BRADFORD AREA SD,9136838.54,12842061.62,26184026.08,51096499.71,48687531.48,2021
BRANDYWINE HEIGHTS AREA SD,1437656.65,22558005.26,10433298.40,34104389.03,35432318.47,2021
BRENTWOOD BOROUGH SD,1810678.64,15504606.07,10654729.78,26002335.19,28240648.63,2021
BRISTOL BOROUGH SD,2916389.85,12781586.65,12324220.19,27487934.12,28022196.69,2021
BRISTOL TOWNSHIP SD,12773788.82,96319484.45,48631740.99,202156802.80,203735014.30,2021
BROCKWAY AREA SD,1302664.70,4623897.01,11157296.66,16575525.80,17086855.37,2021
BROOKVILLE AREA SD,2379214.43,9906638.48,15971278.77,26476609.03,28257131.68,2021
BROWNSVILLE AREA SD,3784911.50,7970025.36,21300609.36,41431962.73,42866462.22,2021
BUCKS COUNTY MONTESSORI CS,26504.00,3288967.00,0.00,3013937.00,3315471.00,2021
BUCKS COUNTY TECHNICAL HIGH SCHOOL,1436889.00,23207772.00,4787531.00,28749781.00,29439192.00,2021
BURGETTSTOWN AREA SD,896408.06,9817852.03,11236375.54,23338890.84,21950635.63,2021
BURRELL SD,1321247.88,18815508.94,12638236.32,32532172.07,32774993.14,2021
BUTLER AREA SD,5871681.00,54929701.00,48700294.00,109899904.00,110395167.50,2021
BUTLER COUNTY AVTS,NULL,NULL,NULL,6124355.00,NULL,2021
BUTLER COUNTY AREA VOCATIONAL TECHNICAL SCHOOL,595734.00,4051514.00,1475376.00,NULL,6122624.00,2021
CTC OF LACKAWANNA COUNTY,1391512.00,NULL,2095608.00,9056918.00,9056918.00,2021
CALIFORNIA AREA SD,745122.56,7044847.62,9756603.01,16380812.06,17650728.83,2021
CAMBRIA HEIGHTS SD,989046.21,6591090.80,15367522.19,24335889.57,22947659.20,2021
CAMERON COUNTY SD,802843.00,4116034.00,8831198.00,14050061.00,13750075.00,2021
CAMP HILL SD,900626.61,21252941.58,5262320.06,26070882.63,27416942.79,2021
CANON-MCMILLAN SD,2888724.65,72333103.42,26656253.25,101299265.10,101898056.30,2021
CANTON AREA SD,2385464.13,4751485.49,11641200.54,17961754.03,18778150.16,2021
CAPITAL AREA SCHOOL FOR THE ARTS CS,32806.74,3094884.35,24173.44,3363644.51,3151864.53,2021
CARBON CAREER & TECHNICAL INSTITUTE,333969.00,6293559.00,1447987.00,8078028.00,8075515.00,2021
CARBONDALE AREA SD,3462615.08,9313010.54,15930668.74,28975847.55,28706294.36,2021
CAREER INSTITUTE OF TECHNOLOGY,556413.00,8756527.00,1570898.00,9124100.00,10892003.00,2021
CAREER TECHNOLOGY CENTER OF LACKAWANNA COUNTY,NULL,5569798.00,NULL,NULL,NULL,2021
