District,Subject,Demographic,Total_Students,p4,p5,p6,p7
BERMUDIAN SPRINGS SD,Algebra I,All Students,162,29.600000000000005,41.4,21.6,7.400000000000001
BERMUDIAN SPRINGS SD,Algebra I,Historically Underperforming,69,24.6,28.999999999999996,30.4,15.9
BERMUDIAN SPRINGS SD,Biology,All Students,159,23.3,42.1,21.999999999999996,12.6
BERMUDIAN SPRINGS SD,Biology,Historically Underperforming,67,9.0,37.3,28.4,25.4
BERMUDIAN SPRINGS SD,Literature,All Students,159,11.299999999999999,66.0,15.1,7.5
BERMUDIAN SPRINGS SD,Literature,Historically Underperforming,68,4.4,58.8,20.6,16.2
CONEWAGO VALLEY SD,Algebra I,All Students,276,35.1,42.4,16.3,6.199999999999999
CONEWAGO VALLEY SD,Algebra I,Historically Underperforming,99,18.2,42.4,23.200000000000003,16.2
CONEWAGO VALLEY SD,Biology,All Students,277,42.2,35.4,13.0,9.4
CONEWAGO VALLEY SD,Biology,Historically Underperforming,100,24.0,37.0,21.0,18.0
CONEWAGO VALLEY SD,Literature,All Students,277,11.2,69.0,14.800000000000002,5.1
CONEWAGO VALLEY SD,Literature,Historically Underperforming,100,6.0,55.00000000000001,27.0,12.0
FAIRFIELD AREA SD,Algebra I,All Students,93,17.2,59.099999999999994,21.500000000000004,2.2
FAIRFIELD AREA SD,Algebra I,Historically Underperforming,19,5.299999999999999,63.2,26.3,5.299999999999999
FAIRFIELD AREA SD,Biology,All Students,93,25.8,43.00000000000001,24.7,6.5
FAIRFIELD AREA SD,Biology,Historically Underperforming,19,21.1,26.3,42.1,10.5
FAIRFIELD AREA SD,Literature,All Students,93,10.8,71.0,16.1,2.2
FAIRFIELD AREA SD,Literature,Historically Underperforming,19,0.0,73.7,21.1,5.299999999999999
GETTYSBURG AREA SD,Algebra I,All Students,221,29.39999999999999,42.1,20.4,8.1
GETTYSBURG AREA SD,Algebra I,Historically Underperforming,105,15.2,38.1,32.4,14.3
GETTYSBURG AREA SD,Biology,All Students,221,26.700000000000003,45.7,18.6,9.0
GETTYSBURG AREA SD,Biology,Historically Underperforming,104,15.399999999999997,41.3,26.0,17.3
GETTYSBURG AREA SD,Literature,All Students,222,9.9,68.90000000000002,17.1,4.1
GETTYSBURG AREA SD,Literature,Historically Underperforming,104,4.8,57.70000000000001,30.799999999999994,6.7
LITTLESTOWN AREA SD,Algebra I,All Students,137,44.5,39.4,11.7,4.4
LITTLESTOWN AREA SD,Algebra I,Historically Underperforming,43,27.9,34.9,23.3,14.000000000000002
LITTLESTOWN AREA SD,Biology,All Students,137,46.0,36.5,12.4,5.1
LITTLESTOWN AREA SD,Biology,Historically Underperforming,42,28.6,35.7,21.4,14.3
LITTLESTOWN AREA SD,Literature,All Students,136,16.2,64.7,14.000000000000002,5.1
LITTLESTOWN AREA SD,Literature,Historically Underperforming,42,9.5,54.79999999999999,21.4,14.3
UPPER ADAMS SD,Algebra I,All Students,131,18.3,43.5,32.8,5.3
UPPER ADAMS SD,Algebra I,Historically Underperforming,57,8.800000000000002,35.1,45.6,10.5
UPPER ADAMS SD,Biology,All Students,130,34.6,36.9,20.8,7.7
UPPER ADAMS SD,Biology,Historically Underperforming,57,17.5,45.6,24.6,12.3
UPPER ADAMS SD,Literature,All Students,131,3.8,71.8,14.499999999999998,9.9
UPPER ADAMS SD,Literature,Historically Underperforming,57,0.0,63.2,19.299999999999997,17.5
A W BEATTIE CAREER CENTER,Algebra I,All Students,12,0.0,8.3,58.3,33.3
A W BEATTIE CAREER CENTER,Algebra I,Historically Underperforming,9,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Biology,All Students,11,0.0,9.099999999999998,45.5,45.5
A W BEATTIE CAREER CENTER,Biology,Historically Underperforming,8,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Literature,All Students,13,0.0,38.5,46.2,15.399999999999997
A W BEATTIE CAREER CENTER,Literature,Historically Underperforming,10,NULL,NULL,NULL,NULL
ACADEMY CHARTER SCHOOL,Algebra I,All Students,12,0.0,0.0,16.699999999999996,83.29999999999998
ACADEMY CHARTER SCHOOL,Algebra I,Historically Underperforming,11,0.0,0.0,18.199999999999996,81.8
ACADEMY CHARTER SCHOOL,Biology,All Students,12,0.0,0.0,0.0,100.0
ACADEMY CHARTER SCHOOL,Biology,Historically Underperforming,11,0.0,0.0,0.0,100.0
ACADEMY CHARTER SCHOOL,Literature,All Students,12,0.0,0.0,16.699999999999996,83.29999999999998
ACADEMY CHARTER SCHOOL,Literature,Historically Underperforming,11,0.0,0.0,9.099999999999998,90.9
ALLEGHENY VALLEY SD,Algebra I,All Students,58,17.2,53.400000000000006,24.1,5.2
ALLEGHENY VALLEY SD,Algebra I,Historically Underperforming,27,7.400000000000001,59.3,22.2,11.1
ALLEGHENY VALLEY SD,Biology,All Students,56,25.0,48.2,16.1,10.7
ALLEGHENY VALLEY SD,Biology,Historically Underperforming,24,20.800000000000004,41.7,16.699999999999996,20.800000000000004
ALLEGHENY VALLEY SD,Literature,All Students,58,10.3,72.4,13.8,3.4000000000000004
ALLEGHENY VALLEY SD,Literature,Historically Underperforming,26,7.699999999999998,65.4,19.2,7.699999999999998
AVONWORTH SD,Algebra I,All Students,127,30.7,46.5,16.5,6.3
AVONWORTH SD,Algebra I,Historically Underperforming,34,17.6,35.3,29.4,17.6
AVONWORTH SD,Biology,All Students,126,39.7,35.7,16.7,7.9
AVONWORTH SD,Biology,Historically Underperforming,34,14.7,35.3,29.4,20.6
AVONWORTH SD,Literature,All Students,120,18.3,66.7,13.3,1.7000000000000002
AVONWORTH SD,Literature,Historically Underperforming,32,12.5,50.0,31.3,6.3
BALDWIN-WHITEHALL SD,Algebra I,All Students,312,28.800000000000004,46.2,20.5,4.5
BALDWIN-WHITEHALL SD,Algebra I,Historically Underperforming,108,13.0,36.1,39.8,11.1
BALDWIN-WHITEHALL SD,Biology,All Students,308,39.6,37.7,16.6,6.2
BALDWIN-WHITEHALL SD,Biology,Historically Underperforming,105,21.000000000000004,31.4,29.5,18.1
BALDWIN-WHITEHALL SD,Literature,All Students,312,12.2,69.9,14.7,3.2
BALDWIN-WHITEHALL SD,Literature,Historically Underperforming,108,5.6,57.4,27.800000000000004,9.300000000000002
BETHEL PARK SD,Algebra I,All Students,342,27.800000000000004,46.8,19.0,6.4
BETHEL PARK SD,Algebra I,Historically Underperforming,93,15.1,32.3,30.099999999999998,22.6
BETHEL PARK SD,Biology,All Students,342,32.7,46.20000000000001,13.5,7.6
BETHEL PARK SD,Biology,Historically Underperforming,93,14.000000000000002,37.60000000000001,23.700000000000003,24.7
BETHEL PARK SD,Literature,All Students,341,11.7,74.2,10.3,3.8
BETHEL PARK SD,Literature,Historically Underperforming,93,9.7,54.79999999999999,21.500000000000004,14.000000000000002
BRENTWOOD BOROUGH SD,Algebra I,All Students,74,12.200000000000001,58.099999999999994,23.0,6.800000000000001
BRENTWOOD BOROUGH SD,Algebra I,Historically Underperforming,35,5.7,45.7,34.3,14.3
BRENTWOOD BOROUGH SD,Biology,All Students,74,25.7,43.2,20.3,10.8
BRENTWOOD BOROUGH SD,Biology,Historically Underperforming,35,11.4,42.9,25.7,20.0
BRENTWOOD BOROUGH SD,Literature,All Students,74,6.800000000000001,70.3,21.6,1.3999999999999997
BRENTWOOD BOROUGH SD,Literature,Historically Underperforming,35,0.0,60.0,37.1,2.9
CARLYNTON SD,Algebra I,All Students,93,4.3,62.4,28.999999999999996,4.3
CARLYNTON SD,Algebra I,Historically Underperforming,40,2.5,50.0,37.5,10.0
CARLYNTON SD,Biology,All Students,93,24.7,55.89999999999999,17.2,2.2
CARLYNTON SD,Biology,Historically Underperforming,40,10.0,60.0,25.0,5.0
CARLYNTON SD,Literature,All Students,93,9.7,75.3,11.8,3.2
CARLYNTON SD,Literature,Historically Underperforming,40,0.0,75.0,17.5,7.5
CHARTIERS VALLEY SD,Algebra I,All Students,240,11.3,60.0,25.0,3.8
CHARTIERS VALLEY SD,Algebra I,Historically Underperforming,84,4.8,54.79999999999999,29.799999999999997,10.7
CHARTIERS VALLEY SD,Biology,All Students,240,35.8,42.5,14.6,7.1
CHARTIERS VALLEY SD,Biology,Historically Underperforming,85,24.700000000000003,37.6,21.2,16.5
CHARTIERS VALLEY SD,Literature,All Students,234,6.800000000000001,68.8,16.7,7.7
CHARTIERS VALLEY SD,Literature,Historically Underperforming,80,3.8,61.3,22.5,12.5
CITY CHS,Algebra I,All Students,137,8.8,33.6,40.1,17.5
CITY CHS,Algebra I,Historically Underperforming,102,7.8,29.4,41.2,21.6
CITY CHS,Biology,All Students,138,15.9,32.6,28.300000000000004,23.2
CITY CHS,Biology,Historically Underperforming,102,12.7,30.4,31.4,25.5
CITY CHS,Literature,All Students,139,5.0,66.2,23.7,5.0
CITY CHS,Literature,Historically Underperforming,103,1.9,66.0,25.2,6.800000000000001
CLAIRTON CITY SD,Algebra I,All Students,40,5.0,30.0,57.49999999999999,7.5
CLAIRTON CITY SD,Algebra I,Historically Underperforming,33,3.0,27.3,60.6,9.1
CLAIRTON CITY SD,Biology,All Students,40,7.5,32.5,37.5,22.5
CLAIRTON CITY SD,Biology,Historically Underperforming,33,3.0,33.3,36.4,27.3
CLAIRTON CITY SD,Literature,All Students,39,2.6,53.79999999999999,35.9,7.7
CLAIRTON CITY SD,Literature,Historically Underperforming,32,0.0,56.3,34.4,9.4
CORNELL SD,Algebra I,All Students,39,2.6,25.6,53.79999999999999,17.9
CORNELL SD,Algebra I,Historically Underperforming,39,2.6,25.6,53.79999999999999,17.9
CORNELL SD,Biology,All Students,39,12.8,25.6,38.5,23.1
CORNELL SD,Biology,Historically Underperforming,39,12.8,25.6,38.5,23.1
CORNELL SD,Literature,All Students,39,0.0,51.300000000000004,38.5,10.3
CORNELL SD,Literature,Historically Underperforming,39,0.0,51.300000000000004,38.5,10.3
DEER LAKES SD,Algebra I,All Students,127,14.2,48.0,29.9,7.9
DEER LAKES SD,Algebra I,Historically Underperforming,44,9.099999999999998,22.7,50.0,18.199999999999996
DEER LAKES SD,Biology,All Students,132,27.3,42.4,24.2,6.1
DEER LAKES SD,Biology,Historically Underperforming,47,17.0,27.699999999999996,40.4,14.899999999999999
DEER LAKES SD,Literature,All Students,131,16.8,55.00000000000001,19.1,9.2
DEER LAKES SD,Literature,Historically Underperforming,47,8.5,44.7,29.799999999999997,17.0
EAST ALLEGHENY SD,Algebra I,All Students,99,9.1,31.3,28.300000000000004,31.3
