name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,homeless_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
21st Century Cyber CS,5.67,0.32,1.46,10.36,7.85,2.19,0.73,0,2.35,17.25,0.24,60.65,1235,14.41,No,74.33
6th Grade Center,3.23,0.69,2.76,1.61,8.76,0.92,0,0,1.15,32.49,0.92,49.54,434,17.97,No,82.95
A J McMullen Sch,2.94,1.47,0.74,0,0.74,0,0,0,2.21,58.09,0,40.44,136,20.59,Yes,94.12
A L Wilson El Sch,3.85,0,0.51,1.54,0.26,0.51,0,0.26,1.79,47.69,0,50.77,390,13.08,Yes,93.59
A W Beattie Career Center,2.95,0.13,1.67,4.75,2.57,1.54,0,0.39,0.26,37.74,1.54,44.54,779,39.54,No,87.55
ACT Academy Cyber CS,2.63,0,0,84.21,3.95,0,0,0,0,46.05,0,50,76,26.32,Yes,9.21
AMY NW,5.59,0,0.93,85.4,6.52,0.31,0,0,0.31,64.91,1.55,54.66,322,13.66,Yes,1.55
AMY at Martin,12.73,0.23,0.93,20.37,22.45,0.69,0,0,0.23,73.61,2.55,45.6,432,20.83,Yes,43.29
ASPIRA Bilingual Cyber Charter School,0.82,0,1.1,15.62,80.82,1.92,0,0,0,48.77,30.96,45.21,365,47.4,Yes,1.64
Abington Heights HS,0.58,0.19,4.27,1.65,2.13,0,0,0,1.65,19.2,0.58,46.17,1031,13.77,No,91.17
Abington Heights MS,1.07,0.18,6.34,1.61,3.93,0.09,0,0,3.75,21.72,1.25,47.72,1119,14.66,Yes,86.86
Abington JHS,5.05,0.2,5.51,20.82,7.7,0.46,0,0.15,9.08,25.92,1.53,47.76,1960,18.27,No,60.56
Abington SHS,4.98,0.17,4.54,20.24,8.24,0.5,0,0.11,1.55,22.51,2.05,48.01,1808,18.81,No,61.73
Abraham Lincoln El Sch,3.37,0,4.12,2.25,1.5,0,0,0.37,3,16.48,0,50.19,267,11.99,Yes,88.39
Academy Park HS,2.72,0,1.55,77.47,1.86,0.85,0,0,1.4,79.25,3.42,46.62,1287,18.49,Yes,16.39
Academy at Palumbo,5,0.47,28.37,43.54,10.56,0,0,0,2.45,56.17,3.02,57.4,1061,6.13,Yes,12.06
Academy at Westinghouse,3.67,0.28,0.14,93.79,0.85,5.65,0,0,1.27,85.45,0,47.74,708,30.08,Yes,1.27
Achievement House CS,6.48,0.61,0.2,19.03,21.66,3.85,0,0.81,0,66.6,5.67,51.62,494,37.65,Yes,51.21
Acmetonia El Sch,4.57,0,0.2,1.59,1.99,0.99,0,0,2.39,51.29,0.2,42.74,503,15.51,Yes,91.65
Ad Prima CS,5.52,0.32,1.1,85.96,4.73,0.47,0.16,0,0,43.85,3.47,52.68,634,11.51,Yes,2.37
Adaire Alexander Sch,7.43,0,1.8,3.6,7.66,0.23,0,0.23,0,45.27,0.45,51.58,444,14.64,Yes,79.28
Adamstown El Sch,2.63,0,3.58,2.15,6.44,0.72,0.48,0,0.95,35.32,3.34,46.78,419,15.99,Yes,85.2
Admiral Peary AVTS,0.56,0.19,0,1.32,0.19,3.58,0,0.19,0,67.98,0,32.02,531,38.42,No,97.55
Afton El Sch,4.46,0,11.84,3.09,4.97,0,0,0,4.97,9.61,3.26,50.77,583,15.78,No,75.64
Agora Cyber CS,1.27,0.53,1.35,30.55,10.29,2.87,0.27,0.27,0,48.26,0.25,51.35,5499,27.73,Yes,55.74
Akron El Sch,6.38,0,1.42,3.55,6.74,1.42,0,0.35,1.77,49.65,2.48,52.48,282,10.28,Yes,81.56
Albert Gallatin Area SHS,1.9,0.1,0,3.9,0.57,0.48,0.1,0.19,3.23,48.57,0.1,47.62,1052,19.3,No,93.35
Albert Gallatin North MS,4.12,0,0.26,2.84,1.29,0.26,0,0,4.38,46.39,0.26,53.87,388,22.68,No,91.49
Albert Gallatin South MS,5.45,0,0.26,3.64,0.52,1.04,0.26,0,4.94,49.87,0,43.12,385,26.23,No,90.13
Alburtis El Sch,2.92,0,2.33,2.62,18.37,0.58,0.29,0,2.04,28.86,3.79,53.64,343,17.49,Yes,73.76
Aldan El Sch,4.84,1.21,3.63,70.56,3.23,3.63,0,0,0,62.9,0,47.18,248,29.03,Yes,16.53
Aliquippa El Sch,12.01,0,0,68.87,2.03,3.89,0,0,0.34,99.66,0.34,49.58,591,23.01,Yes,17.09
Aliquippa JSHS,5.97,0.24,0,73.75,3.58,2.39,0,0,1.43,99.76,0.48,49.64,419,21.96,Yes,16.47
Allegheny-Clarion Valley Elem,1.39,0,0,0,0.28,3.06,0,0,0.84,49.3,0,46.8,359,14.76,Yes,98.33
Allegheny-Clarion Valley HS,0.99,0,0.33,0.99,0,3.64,0,0.33,3.31,37.75,0,51.99,302,15.56,No,97.35
Allen Dr Ethel Sch,1.93,0.21,0,95.28,1.29,7.51,0,0,0,89.48,0,50.86,466,11.59,Yes,1.29
Allen Ethan Sch,11.09,0.2,10.99,30.17,35.66,0,0,0.2,0,76.22,24.08,47.65,1001,13.39,Yes,11.69
Allen MS,3.91,0,2.42,4.66,8.57,0,0.74,0,4.28,34.26,2.23,51.4,537,15.83,No,80.45
Alliance for Progress CS,3.4,0.19,0,94.71,1.7,1.89,0,0,0,55.01,0,53.12,529,12.48,Yes,0
Allison Park El Sch,7.35,0,0,2.61,3.27,0.65,0,0,0,39.05,0.98,50.49,612,15.36,Yes,86.76
Alloway Creek El Sch,4.66,0,0.74,1.84,3.43,1.72,0.86,0,1.23,40.56,1.96,46.94,816,10.17,Yes,89.34
Altoona Area HS,0.42,0.06,0.95,7.39,1.61,2.32,0.06,0,2.74,56.5,0.12,46.48,1678,21.04,No,89.57
Altoona Area Jr HS,0.52,0.11,0.86,8.89,2.24,2.58,0.11,0,2.41,61.81,0.46,48.45,1744,21.56,No,87.39
Amanda E Stout El Sch,1.51,0,0.12,6.74,87.34,2.9,0.46,0,0.81,98.03,29.97,50.87,861,25.09,Yes,4.3
Ambridge Area HS,3.14,0.13,0.39,14.79,1.7,1.83,0,0.26,3.66,49.35,0.13,48.82,764,17.02,Yes,79.58
Ambridge Area MS,5.64,0,0.53,19.75,1.23,2.29,0,0,2.82,51.68,0.18,46.38,567,17.28,Yes,72.84
Amos K Hutchinson El Sch,12.4,0,0.17,7.2,2.68,3.18,0,0.17,0.5,43.72,0.34,51.59,597,13.9,Yes,77.39
Amosland El Sch,3.43,0.64,6,12.42,1.93,1.07,0,0.21,0.43,36.4,0.86,51.61,467,12.21,No,75.37
Anderson Add B Sch,1.41,0.4,0,95.57,1.81,4.02,0,0.2,0,83.7,0.2,47.69,497,10.06,Yes,0.6
Andrew Maier El Sch,0.99,0,0,3.45,20.2,1.97,0.49,0,0.49,39.41,1.48,44.83,203,13.3,Yes,75.37
Annville Cleona HS,0.22,0,2.2,2.2,6.81,1.76,0,0,8.35,34.07,1.98,46.59,455,15.38,No,88.57
Annville El Sch,2.7,0,0.9,1.8,11.49,0.68,0,0,4.73,37.61,2.7,50,444,13.06,No,83.11
Annville-Cleona MS,1.24,0,0.83,0,8.26,2.07,0,0,9.09,33.88,0.83,48.76,242,18.6,No,89.67
Antietam MS/HS,4.67,0,0.41,7.1,31.85,1.42,0.81,0,5.68,51.93,4.67,48.07,493,23.53,No,55.98
Antonia Pantoja Community Charter School,0,0,0,0.84,99.16,0.42,0,0,0.14,60.98,12.87,49.65,715,28.53,Yes,0
Apollo-Ridge Elem Sch,3.43,0.19,0.38,0.38,0.57,1.14,0.19,0.19,0.57,57.9,0,45.52,525,20.57,Yes,94.86
Apollo-Ridge HS,3.31,0.28,1.1,1.1,0.55,3.03,0,0,2.48,49.04,0.28,47.66,363,14.88,No,93.66
Apollo-Ridge MS,6.42,1.13,0.38,0,0.38,2.26,0,0,4.15,51.7,0,47.92,265,15.85,No,91.7
Appleman El Sch,2.49,0.28,0,0.83,2.49,3.6,1.39,0,2.49,44.88,0.28,47.37,361,15.79,Yes,93.91
Arcola Intrmd Sch,7.41,0.26,14.42,3.57,4.5,0.13,0,0.26,10.85,10.45,1.98,48.68,756,19.18,Yes,69.58
Ardmore Avenue Sch,2.25,1.04,3.29,76.47,8.48,0.69,0,0,0,65.05,16.78,46.54,578,14.01,Yes,8.48
Arendtsville El Sch,1.58,0,0,1.05,25.26,2.63,0.53,0,3.16,51.05,8.42,49.47,190,17.37,No,72.11
Arlington Heights El Sch,6.5,0,5.69,15.85,29.67,1.63,0,0,0.41,61.79,10.16,54.07,246,15.85,Yes,42.28
Armstrong JSHS,0,0.12,0.18,2.03,0.55,0.92,0.06,0.06,5.96,49.14,0.18,48.89,1628,21.56,No,97.05
Aronimink El Sch,4.26,0,11.24,34.5,5.81,0.39,0.39,0,5.81,45.35,4.65,48.84,258,17.83,No,44.19
Arrowhead El Sch,7.12,0,16.28,2.54,3.05,0,0.51,0,5.6,4.83,3.82,47.58,393,17.3,No,70.99
Arthur Chester A Sch,9.19,0,5.15,54.78,4.78,1.47,0,0,0,55.15,2.21,44.49,272,25.37,Yes,26.1
Arthur Street El Sch,1.96,0.24,0,1.96,89.49,0.49,0,0,0,49.39,31.78,50.12,409,4.89,Yes,6.36
Artman El Sch,8.96,0,1.66,11.11,0,1.33,0.33,0.5,1.66,48.26,0.5,52.24,603,13.93,Yes,77.78
Arts Academy CS,13.41,1.12,0.84,13.69,29.33,2.23,0,0,0,52.23,2.23,78.77,358,17.32,Yes,41.62
Arts Academy Elementary Charter School,2.84,0,0.47,20.57,58.39,0.71,0,0,0,80.14,8.75,63.36,423,15.13,Yes,17.73
Arts Academy at Benjamin Rush,5.96,0,5.96,18.2,17.39,0,0,0,6.76,36.71,1.93,75.68,621,12.4,Yes,52.5
Asa Packer El Sch,4.75,0,7.12,7.12,14.84,0.59,0.3,0,3.26,27.3,2.37,45.99,337,7.42,No,66.17
Asbury El Sch,3.87,0,4.42,0.92,1.84,0.55,0,0,4.42,29.65,1.1,46.78,543,15.65,No,88.95
Aston El Sch,4.97,0,3.11,2.48,2.48,1.45,0,0.21,1.66,22.15,1.66,50.31,483,13.66,No,86.75
Athens Area HS,0.95,0,0.64,0.79,0.16,0.79,0,0.16,1.43,44.67,0,48.33,629,24.64,No,97.3
Audrielle Lynch-Ellen Bustin El Sch,3.71,0.19,2.04,1.3,2.23,1.11,0,0.19,1.48,46.38,0.19,46.75,539,18.37,Yes,90.35
Austin Area El Sch,0,0,0,0,0,0,0,0,0,53.21,0,45.87,109,21.1,Yes,100
Austin Area JSHS,0,0,0,1.18,0,7.06,0,0,0,52.94,0,37.65,85,29.41,Yes,98.82
Avalon El Sch,12.27,0,0,13.75,2.23,2.6,0,0.74,2.6,53.9,0,52.79,269,19.33,Yes,71
Avella Area JSHS,0.39,0,0,0.78,0.39,1.16,0,0,5.81,29.84,0,51.55,258,15.12,No,98.45
Avella El Center,1.92,0,0,0,0,0.77,0,0,2.31,37.31,0,45.38,260,21.92,Yes,98.08
Avis El Sch,5.21,0.52,0,1.56,0,0,0,0,0.52,50.52,0,48.44,192,8.85,Yes,92.71
Avon Grove CS,2.82,0.33,3.79,3.85,13.92,0.16,0.11,0.11,0,28.55,2,50.6,1846,15.82,Yes,75.19
Avon Grove HS,3.13,0,2.37,1.85,21.95,1.33,0,0,3.36,27.68,3.94,45.4,1727,12.28,No,70.7
Avon Grove Intrmd Sch,2.96,0.07,2.08,1.28,25.27,1.41,0,0.07,2.28,29.44,10.95,47.72,1488,11.63,No,68.28
Avona El Sch,12.87,0,3.96,7.43,30.69,0.99,0,0,0,58.91,13.37,45.54,202,9.41,Yes,45.05
Avonworth El Sch,4.71,0,2.09,1.75,1.75,0,0,0.17,12.39,14.31,1.22,49.04,573,15.36,No,89.53
Avonworth HS,2.02,0,3.84,3.23,1.41,0.61,0,0.4,17.37,10.91,0.4,51.52,495,13.54,No,89.09
Avonworth MS,1.11,0,2.58,1.48,2.95,0,0,0,15.87,13.65,0.37,42.8,271,16.97,No,91.88
Avonworth Primary Center,5.09,0,1.33,1.99,0.66,0,0,0,3.1,9.29,0.22,44.47,452,10.62,Yes,90.93
B F Morey El Sch,2.69,0,5.38,19.28,25.56,4.93,0,0.45,3.59,61.88,7.17,51.57,223,22.87,Yes,46.64
Bache-Martin Sch,10.31,0,1.65,58.14,10.1,2.06,0,0,0,62.27,6.6,47.22,485,33.4,Yes,19.79
Baden Academy CS,9.76,0,0.7,17.6,0.87,1.57,0,0,1.57,42.33,0,53.31,574,20.73,Yes,71.08
Baggaley El Sch,3.13,0.37,0.18,0.55,1.1,0.92,1.66,0,1.29,40.15,0,48.8,543,17.86,Yes,94.66
Bainbridge El Sch,0.5,0,0.5,1.49,1,1,0.5,0,1.99,24.38,0,49.75,201,13.93,No,96.52
Baker El Sch,1.56,0,1.56,4.06,2.81,0.94,0.63,0.31,0.31,49.38,0,53.13,320,14.06,Yes,89.69
Bala-Cynwyd MS,6.61,0,12.94,7.84,4.72,0.28,0.09,0.28,21.91,9.92,2.83,48.63,1059,13.22,No,67.61
Bald Eagle Area JSHS,0.67,0.11,0.67,1.45,1.11,0.89,0,0.22,2.23,41.54,0.22,48.55,898,17.93,No,95.77
Baldi C C A MS,10.55,0.33,18.69,15.29,9.81,0.27,0,0.27,0.07,52.27,17.76,49.4,1498,15.35,Yes,45.06
Baldwin SHS,3.51,0.14,10.12,5.44,1.58,0.76,0,0.07,4.2,38.2,5.64,49.07,1453,9.22,No,79.15
Bancroft El Sch,2.44,0,2.67,0.67,54.67,4.89,0,0,3.33,52.67,18.67,52,450,9.11,Yes,39.56
Bangor Area HS,1.21,0.1,1.21,2.31,6.53,0.5,0,0,4.32,37.79,0.4,49.75,995,22.31,No,88.64
Bangor Area MS,4.02,0.14,1,2.87,5.74,1.29,0,0,3.16,42.61,0.86,48.06,697,19.37,Yes,86.23
Barclay El Sch,3.54,0.34,7.41,3.54,23.57,1.01,0.17,0,3.87,33.84,15.15,54.55,594,9.43,Yes,61.62
Baresville El Sch,3.72,0.74,1.3,1.3,6.69,0.56,0.37,0.19,0.37,45.91,1.67,48.51,538,10.97,Yes,86.06
Barkley El Sch,9.29,0,0.64,10.9,32.05,2.56,0.32,0,7.69,54.49,18.59,48.4,312,16.67,Yes,47.12
Barrett El Sch,8.5,0,2.5,75.5,1.5,2,0,0,0,83.5,0.5,50,200,28.5,Yes,12
Barry Comm John Sch,2.65,0,0.15,95.74,0.74,3.53,0,0,0,86.62,0.15,51.32,680,14.56,Yes,0.74
Bart-Colerain El Sch,2.69,0,0,0,3.14,3.59,0,0,4.04,44.84,0.9,41.26,223,14.8,Yes,94.17
Barth El Sch,16.24,0,0.85,39.32,17.66,8.26,0,0,0,82.05,2.56,45.3,351,13.11,Yes,25.93
Barton Clara Sch,4.38,0.15,4.08,23.56,64.05,1.06,0,0.45,0,84.74,13.75,52.42,662,8.61,Yes,3.32
Bartram John - Main,2.44,0.19,4.32,87.78,4.32,1.88,0,0.19,0.75,74.81,6.95,43.42,532,29.51,Yes,0.75
Bear Creek Community CS,2.36,0,1.07,6.01,8.58,1.72,0,0.43,2.58,37.55,1.07,54.72,466,18.88,Yes,81.55
Bear Creek School,2.98,0.31,1.54,2.47,6.78,1.44,0.82,0.1,8.12,35.97,2.26,48.72,973,16.24,Yes,85.82
Beaty-Warren MS,2.76,0.15,0.61,0.61,0.46,1.38,0,0,2.76,51.77,0,50.08,651,22.89,No,95.39
Beaumont El Sch,6.53,0,21.26,2.11,5.26,0,0,0.21,13.05,8,3.79,49.47,475,10.32,Yes,64.63
Beaver Area MS,0.63,0,1.26,0.94,1.89,0,0,0,4.09,20.75,0.31,45.28,318,10.06,No,95.28
Beaver Area SHS,1.46,0.15,1.02,3.65,1.17,0.29,0.44,0,1.46,22.04,0.29,44.09,685,11.68,No,92.55
Beaver County CTC,1.13,1.29,0,10.84,2.43,2.75,0,0,0.16,48.38,0,42.88,618,35.11,No,84.3
Beaver Creek El Sch,5.15,0,3.13,3.8,6.71,0.22,0,0,0.89,17.23,1.79,49.89,447,18.79,Yes,81.21
Beaver Falls Area SHS,12.71,0.42,0.42,23.54,2.5,6.04,0.83,0,8.13,73.54,0,45,480,18.13,Yes,60.42
Beaver Falls MS,21.07,0.28,0.28,25.84,1.12,3.93,0.84,0,3.93,78.37,0,52.25,356,17.98,Yes,51.4
Beaver-Main El Sch,2,0,1,0,1,0,0,0,1,35,1,48,100,7,No,96
Bedford County Technical Center,0.28,0,0,1.93,2.49,4.42,0,0,0.55,62.98,0,40.61,362,25.69,No,95.3
Bedford El Sch,1.46,0.27,1.07,0.8,0.27,2.26,0,0.13,1.07,41.15,1.2,51.4,751,15.71,Yes,96.01
Bedford MS,1.97,0,0,1.31,0.22,2.19,0.44,0,0.88,42.67,0.22,46.39,457,16.85,No,96.5
Bedford SHS,1.57,0,0,1.05,0,3.32,0,0.17,1.57,34.09,0,46.68,572,12.94,No,97.2
Bedminster El Sch,3.92,0,1.03,0.41,10.1,0.21,0,0,3.92,19.18,0.82,50.1,485,15.26,No,84.54
Bell Avenue School,1.86,0.93,0,94.1,3.11,1.24,0,0,0,78.88,0,50,322,9.01,Yes,0
Bellaire El Sch,11.28,0.5,1.25,12.78,11.78,2.26,14.79,0,0.5,40.85,7.77,49.37,399,12.78,No,62.41
Belle Valley El Sch,7.86,0.17,5.69,2.01,2.51,0.67,1.34,0,2.34,52.51,5.35,46.82,598,16.05,Yes,81.77
Belle Vernon Area HS,2.32,0,1.29,1.67,2.19,0.39,0.26,0,5.53,39.9,0.39,47.36,777,14.29,No,92.54
Belle Vernon Area MS,5.14,0,1.35,1.08,2.97,0,0.27,0,3.24,39.73,0.27,51.08,370,11.89,No,89.46
Bellefonte Area HS,2.19,0,0.81,0.81,2.53,1.61,0,0.12,2.3,29.11,0.23,51.32,869,17.95,No,93.56
Bellefonte Area MS,2.51,0.31,0.78,0.63,1.41,1.41,0,0,4.08,28.06,0.78,51.25,638,18.03,No,94.36
Bellefonte El Sch,2.69,0,0,2.4,6.29,1.5,0.6,0,1.2,47.9,1.8,51.5,334,20.96,Yes,88.62
Bellevue El Sch,10.89,0,4.87,13.18,2.87,2.58,0,1.43,3.15,53.87,5.44,46.7,349,21.2,Yes,66.76
Bellwood Antis MS,2.21,0.49,0.74,0.98,1.23,2.21,0,0,1.23,41.42,0,46.08,408,17.89,No,94.36
Bellwood-Antis HS,0.78,0.26,0.52,1.55,1.55,1.55,0,0,1.3,35.23,0,44.56,386,11.66,No,95.34
Belmont Charter School,0.12,0,0.99,95.54,2.97,8.17,0,0.12,0,91.96,0.87,46.66,808,22.15,Yes,0.25
Belmont Hills El Sch,3.59,0.34,9.91,10.43,13.5,2.39,0,0,1.54,36.92,7.18,44.1,585,18.12,No,62.22
Ben Franklin El Sch,3.64,0,1.93,4.93,1.93,1.07,0.86,0,0.64,49.68,5.57,46.47,467,13.28,Yes,87.58
Ben Franklin Sch,8.49,0,0.58,17.95,3.09,0.19,0,2.12,0.39,84.56,1.16,48.07,518,14.86,Yes,67.76
Bendersville El Sch,1.63,0,0,1.09,28.26,1.09,0,0,5.98,48.91,10.33,47.83,184,17.39,No,69.02
Benjamin Chambers El Sch,9.44,0,0.48,14.88,48.32,2.88,0.32,0.48,0,78.4,19.2,51.68,625,13.6,Yes,26.4
Benjamin Franklin El Sch,3.87,0,4.17,2.68,1.49,0.3,0,0,3.87,14.88,0,49.7,336,19.05,Yes,87.8
