name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
21st Century Cyber CS,7.02,0.13,2.15,13.59,8.52,3.84,0.2,1.89,17.49,0.52,56.63,1538,16.64,No,68.4
6th Grade Center,5.59,0.33,0.99,3.29,10.2,0,0.33,0.66,32.57,3.29,46.71,304,16.45,No,79.28
A J McMullen Sch,1.89,0.63,0,1.89,0.63,0,0,1.89,77.36,0.63,50.94,159,22.64,Yes,94.97
A L Wilson El Sch,5.31,0,0,1.96,0.56,0,0.56,0,58.1,0,48.04,358,18.44,Yes,91.62
A W Beattie Career Center,3.41,0.35,1.53,4.58,3.29,0.24,0,0.59,36.08,0.59,44.54,851,38.31,No,86.84
ASPIRA Bilingual Cyber CS,0.38,0,1.32,17.77,79.77,0,0,0,62.57,29.3,43.86,529,42.91,Yes,0.76
Abington Heights HS,1.2,0.18,6.93,2.03,4.62,0,0,0.55,18.58,1.48,44.45,1082,17.65,No,85.03
Abington Heights MS,2.24,0,5.65,2.15,4.48,0,0.09,4.75,16.85,1.43,49.73,1116,14.61,Yes,85.39
Abington JHS,6.64,0.1,6.1,19.39,10.71,0.25,0.05,10.26,25.78,1.78,47.35,2017,19.43,Yes,57.02
Abington SHS,5.37,0.2,5.78,20.21,9.67,0.1,0,6.45,25.59,1.79,48.11,1954,20.98,No,58.75
Abraham Lincoln El Sch,4.73,0,7.26,1.26,0.95,0,0.32,0.63,16.72,0.63,50.16,317,11.99,Yes,85.49
Academy Park HS,3.09,0,1.43,78.93,3.84,0,0.08,0.53,82.02,3.76,43.19,1329,18.81,Yes,12.64
Academy at Palumbo,3.58,0.27,35.96,33.72,11.36,0,0,1.34,58.94,6.71,58.14,1118,4.56,Yes,15.12
Academy at Westinghouse,3.98,0.44,0.15,92.34,1.47,0,0,1.47,84.83,0.15,46.1,679,30.78,Yes,1.62
Achievement House CS,2.87,0.77,2.21,25.91,16.1,0,0.44,0,59.76,3.31,55.13,907,28.67,Yes,51.71
Acmetonia El Sch,6.45,0.2,0.2,0.6,3.02,0,0,1.41,39.72,0.4,46.57,496,19.15,Yes,89.52
Ad Prima CS,2.97,0.49,1.15,91.27,3.79,0,0,0.66,100,1.32,51.89,607,17.79,Yes,0.33
Adaire Alexander Sch,4.32,0,2.4,3.84,8.15,0,0,1.92,41.25,0.48,51.56,417,11.51,Yes,81.29
Adams County Technical Institute,1.93,0,0.77,3.47,10.42,0,0,0,16.99,1.93,49.03,259,11.2,No,83.4
Adamstown El Sch,2.24,0.25,3.99,1.25,7.73,1.25,0,1.5,37.66,2.74,50.12,401,13.72,Yes,84.54
Admiral Peary AVTS,0.49,0,0,0.33,0.98,0,0,0,47.46,0,31.1,611,31.26,No,98.2
Afton El Sch,7.01,0,15.87,3.51,6.46,0,0,2.4,10.15,3.69,53.51,542,18.82,No,67.16
Agora Cyber CS,4.09,0.5,1.69,31.03,14.08,0.54,0.23,0,42.88,0.23,50.43,5205,30.64,Yes,48.38
Akron El Sch,7.64,0,1.82,2.91,13.09,0.73,0,1.09,48,2.91,52.36,275,16.36,Yes,74.55
Albert Gallatin Area SHS,4.3,0,0.2,3.6,0.6,0,0,4.1,47.35,0.2,48.85,999,22.72,No,91.29
