SchoolName,AcademicYearId,DataElement,DisplayValue
Albert Gallatin Area SHS,2018,Federal - Non-Personnel,35.22
Albert Gallatin North MS,2018,Federal - Non-Personnel,41.89
Albert Gallatin South MS,2018,Federal - Non-Personnel,41.81
Friendship Hill El Sch,2018,Federal - Non-Personnel,160.13
George J Plava El Sch,2018,Federal - Non-Personnel,108.38
Masontown El Sch,2018,Federal - Non-Personnel,153.75
Smithfield El Sch,2018,Federal - Non-Personnel,135.06
Brownsville Area HS,2018,Federal - Non-Personnel,163.93
Brownsville Area MS,2018,Federal - Non-Personnel,55.17
Bullskin El Sch,2018,Federal - Non-Personnel,190.89
Connellsville Area SHS,2018,Federal - Non-Personnel,205.55
Connellsville Area MS,2018,Federal - Non-Personnel,193.91
Dunbar Twp El Sch,2018,Federal - Non-Personnel,189.87
Springfield El Sch,2018,Federal - Non-Personnel,202.21
West Crawford El Sch,2018,Federal - Non-Personnel,192.83
Frazier HS,2018,Federal - Non-Personnel,85.64
Frazier MS,2018,Federal - Non-Personnel,85.67
Frazier El Sch,2018,Federal - Non-Personnel,88.89
Clark El Sch,2018,Federal - Non-Personnel,0
Hatfield El Sch,2018,Federal - Non-Personnel,0
Hutchinson El Sch,2018,Federal - Non-Personnel,0
Laurel Highlands MS,2018,Federal - Non-Personnel,0
Laurel Highlands SHS,2018,Federal - Non-Personnel,1199.23
Marshall El Sch,2018,Federal - Non-Personnel,0
A J McMullen Sch,2018,Federal - Non-Personnel,81.14
Ben Franklin Sch,2018,Federal - Non-Personnel,31.24
Franklin Sch,2018,Federal - Non-Personnel,104.59
Lafayette El Sch,2018,Federal - Non-Personnel,46.52
Lafayette MS,2018,Federal - Non-Personnel,76.33
Marclay Sch,2018,Federal - Non-Personnel,113.89
Menallen Sch,2018,Federal - Non-Personnel,53.66
Uniontown Area SHS,2018,Federal - Non-Personnel,49.5
Wharton Sch,2018,Federal - Non-Personnel,87.25
Carmichaels Area El Ctr,2018,Federal - Non-Personnel,54.77
Carmichaels Area HS,2018,Federal - Non-Personnel,5.9
Miller MS,2018,Federal - Non-Personnel,0
Waynesburg Central El School,2018,Federal - Non-Personnel,25.55
Waynesburg Central HS,2018,Federal - Non-Personnel,0
Jefferson-Morgan El Sch,2018,Federal - Non-Personnel,117.54
Jefferson-Morgan MS/HS,2018,Federal - Non-Personnel,110.02
Bobtown El Sch,2018,Federal - Non-Personnel,0
Mapletown JSHS,2018,Federal - Non-Personnel,0
Avella Area JSHS,2018,Federal - Non-Personnel,199.84
Avella El Center,2018,Federal - Non-Personnel,164.07
Bentworth El Ctr,2018,Federal - Non-Personnel,238.8
Bentworth MS,2018,Federal - Non-Personnel,232.76
Bentworth SHS,2018,Federal - Non-Personnel,232.81
Bethlehem-Center El Sch,2018,Federal - Non-Personnel,73.22
Bethlehem-Center MS,2018,Federal - Non-Personnel,88.21
Bethlehem-Center SHS,2018,Federal - Non-Personnel,87.64
Burgettstown El Ctr,2018,Federal - Non-Personnel,22.45
Burgettstown MS/HS,2018,Federal - Non-Personnel,19.09
California Area El Sch,2018,Federal - Non-Personnel,42.18
California Area Intermediate MS,2018,Federal - Non-Personnel,32.54
California Area MS,2018,Federal - Non-Personnel,32.79
California Area SHS,2018,Federal - Non-Personnel,57.28
Borland Manor El Sch,2018,Federal - Non-Personnel,13.7
Canon-McMillan SHS,2018,Federal - Non-Personnel,6.01
Canonsburg MS,2018,Federal - Non-Personnel,6.01
Cecil Intrmd Sch,2018,Federal - Non-Personnel,13.64
Hills-Hendersonville El Sch,2018,Federal - Non-Personnel,13.67
Muse El Sch,2018,Federal - Non-Personnel,13.69
North Strabane Intrmd Sch,2018,Federal - Non-Personnel,13.64
South Central El,2018,Federal - Non-Personnel,13.64
Wylandville El Sch,2018,Federal - Non-Personnel,13.88
Charleroi Area El Ctr,2018,Federal - Non-Personnel,40.83
Charleroi Area HS,2018,Federal - Non-Personnel,44.77
Charleroi Area MS,2018,Federal - Non-Personnel,40.45
Allison Park El Sch,2018,Federal - Non-Personnel,0
Chartiers-Houston JSHS,2018,Federal - Non-Personnel,0
Claysville El Sch,2018,Federal - Non-Personnel,96.35
Joe Walker El Sch,2018,Federal - Non-Personnel,72.71
McGuffey HS,2018,Federal - Non-Personnel,84.86
McGuffey MS,2018,Federal - Non-Personnel,34.38
Bower Hill El Sch,2018,Federal - Non-Personnel,2.93
McMurray El Sch,2018,Federal - Non-Personnel,2.92
Peters Twp HS,2018,Federal - Non-Personnel,0
Peters Twp MS,2018,Federal - Non-Personnel,0
Pleasant Valley El Sch,2018,Federal - Non-Personnel,2.94
Ringgold MS,2018,Federal - Non-Personnel,23.7
Ringgold El Sch North,2018,Federal - Non-Personnel,43.8
Ringgold SHS,2018,Federal - Non-Personnel,56.09
Trinity East El Sch,2018,Federal - Non-Personnel,59.66
Trinity MS,2018,Federal - Non-Personnel,59.56
Trinity North El Sch,2018,Federal - Non-Personnel,59.74
Trinity SHS,2018,Federal - Non-Personnel,61.77
Trinity South El Sch,2018,Federal - Non-Personnel,62.07
Trinity West El Sch,2018,Federal - Non-Personnel,59.63
Washington HS,2018,Federal - Non-Personnel,0
Washington Park El Sch,2018,Federal - Non-Personnel,0
Washington Junior High School,2018,Federal - Non-Personnel,0
Pittsburgh Allderdice HS,2018,Federal - Non-Personnel,246.19
Pittsburgh Allegheny K-5,2018,Federal - Non-Personnel,251.87
Pittsburgh Allegheny 6-8,2018,Federal - Non-Personnel,251.44
Pittsburgh Arlington K-8,2018,Federal - Non-Personnel,263.55
Pittsburgh Arsenal K-5,2018,Federal - Non-Personnel,260.19
Pittsburgh Arsenal 6-8,2018,Federal - Non-Personnel,260.13
Pittsburgh Banksville K-5,2018,Federal - Non-Personnel,248.33
Pittsburgh Beechwood K-5,2018,Federal - Non-Personnel,260.46
Pittsburgh Brashear HS,2018,Federal - Non-Personnel,249.59
Pittsburgh Brookline K-8,2018,Federal - Non-Personnel,253.1
Pittsburgh Carmalt K-8,2018,Federal - Non-Personnel,252.02
Pittsburgh Carrick HS,2018,Federal - Non-Personnel,237.59
Pittsburgh Colfax K-8,2018,Federal - Non-Personnel,255.19
Pittsburgh Concord K-5,2018,Federal - Non-Personnel,256.49
Pittsburgh Conroy,2018,Federal - Non-Personnel,257.2
Pittsburgh Dilworth K-5,2018,Federal - Non-Personnel,252.67
Pittsburgh Fulton K-5,2018,Federal - Non-Personnel,253.29
Pittsburgh Grandview K-5,2018,Federal - Non-Personnel,249.71
Pittsburgh Greenfield K-8,2018,Federal - Non-Personnel,256.13
Pittsburgh Obama 6-12,2018,Federal - Non-Personnel,249.68
Pittsburgh King K-8,2018,Federal - Non-Personnel,257.61
Pittsburgh Liberty K-5,2018,Federal - Non-Personnel,253.2
Pittsburgh Lincoln K-5,2018,Federal - Non-Personnel,251.55
Pittsburgh Linden K-5,2018,Federal - Non-Personnel,250.69
Pittsburgh Manchester K-8,2018,Federal - Non-Personnel,256.57
Pittsburgh Oliver,2018,Federal - Non-Personnel,254.19
Pittsburgh Mifflin K-8,2018,Federal - Non-Personnel,257.47
Pittsburgh Minadeo K-5,2018,Federal - Non-Personnel,260.06
Pittsburgh Morrow K-8,2018,Federal - Non-Personnel,252.75
Pittsburgh Perry HS,2018,Federal - Non-Personnel,231.18
Pittsburgh Phillips K-5,2018,Federal - Non-Personnel,249.46
Pittsburgh Pioneer,2018,Federal - Non-Personnel,264.67
Pittsburgh CAPA 6-12,2018,Federal - Non-Personnel,253.45
Pittsburgh Classical 6-8,2018,Federal - Non-Personnel,249.27
Pittsburgh Miller K-5,2018,Federal - Non-Personnel,251.76
Pittsburgh Montessori K-5,2018,Federal - Non-Personnel,253.95
Pittsburgh Science and Technology Academy 6-12,2018,Federal - Non-Personnel,251.42
Pittsburgh Milliones 6-12,2018,Federal - Non-Personnel,244.84
Pittsburgh Roosevelt K -5,2018,Federal - Non-Personnel,253.72
