DistrictName,SchoolName,Schl,AcademicYearId,AUN,DataElement,DisplayValue
Abington Heights SD,Abington Heights HS,5091,2021,119350303,Federal - Non-Personnel,187281.77
Abington Heights SD,Abington Heights MS,6839,2021,119350303,Federal - Non-Personnel,193166.78
Abington Heights SD,Clarks Summit El Sch,7570,2021,119350303,Federal - Non-Personnel,66639.08
Abington Heights SD,Newton-Ransom Sch,2407,2021,119350303,Federal - Non-Personnel,36694.77
Abington Heights SD,South Abington Sch,6398,2021,119350303,Federal - Non-Personnel,49157.14
Abington Heights SD,Waverly Sch,2402,2021,119350303,Federal - Non-Personnel,53311.26
Abington SD,Abington JHS,3242,2021,123460302,Federal - Non-Personnel,465817.55
Abington SD,Abington SHS,3241,2021,123460302,Federal - Non-Personnel,437990.47
Abington SD,Copper Beech Sch,7707,2021,123460302,Federal - Non-Personnel,246928.05
Abington SD,Highland Sch,3229,2021,123460302,Federal - Non-Personnel,111856.87
Abington SD,McKinley Sch,5075,2021,123460302,Federal - Non-Personnel,163123.83
Abington SD,Overlook Sch,3232,2021,123460302,Federal - Non-Personnel,121810.54
Abington SD,Roslyn Sch,3234,2021,123460302,Federal - Non-Personnel,115307.89
Abington SD,Rydal East Sch,3226,2021,123460302,Federal - Non-Personnel,138252.56
Abington SD,Willow Hill Sch,4910,2021,123460302,Federal - Non-Personnel,110295.5
Albert Gallatin Area SD,A L Wilson El Sch,8364,2021,101260303,Federal - Non-Personnel,388706.17
Albert Gallatin Area SD,Albert Gallatin Area SHS,6001,2021,101260303,Federal - Non-Personnel,1055059.23
Albert Gallatin Area SD,Albert Gallatin North MS,7607,2021,101260303,Federal - Non-Personnel,386667.24
Albert Gallatin Area SD,Albert Gallatin South MS,7608,2021,101260303,Federal - Non-Personnel,378352.22
Albert Gallatin Area SD,Friendship Hill El Sch,4922,2021,101260303,Federal - Non-Personnel,214868.93
Albert Gallatin Area SD,George J Plava El Sch,2129,2021,101260303,Federal - Non-Personnel,369964.91
Albert Gallatin Area SD,Masontown El Sch,6002,2021,101260303,Federal - Non-Personnel,285848.25
Albert Gallatin Area SD,Smithfield El Sch,4921,2021,101260303,Federal - Non-Personnel,286217.07
Aliquippa SD,Aliquippa El Sch,8085,2021,127040503,Federal - Non-Personnel,46524.21
Aliquippa SD,Aliquippa JSHS,8086,2021,127040503,Federal - Non-Personnel,80172.45
Allegheny Valley SD,Acmetonia El Sch,5296,2021,103020603,Federal - Non-Personnel,339483.05
Allegheny Valley SD,Springdale JSHS,29,2021,103020603,Federal - Non-Personnel,277699.95
Allegheny-Clarion Valley SD,Allegheny-Clarion Valley Elem,7467,2021,106160303,Federal - Non-Personnel,139503.93
Allegheny-Clarion Valley SD,Allegheny-Clarion Valley HS,4664,2021,106160303,Federal - Non-Personnel,132760.8
Allentown City SD,Brigadier General Anna Mae Hays El Sch,8484,2021,121390302,Federal - Non-Personnel,290366
Allentown City SD,Building 21 Allentown,8412,2021,121390302,Federal - Non-Personnel,178661
Allentown City SD,Central El Sch,2790,2021,121390302,Federal - Non-Personnel,242112
Allentown City SD,Francis D Raub MS,2792,2021,121390302,Federal - Non-Personnel,398754
Allentown City SD,Harrison-Morton MS,2791,2021,121390302,Federal - Non-Personnel,331153
Allentown City SD,Hiram W Dodd El Sch,2768,2021,121390302,Federal - Non-Personnel,217995
Allentown City SD,Jackson Early Childhood Center,8413,2021,121390302,Federal - Non-Personnel,87526
