SchoolName,AcademicYearId,Federal-Non-Personnel,Federal-Personnel,Local-Non-Personnel,Local-Personnel,State-Non-Personnel,State-Personnel
21st Century Cyber CS,2018,0.0,0.0,0.0,0.0,0.0,0.0
6th Grade Center,2018,65.88,317.3,2272.68,11088.03,715.85,3520.17
A J McMullen Sch,2018,81.14,1511.67,1122.37,5806.92,1640.58,9082.94
A L Wilson El Sch,2018,111.84,489.18,534.27,2605.05,1444.5,7043.29
AMY NW,2018,191.72,1117.69,1820.05,9953.16,90.68,171.86
AMY at Martin,2018,489.13,923.23,1743.1,10887.77,90.68,171.86
ASPIRA Bilingual Cyber Charter School,2018,550.35,1467.44,15709.09,2864.41,0.0,0.0
Abington Heights HS,2018,79.66,205.91,2756.53,7125.69,1248.9,3228.43
Abington Heights MS,2018,78.66,203.33,2722.02,7036.48,1233.26,3188.01
Abington JHS,2018,110.71,215.07,1819.42,14819.42,0.0,0.0
Abington SHS,2018,110.46,190.14,1819.42,14819.46,0.0,0.0
Abraham Lincoln El Sch,2018,0.0,2.05,1.46,38.55,0.01,11.27
Academy Park HS,2018,27.32,484.74,239.2,4243.9,202.71,3596.57
Academy at Palumbo,2018,200.11,877.43,1841.01,8118.1,90.66,171.83
Academy at Westinghouse,2018,257.47,1601.41,1893.34,9138.75,1488.24,7183.36
Achievement House CS,2018,328.49,527.62,5950.31,8075.65,22.34,24.74
Acmetonia El Sch,2018,115.65,791.82,8307.04,7358.27,2608.02,2851.67
Ad Prima CS,2018,410.4,670.76,7215.63,4684.64,0.0,54.89
Adaire Alexander Sch,2018,199.15,1283.32,1744.83,8508.78,91.02,566.12
Adamstown El Sch,2018,47.49,264.65,1355.33,8799.66,577.54,3749.77
Afton El Sch,2018,75.7,52.0,1705.6,15167.45,0.0,0.0
Akron El Sch,2018,28.49,607.93,1524.76,7720.86,653.47,3308.94
Albert Gallatin Area SHS,2018,35.22,35.97,622.37,3126.44,1682.7,8452.96
Albert Gallatin North MS,2018,41.89,35.75,646.3,3162.27,1747.41,8549.85
Albert Gallatin South MS,2018,41.81,35.55,647.5,2797.07,1750.65,7562.45
Alburtis El Sch,2018,35.02,705.1,1528.35,10032.91,479.13,3145.28
Aldan El Sch,2018,185.36,564.96,1919.87,5851.69,1758.68,5360.37
Aliquippa El Sch,2018,91.76,931.76,2825.35,10532.41,46.78,548.95
Aliquippa JSHS,2018,147.14,1727.96,5228.9,13535.42,67.97,0.0
Allegheny-Clarion Valley Elem,2018,155.73,823.98,1139.59,4189.54,2585.04,9503.51
Allegheny-Clarion Valley HS,2018,37.49,21.93,1389.63,5233.43,3152.23,11871.46
Allen Dr Ethel Sch,2018,222.06,2189.39,1787.3,10613.52,91.24,832.55
Allen Ethan Sch,2018,194.23,1658.59,1757.62,7669.73,90.83,365.05
Allen MS,2018,0.0,0.0,1036.2,7272.22,0.0,0.0
Alliance for Progress CS,2018,155.51,1195.5,3648.81,7796.09,222.33,17.82
Allison Park El Sch,2018,0.0,483.96,0.0,9373.94,0.0,0.0
Alloway Creek El Sch,2018,0.0,502.73,962.95,6580.12,613.8,4194.26
Altoona Area HS,2018,79.64,467.7,782.85,3852.18,1935.67,9060.17
Altoona Area Jr HS,2018,51.04,386.51,661.35,3238.19,1622.27,7618.25
Amanda E Stout El Sch,2018,247.27,1409.15,305.07,1492.84,1238.12,6678.16
Ambridge Area HS,2018,463.09,619.53,2210.51,7361.5,1693.07,5638.31
Ambridge Area MS,2018,403.99,40.83,1342.03,5353.77,1027.88,4100.55
Amos K Hutchinson El Sch,2018,79.92,337.83,1438.19,6079.39,1081.68,4572.37
Amosland El Sch,2018,299.27,0.0,2190.35,21330.73,9.84,2.91
Anderson Add B Sch,2018,217.42,2290.36,1849.05,8834.46,90.7,473.46
Andrew Maier El Sch,2018,35.9,203.37,1785.48,10115.49,857.51,4858.17
Annville Cleona HS,2018,26.58,16.71,4606.98,13912.48,0.0,0.0
Annville El Sch,2018,25.14,50.72,2477.49,8796.41,0.0,0.0
Annville-Cleona MS,2018,24.91,15.38,2112.35,11526.67,0.0,0.0
Antietam MS/HS,2018,18.06,0.0,1454.67,8109.96,951.76,5158.95
Antonia Pantoja Community Charter School,2018,1379.52,687.57,10250.89,4099.42,0.0,0.0
Apollo-Ridge Elem Sch,2018,27.7,621.3,1465.39,6378.66,2246.94,9780.65
Apollo-Ridge HS,2018,27.34,613.42,1414.14,4813.98,2168.35,7381.46
Apollo-Ridge MS,2018,27.6,619.08,1427.19,4858.4,2188.36,7449.57
Appleman El Sch,2018,1.26,1030.2,3015.55,14050.51,0.0,0.0
Arcola Intrmd Sch,2018,6.69,273.58,3153.88,12019.13,860.73,3280.16
Ardmore Avenue Sch,2018,185.36,564.96,1919.87,5851.69,1758.68,5360.37
Arendtsville El Sch,2018,0.0,0.0,1643.72,6184.02,1230.32,4749.53
Arlington Heights El Sch,2018,137.26,857.18,982.98,12815.46,465.88,6704.65
Armstrong JSHS,2018,327.47,740.88,3234.67,5199.42,4636.11,7150.52
Aronimink El Sch,2018,0.0,0.0,1157.38,8201.97,854.35,6054.52
Arrowhead El Sch,2018,8.98,148.36,3463.28,12800.81,945.17,3493.49
Arthur Chester A Sch,2018,205.95,2174.98,2233.54,10292.13,91.04,691.28
Arthur Street El Sch,2018,42.83,848.25,189.13,3258.98,240.71,4738.3
Artman El Sch,2018,46.99,625.42,960.54,5926.76,612.02,3776.34
Arts Academy CS,2018,5.89,563.94,4146.68,10541.6,0.0,0.0
Arts Academy Elementary Charter School,2018,32.44,810.92,4769.39,8043.37,0.0,0.0
Arts Academy at Benjamin Rush,2018,196.81,671.04,1733.76,9072.79,90.53,171.58
Asa Packer El Sch,2018,5.55,261.64,880.19,7503.44,553.39,4616.29
Asbury El Sch,2018,72.14,33.3,1404.4,6264.59,432.91,4344.42
Aston El Sch,2018,88.56,108.6,1876.45,8770.05,720.53,3367.59
Athens Area HS,2018,0.0,0.0,1431.64,5022.43,2333.65,8186.86
Audrielle Lynch-Ellen Bustin El Sch,2018,0.0,1395.1,954.44,4462.35,954.44,7273.89
Austin Area El Sch,2018,0.0,241.6,1466.62,7857.32,1924.9,10312.5
Austin Area JSHS,2018,462.36,321.28,788.33,8404.01,1034.66,11030.02
Avalon El Sch,2018,66.59,384.2,1604.84,9259.84,1000.66,5773.79
Avella Area JSHS,2018,199.84,1066.15,942.64,5598.32,1833.09,10886.71
Avella El Center,2018,164.07,0.0,630.33,4766.17,1225.76,9268.49
Avis El Sch,2018,22.0,473.6,894.23,5474.24,1144.84,7008.44
Avon Grove CS,2018,30.87,246.68,6009.51,8730.99,0.0,67.08
Avon Grove HS,2018,33.59,65.13,2054.41,7709.91,1090.48,4092.42
Avon Grove Intrmd Sch,2018,4.3,5.07,1816.3,6510.31,964.09,3455.68
Avona El Sch,2018,37.68,906.93,1557.24,5803.52,810.4,3020.2
Avonworth El Sch,2018,8.25,346.13,810.37,8565.81,233.36,2466.63
Avonworth HS,2018,13.92,0.0,973.86,11255.06,280.44,3241.03
Avonworth MS,2018,13.93,0.0,974.15,11258.35,280.52,3241.98
Avonworth Primary Center,2018,6.81,285.51,668.46,7065.75,192.49,2034.67
B F Morey El Sch,2018,136.82,927.65,1088.0,13220.55,515.65,6926.44
Bache-Martin Sch,2018,248.36,1629.95,1854.93,9023.7,90.7,434.76
Baden Academy CS,2018,303.19,214.14,4200.67,7956.56,0.0,161.13
Baggaley El Sch,2018,93.87,427.32,1783.79,9430.73,5.52,337.57
Bainbridge El Sch,2018,57.85,282.64,1597.39,7804.16,718.4,3509.78
Baker El Sch,2018,10.55,231.77,2499.6,13936.94,0.0,0.0
Bala-Cynwyd MS,2018,19.38,163.26,2282.19,19224.46,382.86,3225.06
Bald Eagle Area JSHS,2018,27.63,206.01,1676.76,6202.1,1762.75,6520.16
Baldi C C A MS,2018,191.54,847.04,1781.38,8518.22,90.68,171.86
Baldwin SHS,2018,21.58,282.64,2381.08,11342.47,0.0,0.0
Bancroft El Sch,2018,41.46,279.16,2852.51,9668.75,748.18,2538.12
Bangor Area HS,2018,0.0,0.0,2982.45,14205.13,0.0,0.0
Bangor Area MS,2018,0.0,241.41,1728.41,4037.69,0.0,0.0
Barclay El Sch,2018,26.56,596.96,1250.9,10316.48,331.95,2737.64
Baresville El Sch,2018,0.0,731.66,335.93,3460.83,812.08,8366.17
Barkley El Sch,2018,48.48,29.54,1919.49,15384.63,453.77,3636.94
Barrett El Sch,2018,678.39,3259.03,1275.55,32509.96,0.0,0.0
Barry Comm John Sch,2018,315.89,2097.46,1835.71,8854.37,95.64,862.58
Bart-Colerain El Sch,2018,86.77,998.8,1770.78,6380.18,1046.69,3771.26
Barth El Sch,2018,73.17,1519.36,2090.15,5971.44,1753.3,5009.08
Barton Clara Sch,2018,220.79,2546.48,1848.13,7367.11,91.28,1015.16
Bartram John - Main,2018,237.13,1955.92,2051.01,8850.01,90.68,171.86
Bear Creek Community CS,2018,51.59,815.72,3578.2,9172.5,189.03,7.0
Bear Creek School,2018,57.49,280.89,1587.55,7756.1,713.97,3488.16
Beaty-Warren MS,2018,219.53,267.94,1156.05,3972.29,1951.08,6704.08
Beaumont El Sch,2018,16.33,73.0,2457.31,10982.63,463.96,2073.62
Beaver Area MS,2018,29.45,143.1,1031.76,5013.92,552.11,2683.04
Beaver Area SHS,2018,85.56,243.52,2997.75,8532.64,1604.15,4565.97
Beaver Creek El Sch,2018,62.41,199.01,1580.04,9596.27,466.8,2835.1
Beaver Falls Area SHS,2018,464.22,670.31,2760.72,3986.39,6094.74,8800.62
Beaver Falls MS,2018,199.36,554.07,1185.59,3295.1,2617.38,7274.47
Beaver-Main El Sch,2018,21.88,704.47,1701.99,6718.16,1097.33,4423.42
Bedford El Sch,2018,122.85,964.74,1315.25,4540.83,1368.06,4723.18
Bedford MS,2018,56.19,371.25,1366.93,4966.24,1421.83,5165.69
Bedford SHS,2018,56.19,371.25,1563.8,5188.99,1626.6,5397.38
Bedminster El Sch,2018,21.62,18.62,1163.02,9156.01,384.58,3027.64
Bell Avenue School,2018,185.36,564.96,1919.87,5851.69,1758.68,5360.37
Bellaire El Sch,2018,14.79,87.01,2503.08,5897.0,711.84,5214.01
Belle Valley El Sch,2018,118.64,1154.11,1370.27,6034.13,432.16,4336.85
Belle Vernon Area HS,2018,40.02,268.15,980.64,6571.35,858.65,5753.88
Belle Vernon Area MS,2018,39.02,259.89,956.33,6368.85,837.36,5576.57
Bellefonte Area HS,2018,0.0,0.0,7302.62,9919.61,104.75,82.21
Bellefonte Area MS,2018,0.0,0.0,3323.49,8308.35,92.5,72.6
Bellefonte El Sch,2018,119.41,1149.18,4082.29,18070.46,94.59,74.24
Bellevue El Sch,2018,68.22,360.98,1644.21,868.82,1025.21,5424.85
Bellwood Antis MS,2018,5.66,189.0,629.01,3567.66,1025.44,5816.16
Bellwood-Antis HS,2018,2.92,110.34,1009.72,4713.2,1646.09,7683.68
Belmont Charter School,2018,96.71,1349.32,6562.3,9499.11,0.0,0.0
