name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
21st Century Cyber CS,153,74,70,81,7,4
Abington Heights HS,253,228,225,230,2,3
Abington SD,2,0,0,0,0,0
Abington SHS,543,447,445,454,7,2
Academy at Palumbo,199,0,0,0,0,0
Academy at Westinghouse,87,0,0,0,0,0
Academy CS,21,15,5,15,0,10
Academy Park HS,302,182,182,198,16,0
Achievement House CS,107,49,45,57,8,4
ACT Academy Cyber CS,24,0,0,0,0,0
Agora Cyber CS,734,369,345,433,64,24
Albert Gallatin Area SHS,264,136,110,139,3,26
Aliquippa JSHS,82,47,47,47,0,0
Allegheny Valley SD,2,0,0,0,0,0
Allegheny-Clarion Valley HS,46,29,25,30,1,4
Allegheny-Clarion Valley SD,8,0,0,0,0,0
Allentown City SD,169,74,69,87,13,5
Altoona Area HS,550,325,310,337,12,15
Ambridge Area HS,175,114,106,120,6,8
Annville Cleona HS,116,74,73,77,3,1
Annville-Cleona SD,1,0,0,0,0,0
Antietam MS/HS,63,48,44,49,1,4
Apollo-Ridge HS,67,50,48,55,5,2
Apollo-Ridge SD,2,0,0,0,0,0
Armstrong JSHS,211,0,0,0,0,0
Armstrong SD,47,0,0,0,0,0
Arts Academy at Benjamin Rush,137,0,0,0,0,0
ASPIRA Bilingual Cyber Charter School,36,26,26,27,1,0
Athens Area HS,157,77,72,85,8,5
Austin Area JSHS,13,6,6,6,0,0
Avella Area JSHS,36,27,24,28,1,3
Avella Area SD,1,0,0,0,0,0
Avon Grove CS,74,62,57,62,0,5
Avon Grove HS,450,389,386,399,10,3
Avon Grove SD,9,2,2,3,1,0
Avonworth HS,120,109,106,109,0,3
Avonworth SD,2,1,1,1,0,0
Bald Eagle Area JSHS,140,82,76,88,6,6
Baldwin SHS,326,259,249,267,8,10
Baldwin-Whitehall SD,6,0,0,0,0,0
Bangor Area HS,246,185,185,185,0,0
Bartram John - Main,145,0,0,0,0,0
Beaver Area SHS,182,137,131,138,1,6
Beaver Falls Area SHS,115,57,57,62,5,0
Bedford SHS,155,76,76,80,4,0
Belle Vernon Area HS,187,143,136,146,3,7
Bellefonte Area HS,189,123,120,127,4,3
Bellefonte Area SD,1,0,0,0,0,0
Bellwood-Antis HS,103,75,75,75,0,0
Bensalem Township SD,8,0,0,0,0,0
Bensalem Twp HS,379,304,301,308,4,3
Benton Area MSHS,37,23,23,24,1,0
Bentworth SD,2,0,0,0,0,0
Bentworth SHS,71,49,41,52,3,8
Berlin Brothersvalley SHS,61,37,37,37,0,0
Bermudian Springs HS,149,79,73,83,4,6
Bermudian Springs SD,7,0,0,0,0,0
Berwick Area HS,165,126,125,126,0,1
Bethel Park HS,371,310,310,310,0,0
Bethel Park SD,1,0,0,0,0,0
Bethlehem Area SD,13,0,0,0,0,0
Bethlehem-Center SHS,97,62,48,62,0,14
Big Beaver Falls Area SD,2,0,0,0,0,0
Big Spring HS,212,128,123,129,1,5
Biglerville HS,105,70,66,74,4,4
Blackhawk HS,180,117,117,124,7,0
Blackhawk SD,4,0,0,0,0,0
Blacklick Valley JSHS,42,25,24,25,0,1
Blacklick Valley SD,5,0,0,0,0,0
Blairsville SHS,63,45,42,45,0,3
Blairsville-Saltsburg SD,1,0,0,0,0,0
Bloomsburg Area HS,96,77,77,78,1,0
Bloomsburg Area SD,3,0,0,0,0,0
Blue Mountain HS,189,131,112,136,5,19
Blue Mountain SD,1,0,0,0,0,0
Blue Ridge HS,77,48,48,48,0,0
Bodine William W HS,102,0,0,0,0,0
Boiling Springs HS,153,105,101,107,2,4
Boyertown Area SD,19,0,0,1,1,0
Boyertown Area SHS,541,387,380,397,10,7
