Year,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2018,BERMUDIAN SPRINGS HS,Algebra I,All Students,11,162,29.6,41.4,21.6,7.4
2018,BERMUDIAN SPRINGS HS,Algebra I,Historically Underperforming,11,69,24.6,29,30.4,15.9
2018,BERMUDIAN SPRINGS HS,Biology,All Students,11,159,23.3,42.1,22,12.6
2018,BERMUDIAN SPRINGS HS,Biology,Historically Underperforming,11,67,9,37.3,28.4,25.4
2018,BERMUDIAN SPRINGS HS,Literature,All Students,11,159,11.3,66,15.1,7.5
2018,BERMUDIAN SPRINGS HS,Literature,Historically Underperforming,11,68,4.4,58.8,20.6,16.2
2018,NEW OXFORD SHS,Algebra I,All Students,11,276,35.1,42.4,16.3,6.2
2018,NEW OXFORD SHS,Algebra I,Historically Underperforming,11,99,18.2,42.4,23.2,16.2
2018,NEW OXFORD SHS,Biology,All Students,11,277,42.2,35.4,13,9.4
2018,NEW OXFORD SHS,Biology,Historically Underperforming,11,100,24,37,21,18
2018,NEW OXFORD SHS,Literature,All Students,11,277,11.2,69,14.8,5.1
2018,NEW OXFORD SHS,Literature,Historically Underperforming,11,100,6,55,27,12
2018,FAIRFIELD AREA HS,Algebra I,All Students,11,93,17.2,59.1,21.5,2.2
2018,FAIRFIELD AREA HS,Algebra I,Historically Underperforming,11,19,5.3,63.2,26.3,5.3
2018,FAIRFIELD AREA HS,Biology,All Students,11,93,25.8,43,24.7,6.5
2018,FAIRFIELD AREA HS,Biology,Historically Underperforming,11,19,21.1,26.3,42.1,10.5
2018,FAIRFIELD AREA HS,Literature,All Students,11,93,10.8,71,16.1,2.2
2018,FAIRFIELD AREA HS,Literature,Historically Underperforming,11,19,0,73.7,21.1,5.3
2018,GETTYSBURG AREA HS,Algebra I,All Students,11,221,29.4,42.1,20.4,8.1
2018,GETTYSBURG AREA HS,Algebra I,Historically Underperforming,11,105,15.2,38.1,32.4,14.3
2018,GETTYSBURG AREA HS,Biology,All Students,11,221,26.7,45.7,18.6,9
