Year,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2021,BERMUDIAN SPRINGS HS,Algebra I,All Students,11,135,32.6,42.2,23.7,1.5
2021,BERMUDIAN SPRINGS HS,Algebra I,Historically Underperforming,11,37,24.3,35.1,37.8,2.7
2021,BERMUDIAN SPRINGS HS,Biology,All Students,11,36,72.2,16.7,11.1,0
2021,BERMUDIAN SPRINGS HS,Literature,All Students,11,87,13.8,86.2,0,0
2021,BERMUDIAN SPRINGS HS,Literature,Historically Underperforming,11,18,22.2,77.8,0,0
2021,NEW OXFORD SHS,Algebra I,All Students,11,227,37.4,43.6,14.5,4.4
2021,NEW OXFORD SHS,Algebra I,Historically Underperforming,11,78,24.4,41,21.8,12.8
2021,NEW OXFORD SHS,Biology,All Students,11,40,52.5,12.5,30,5
2021,NEW OXFORD SHS,Biology,Historically Underperforming,11,15,33.3,20,40,6.7
2021,NEW OXFORD SHS,Literature,All Students,11,14,0,14.3,50,35.7
2021,FAIRFIELD AREA HS,Algebra I,All Students,11,75,26.7,37.3,30.7,5.3
2021,FAIRFIELD AREA HS,Algebra I,Historically Underperforming,11,16,25,37.5,25,12.5
2021,FAIRFIELD AREA HS,Biology,All Students,11,40,42.5,37.5,17.5,2.5
2021,GETTYSBURG AREA HS,Algebra I,All Students,11,194,38.1,42.3,17,2.6
2021,GETTYSBURG AREA HS,Algebra I,Historically Underperforming,11,60,16.7,46.7,28.3,8.3
2021,GETTYSBURG AREA HS,Biology,All Students,11,27,44.4,14.8,29.6,11.1
2021,GETTYSBURG AREA HS,Literature,All Students,11,11,9.1,27.3,36.4,27.3
2021,LITTLESTOWN SHS,Algebra I,All Students,11,145,27.6,42.8,23.4,6.2
2021,LITTLESTOWN SHS,Algebra I,Historically Underperforming,11,30,10,20,46.7,23.3
2021,LITTLESTOWN SHS,Biology,All Students,11,142,43.7,31.7,16.2,8.5
2021,LITTLESTOWN SHS,Biology,Historically Underperforming,11,30,33.3,6.7,30,30
2021,BIGLERVILLE HS,Algebra I,All Students,11,124,24.2,36.3,31.5,8.1
2021,BIGLERVILLE HS,Algebra I,Historically Underperforming,11,55,14.5,27.3,40,18.2
2021,BIGLERVILLE HS,Biology,All Students,11,12,0,16.7,50,33.3
2021,SPRINGDALE JSHS,Algebra I,All Students,11,61,18,42.6,32.8,6.6
2021,SPRINGDALE JSHS,Algebra I,Historically Underperforming,11,26,15.4,38.5,38.5,7.7
2021,SPRINGDALE JSHS,Biology,All Students,11,28,57.1,35.7,3.6,3.6
2021,SPRINGDALE JSHS,Biology,Historically Underperforming,11,11,54.5,27.3,9.1,9.1
2021,AVONWORTH HS,Algebra I,All Students,11,114,34.2,32.5,26.3,7
2021,AVONWORTH HS,Algebra I,Historically Underperforming,11,32,12.5,37.5,34.4,15.6
2021,AVONWORTH HS,Biology,All Students,11,81,40.7,42,16,1.2
2021,AVONWORTH HS,Biology,Historically Underperforming,11,13,38.5,30.8,30.8,0
2021,BALDWIN SHS,Algebra I,All Students,11,297,30,29.6,32,8.4
2021,BALDWIN SHS,Algebra I,Historically Underperforming,11,91,26.4,22,34.1,17.6
2021,BALDWIN SHS,Biology,All Students,11,321,36.1,30.5,21.5,11.8
2021,BALDWIN SHS,Biology,Historically Underperforming,11,111,30.6,21.6,20.7,27
2021,BETHEL PARK HS,Algebra I,All Students,11,280,29.6,47.5,18.6,4.3
2021,BETHEL PARK HS,Algebra I,Historically Underperforming,11,61,21.3,31.1,31.1,16.4
2021,BETHEL PARK HS,Biology,All Students,11,112,58,31.3,8.9,1.8
2021,BETHEL PARK HS,Biology,Historically Underperforming,11,12,41.7,25,16.7,16.7
2021,BRENTWOOD SHS,Algebra I,All Students,11,74,17.6,37.8,43.2,1.4
2021,BRENTWOOD SHS,Algebra I,Historically Underperforming,11,33,15.2,33.3,51.5,0
2021,BRENTWOOD SHS,Biology,All Students,11,59,39,39,20.3,1.7
2021,BRENTWOOD SHS,Biology,Historically Underperforming,11,28,25,46.4,28.6,0
2021,CARLYNTON JSHS,Algebra I,All Students,11,80,16.3,30,36.3,17.5
2021,CARLYNTON JSHS,Algebra I,Historically Underperforming,11,35,11.4,31.4,34.3,22.9
2021,CARLYNTON JSHS,Biology,All Students,11,76,28.9,28.9,30.3,11.8
2021,CARLYNTON JSHS,Biology,Historically Underperforming,11,33,21.2,36.4,24.2,18.2
2021,CHARTIERS VALLEY HS,Algebra I,All Students,11,209,15.8,38.3,34,12
2021,CHARTIERS VALLEY HS,Algebra I,Historically Underperforming,11,59,3.4,22,44.1,30.5
2021,CHARTIERS VALLEY HS,Biology,All Students,11,212,30.7,34,22.2,13.2
2021,CHARTIERS VALLEY HS,Biology,Historically Underperforming,11,66,15.2,21.2,27.3,36.4
2021,CITY CHS,Biology,All Students,11,133,1.5,15.8,40.6,42.1
2021,CITY CHS,Biology,Historically Underperforming,11,93,1.1,9.7,40.9,48.4
2021,CLAIRTON MS/HS,Algebra I,All Students,11,49,2,22.4,61.2,14.3
2021,CLAIRTON MS/HS,Algebra I,Historically Underperforming,11,44,2.3,18.2,63.6,15.9
2021,CLAIRTON MS/HS,Biology,All Students,11,26,11.5,26.9,46.2,15.4
2021,CLAIRTON MS/HS,Biology,Historically Underperforming,11,21,9.5,19,52.4,19
2021,CORNELL HS,Algebra I,All Students,11,35,0,31.4,51.4,17.1
2021,CORNELL HS,Algebra I,Historically Underperforming,11,23,0,17.4,56.5,26.1
2021,CORNELL HS,Biology,All Students,11,21,23.8,38.1,28.6,9.5
2021,CORNELL HS,Biology,Historically Underperforming,11,12,8.3,33.3,41.7,16.7
2021,DEER LAKES HS,Algebra I,All Students,11,148,19.6,33.8,27,19.6
2021,DEER LAKES HS,Algebra I,Historically Underperforming,11,48,8.3,14.6,41.7,35.4
2021,DEER LAKES HS,Biology,All Students,11,148,19.6,31.1,35.1,14.2
2021,DEER LAKES HS,Biology,Historically Underperforming,11,47,8.5,19.1,44.7,27.7
2021,EAST ALLEGHENY JSHS,Algebra I,All Students,11,41,29.3,24.4,17.1,29.3
2021,EAST ALLEGHENY JSHS,Algebra I,Historically Underperforming,11,27,18.5,18.5,22.2,40.7
2021,EAST ALLEGHENY JSHS,Biology,All Students,11,39,43.6,28.2,5.1,23.1
2021,EAST ALLEGHENY JSHS,Biology,Historically Underperforming,11,23,26.1,30.4,4.3,39.1
2021,ELIZABETH FORWARD SHS,Algebra I,All Students,11,172,14.5,44.8,26.2,14.5
2021,ELIZABETH FORWARD SHS,Algebra I,Historically Underperforming,11,64,7.8,28.1,31.3,32.8
2021,ELIZABETH FORWARD SHS,Biology,All Students,11,173,24.3,41,18.5,16.2
2021,ELIZABETH FORWARD SHS,Biology,Historically Underperforming,11,65,9.2,32.3,21.5,36.9
2021,FORBES ROAD CTC,Algebra I,All Students,11,13,0,7.7,46.2,46.2
2021,FORBES ROAD CTC,Biology,All Students,11,12,16.7,16.7,25,41.7
2021,FORBES ROAD CTC,Literature,All Students,11,11,0,36.4,18.2,45.5
2021,FOX CHAPEL AREA HS,Algebra I,All Students,11,315,55.2,31.4,10.8,2.5
2021,FOX CHAPEL AREA HS,Algebra I,Historically Underperforming,11,73,26,35.6,28.8,9.6
2021,FOX CHAPEL AREA HS,Biology,All Students,11,241,74.3,23.2,2.5,0
2021,FOX CHAPEL AREA HS,Biology,Historically Underperforming,11,32,53.1,40.6,6.3,0
2021,GATEWAY SHS,Algebra I,All Students,11,176,28.4,34.7,26.1,10.8
2021,GATEWAY SHS,Algebra I,Historically Underperforming,11,66,13.6,31.8,31.8,22.7
2021,GATEWAY SHS,Biology,All Students,11,95,66.3,13.7,9.5,10.5
2021,GATEWAY SHS,Biology,Historically Underperforming,11,33,39.4,9.1,21.2,30.3
2021,GATEWAY SHS,Literature,All Students,11,57,45.6,50.9,3.5,0
2021,GATEWAY SHS,Literature,Historically Underperforming,11,12,16.7,66.7,16.7,0
2021,HAMPTON HS,Algebra I,All Students,11,238,43.3,43.7,10.5,2.5
2021,HAMPTON HS,Algebra I,Historically Underperforming,11,39,17.9,46.2,23.1,12.8
2021,HAMPTON HS,Biology,All Students,11,208,56.3,36.1,7.7,0
2021,HAMPTON HS,Biology,Historically Underperforming,11,21,33.3,47.6,19,0
2021,HIGHLANDS SHS,Algebra I,All Students,11,127,11.8,40.2,33.9,14.2
2021,HIGHLANDS SHS,Algebra I,Historically Underperforming,11,56,5.4,33.9,35.7,25
2021,HIGHLANDS SHS,Biology,All Students,11,140,7.9,23.6,37.9,30.7
2021,HIGHLANDS SHS,Biology,Historically Underperforming,11,65,3.1,18.5,32.3,46.2
2021,KEYSTONE OAKS HS,Algebra I,All Students,11,128,25.8,40.6,26.6,7
2021,KEYSTONE OAKS HS,Algebra I,Historically Underperforming,11,50,16,34,40,10
2021,KEYSTONE OAKS HS,Biology,All Students,11,131,27.5,37.4,21.4,13.7
2021,KEYSTONE OAKS HS,Biology,Historically Underperforming,11,53,17,34,26.4,22.6
2021,MCKEESPORT AREA SHS,Algebra I,All Students,11,148,6.1,15.5,38.5,39.9
2021,MCKEESPORT AREA SHS,Algebra I,Historically Underperforming,11,74,5.4,10.8,37.8,45.9
2021,MCKEESPORT AREA SHS,Biology,All Students,11,25,4,8,36,52
2021,MCKEESPORT AREA SHS,Biology,Historically Underperforming,11,17,0,0,47.1,52.9
2021,MCKEESPORT AREA SHS,Literature,All Students,11,14,0,21.4,28.6,50
2021,MCKEESPORT AREA SHS,Literature,Historically Underperforming,11,11,0,27.3,27.3,45.5
2021,MONTOUR HS,Algebra I,All Students,11,157,46.5,45.9,7,0.6
2021,MONTOUR HS,Algebra I,Historically Underperforming,11,37,35.1,48.6,13.5,2.7
2021,MONTOUR HS,Biology,All Students,11,206,26.7,45.1,20.4,7.8
2021,MONTOUR HS,Biology,Historically Underperforming,11,61,16.4,32.8,32.8,18
2021,MONTOUR HS,Literature,All Students,11,13,7.7,76.9,15.4,0
2021,MOON SHS,Algebra I,All Students,11,267,34.1,44.9,17.2,3.7
2021,MOON SHS,Algebra I,Historically Underperforming,11,68,10.3,32.4,44.1,13.2
2021,MOON SHS,Biology,All Students,11,121,75.2,17.4,5,2.5
2021,MOON SHS,Biology,Historically Underperforming,11,18,44.4,16.7,22.2,16.7
2021,MT LEBANON SHS,Algebra I,All Students,11,422,41.5,44.3,10.9,3.3
2021,MT LEBANON SHS,Algebra I,Historically Underperforming,11,87,17.2,41.4,27.6,13.8
2021,MT LEBANON SHS,Biology,All Students,11,11,27.3,36.4,18.2,18.2
2021,NORTH ALLEGHENY HS,Algebra I,All Students,11,679,42,39.5,15,3.5
2021,NORTH ALLEGHENY HS,Algebra I,Historically Underperforming,11,111,16.2,28.8,36,18.9
2021,NORTH ALLEGHENY HS,Biology,All Students,11,536,67,28.7,3.9,0.4
2021,NORTH ALLEGHENY HS,Biology,Historically Underperforming,11,50,46,40,12,2
2021,NORTH HILLS SHS,Algebra I,All Students,11,298,30.5,40.6,24.2,4.7
2021,NORTH HILLS SHS,Algebra I,Historically Underperforming,11,86,15.1,27.9,44.2,12.8
2021,NORTH HILLS SHS,Biology,All Students,11,314,33.1,37.3,19.4,10.2
2021,NORTH HILLS SHS,Biology,Historically Underperforming,11,102,13.7,32.4,26.5,27.5
2021,NORTHGATE MSHS,Algebra I,All Students,11,63,4.8,47.6,38.1,9.5
2021,NORTHGATE MSHS,Algebra I,Historically Underperforming,11,31,3.2,32.3,51.6,12.9
2021,PENN HILLS SHS,Algebra I,All Students,11,192,3.1,31.8,42.2,22.9
2021,PENN HILLS SHS,Algebra I,Historically Underperforming,11,140,2.9,25.7,42.9,28.6
2021,PENN HILLS SHS,Biology,All Students,11,141,16.3,32.6,11.3,39.7
2021,PENN HILLS SHS,Biology,Historically Underperforming,11,102,10.8,25.5,14.7,49
2021,PENNSYLVANIA DISTANCE LEARNING CS,Algebra I,All Students,11,42,16.7,16.7,38.1,28.6
2021,PENNSYLVANIA DISTANCE LEARNING CS,Algebra I,Historically Underperforming,11,23,4.3,21.7,47.8,26.1
