Year,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic,% Advanced/Proficient
2023,BERMUDIAN SPRINGS HS,Algebra I,All Students,11,79,3.8,7.6,63.3,25.3,11.4
2023,BERMUDIAN SPRINGS HS,Algebra I,White (not Hispanic),11,65,4.6,9.2,61.5,24.6,13.8
2023,BERMUDIAN SPRINGS HS,Algebra I,Hispanic (any race),11,11,0,0,72.7,27.3,0
2023,BERMUDIAN SPRINGS HS,Algebra I,IEP,11,15,0,0,60,40,0
2023,BERMUDIAN SPRINGS HS,Algebra I,Economically Disadvantaged,11,34,2.9,2.9,61.8,32.4,5.9
2023,BERMUDIAN SPRINGS HS,Biology,All Students,11,150,19.3,30.7,28.7,21.3,50
2023,BERMUDIAN SPRINGS HS,Biology,White (not Hispanic),11,126,22.2,33.3,27.8,16.7,55.6
2023,BERMUDIAN SPRINGS HS,Biology,Hispanic (any race),11,20,5,15,35,45,20
2023,BERMUDIAN SPRINGS HS,Biology,IEP,11,15,0,0,33.3,66.7,0
2023,BERMUDIAN SPRINGS HS,Biology,Economically Disadvantaged,11,51,5.9,23.5,37.3,33.3,29.4
2023,BERMUDIAN SPRINGS HS,Literature,All Students,11,148,5.4,58.1,25,11.5,63.5
2023,BERMUDIAN SPRINGS HS,Literature,White (not Hispanic),11,125,6.4,60,22.4,11.2,66.4
2023,BERMUDIAN SPRINGS HS,Literature,Hispanic (any race),11,20,0,50,35,15,50
2023,BERMUDIAN SPRINGS HS,Literature,IEP,11,15,0,13.3,46.7,40,13.3
2023,BERMUDIAN SPRINGS HS,Literature,Economically Disadvantaged,11,51,0,47.1,39.2,13.7,47.1
2023,NEW OXFORD SHS,Algebra I,All Students,11,201,7,24.4,55.2,13.4,31.3
2023,NEW OXFORD SHS,Algebra I,White (not Hispanic),11,144,6.3,22.9,56.3,14.6,29.2
2023,NEW OXFORD SHS,Algebra I,Hispanic (any race),11,43,4.7,30.2,58.1,7,34.9
2023,NEW OXFORD SHS,Algebra I,IEP,11,33,0,0,48.5,51.5,0
2023,NEW OXFORD SHS,Algebra I,Economically Disadvantaged,11,100,6,26,53,15,32
2023,NEW OXFORD SHS,Biology,All Students,11,285,17.5,42.1,27,13.3,59.6
