Year,School Name,Subject,Grade,Group,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2015,21ST CENTURY CYBER CS,E,11,All Students,124,8.06,71.77,16.94,3.23
2015,21ST CENTURY CYBER CS,E,11,Historically Underperforming,33,9.09,66.67,15.15,9.09
2015,21ST CENTURY CYBER CS,M,11,All Students,126,17.46,48.41,28.57,5.56
2015,21ST CENTURY CYBER CS,M,11,Historically Underperforming,35,8.57,48.57,34.29,8.57
2015,21ST CENTURY CYBER CS,S,11,All Students,126,11.11,55.56,26.19,7.14
2015,21ST CENTURY CYBER CS,S,11,Historically Underperforming,35,8.57,62.86,17.14,11.43
2015,ABINGTON HEIGHTS HS,E,11,All Students,235,24.68,70.64,4.26,0.43
2015,ABINGTON HEIGHTS HS,E,11,Historically Underperforming,48,6.25,77.08,14.58,2.08
2015,ABINGTON HEIGHTS HS,M,11,All Students,234,39.32,47.01,10.68,2.99
2015,ABINGTON HEIGHTS HS,M,11,Historically Underperforming,47,10.64,55.32,19.15,14.89
2015,ABINGTON HEIGHTS HS,S,11,All Students,235,48.94,35.74,10.21,5.11
2015,ABINGTON HEIGHTS HS,S,11,Historically Underperforming,48,22.92,41.67,16.67,18.75
2015,ABINGTON SHS,E,11,All Students,555,17.66,72.79,8.11,1.44
2015,ABINGTON SHS,E,11,Historically Underperforming,179,6.7,70.95,19.55,2.79
2015,ABINGTON SHS,M,11,All Students,556,32.01,53.24,13.31,1.44
2015,ABINGTON SHS,M,11,Historically Underperforming,179,17.88,53.63,25.14,3.35
2015,ABINGTON SHS,S,11,All Students,557,23.16,60.5,11.85,4.49
2015,ABINGTON SHS,S,11,Historically Underperforming,182,11.54,53.3,24.18,10.99
2015,ACADEMY CHARTER SCHOOL,E,11,All Students,25,0.0,0.0,32.0,68.0
2015,ACADEMY CHARTER SCHOOL,E,11,Historically Underperforming,22,0.0,0.0,31.82,68.18
2015,ACADEMY CHARTER SCHOOL,M,11,All Students,25,0.0,0.0,24.0,76.0
2015,ACADEMY CHARTER SCHOOL,M,11,Historically Underperforming,22,0.0,0.0,27.27,72.73
2015,ACADEMY CHARTER SCHOOL,S,11,All Students,25,0.0,0.0,0.0,100.0
2015,ACADEMY CHARTER SCHOOL,S,11,Historically Underperforming,22,0.0,0.0,0.0,100.0
2015,ACHIEVEMENT HOUSE CS,E,11,All Students,119,2.52,28.57,39.5,29.41
2015,ACHIEVEMENT HOUSE CS,E,11,Historically Underperforming,88,2.27,27.27,36.36,34.09
2015,ACHIEVEMENT HOUSE CS,M,11,All Students,119,0.84,17.65,38.66,42.86
2015,ACHIEVEMENT HOUSE CS,M,11,Historically Underperforming,87,1.15,13.79,35.63,49.43
2015,ACHIEVEMENT HOUSE CS,S,11,All Students,119,2.52,11.76,27.73,57.98
2015,ACHIEVEMENT HOUSE CS,S,11,Historically Underperforming,88,3.41,10.23,25.0,61.36
2015,ACT ACADEMY CYBER CS,E,11,All Students,24,0.0,29.17,41.67,29.17
2015,ACT ACADEMY CYBER CS,E,11,Historically Underperforming,23,0.0,26.09,43.48,30.43
2015,ACT ACADEMY CYBER CS,M,11,All Students,26,0.0,11.54,50.0,38.46
2015,ACT ACADEMY CYBER CS,M,11,Historically Underperforming,25,0.0,8.0,52.0,40.0
2015,ACT ACADEMY CYBER CS,S,11,All Students,24,0.0,8.33,20.83,70.83
2015,ACT ACADEMY CYBER CS,S,11,Historically Underperforming,23,0.0,8.7,17.39,73.91
2015,AGORA CYBER CS,E,11,All Students,936,1.5,47.12,38.57,12.82
2015,AGORA CYBER CS,E,11,Historically Underperforming,660,0.76,42.73,41.06,15.45
2015,AGORA CYBER CS,M,11,All Students,947,3.59,22.39,46.78,27.24
2015,AGORA CYBER CS,M,11,Historically Underperforming,669,2.99,18.54,45.59,32.88
2015,AGORA CYBER CS,S,11,All Students,945,5.19,23.92,29.84,41.06
2015,AGORA CYBER CS,S,11,Historically Underperforming,667,3.9,19.49,27.59,49.03
2015,ALBERT GALLATIN AREA HS,E,11,All Students,246,7.72,61.79,26.02,4.47
2015,ALBERT GALLATIN AREA HS,E,11,Historically Underperforming,133,3.76,51.13,38.35,6.77
2015,ALBERT GALLATIN AREA HS,M,11,All Students,247,3.64,44.53,40.89,10.93
2015,ALBERT GALLATIN AREA HS,M,11,Historically Underperforming,134,1.49,29.85,51.49,17.16
2015,ALBERT GALLATIN AREA HS,S,11,All Students,246,9.76,37.8,28.05,24.39
2015,ALBERT GALLATIN AREA HS,S,11,Historically Underperforming,133,3.01,29.32,32.33,35.34
2015,ALIQUIPPA JSHS,E,11,All Students,75,1.33,36.0,46.67,16.0
2015,ALIQUIPPA JSHS,E,11,Historically Underperforming,69,0.0,33.33,49.28,17.39
2015,ALIQUIPPA JSHS,M,11,All Students,75,1.33,29.33,56.0,13.33
2015,ALIQUIPPA JSHS,M,11,Historically Underperforming,69,0.0,27.54,57.97,14.49
2015,ALIQUIPPA JSHS,S,11,All Students,74,1.35,9.46,35.14,54.05
2015,ALIQUIPPA JSHS,S,11,Historically Underperforming,68,0.0,8.82,35.29,55.88
2015,SPRINGDALE JSHS,E,11,All Students,70,5.71,81.43,11.43,1.43
2015,SPRINGDALE JSHS,E,11,Historically Underperforming,32,0.0,81.25,15.63,3.13
2015,SPRINGDALE JSHS,M,11,All Students,68,25.0,44.12,29.41,1.47
2015,SPRINGDALE JSHS,M,11,Historically Underperforming,30,13.33,43.33,40.0,3.33
2015,SPRINGDALE JSHS,S,11,All Students,66,13.64,42.42,25.76,18.18
2015,SPRINGDALE JSHS,S,11,Historically Underperforming,28,3.57,42.86,35.71,17.86
2015,ALLEGHENY-CLARION VA,E,11,All Students,54,1.85,57.41,29.63,11.11
2015,ALLEGHENY-CLARION VA,E,11,Historically Underperforming,30,0.0,53.33,33.33,13.33
2015,ALLEGHENY-CLARION VA,M,11,All Students,54,22.22,44.44,25.93,7.41
2015,ALLEGHENY-CLARION VA,M,11,Historically Underperforming,30,10.0,43.33,33.33,13.33
2015,ALLEGHENY-CLARION VA,S,11,All Students,54,5.56,64.81,27.78,1.85
2015,ALLEGHENY-CLARION VA,S,11,Historically Underperforming,30,3.33,56.67,36.67,3.33
2015,LOUIS E DIERUFF HS,E,11,All Students,338,1.18,41.12,36.09,21.6
2015,LOUIS E DIERUFF HS,E,11,Historically Underperforming,303,1.32,37.95,37.29,23.43
2015,LOUIS E DIERUFF HS,M,11,All Students,344,4.07,35.17,45.64,15.12
2015,LOUIS E DIERUFF HS,M,11,Historically Underperforming,309,3.56,33.33,46.93,16.18
2015,LOUIS E DIERUFF HS,S,11,All Students,343,3.21,20.12,29.74,46.94
2015,LOUIS E DIERUFF HS,S,11,Historically Underperforming,308,2.92,17.21,30.84,49.03
2015,WILLIAM ALLEN SHS,E,11,All Students,529,3.02,40.26,35.35,21.36
2015,WILLIAM ALLEN SHS,E,11,Historically Underperforming,451,1.77,36.59,37.69,23.95
2015,WILLIAM ALLEN SHS,M,11,All Students,550,4.73,29.64,45.27,20.36
2015,WILLIAM ALLEN SHS,M,11,Historically Underperforming,471,3.18,27.81,47.35,21.66
2015,WILLIAM ALLEN SHS,S,11,All Students,527,4.36,17.46,28.46,49.72
2015,WILLIAM ALLEN SHS,S,11,Historically Underperforming,450,3.11,13.78,28.89,54.22
2015,ALTOONA AREA HS,E,11,All Students,494,8.3,65.18,20.04,6.48
2015,ALTOONA AREA HS,E,11,Historically Underperforming,281,4.27,57.3,28.47,9.96
2015,ALTOONA AREA HS,M,11,All Students,496,15.52,54.03,24.4,6.05
