Name,Latitude,Longitude
Albert Gallatin Area SHS,39.8272899890001,-79.784943638
Albert Gallatin North MS,39.8959561390001,-79.8822704629999
Albert Gallatin South MS,39.7783575880001,-79.9185353359999
Friendship Hill El Sch,39.779784223,-79.91802065
George J Plava El Sch,39.884798667,-79.863362588
Masontown El Sch,39.8482465640001,-79.902921587
Smithfield El Sch,39.8026267700001,-79.804695021
Brownsville Area HS,40.006378872,-79.893926629
Brownsville Area MS,40.0069945330001,-79.8932933839999
Bullskin El Sch,40.0567047120001,-79.559269125
Connellsville Area SHS,40.0248616010001,-79.574160675
Connellsville Area MS,40.022424334,-79.5702933699999
Dunbar Twp El Sch,40.0202291950001,-79.618054488
Springfield El Sch,39.9995274280001,-79.4475152319999
West Crawford El Sch,40.010837,-79.617387
Frazier HS,40.088903,-79.756037
Frazier MS,40.088903,-79.756037
Frazier El Sch,40.088903,-79.756037
Clark El Sch,39.9124420680001,-79.7033313109999
Hatfield El Sch,39.87971194,-79.727904141
Hutchinson El Sch,39.8611661780001,-79.708302542
Laurel Highlands MS,39.893741719,-79.753031311
Laurel Highlands SHS,39.9071106260001,-79.710076225
Marshall El Sch,39.9246452950001,-79.682643856
A J McMullen Sch,39.774133589,-79.48659194
Ben Franklin Sch,39.8915546470001,-79.7334372989999
Franklin Sch,40.020673878,-79.7146161219999
Lafayette El Sch,39.900957,-79.706336
Lafayette MS,39.900957,-79.706336
Marclay Sch,39.7538127890001,-79.442575274
Menallen Sch,39.938817122,-79.7814605029999
Uniontown Area SHS,39.8958392010001,-79.719809804
Wharton Sch,39.804005562,-79.568388359
Carmichaels Area El Ctr,39.8975602960001,-79.980155012
Carmichaels Area HS,39.897125352,-79.9784131169999
Waynesburg Central El School,39.8942706820001,-80.149146671
Waynesburg Central JSHS,39.8956226940001,-80.150986992
Jefferson-Morgan El Sch,39.929935173,-80.065032989
Jefferson-Morgan MS/HS,39.922923,-80.07226
Bobtown El Sch,39.7598463420001,-79.984918523
Mapletown JSHS,39.804094837,-79.9384305259999
Avella Area JSHS,40.2734689550001,-80.418028299
Avella El Center,40.2741996890001,-80.418455482
Bentworth El Ctr,40.127119,-80.02762
Bentworth MS,40.104535,-80.019047
Bentworth SHS,40.124435803,-80.020545061
Bethlehem-Center El Sch,40.024224433,-80.028020371
Bethlehem-Center JSHS,40.0194670120001,-80.028472079
Burgettstown El Ctr,40.397887,-80.388844
Burgettstown MS/HS,40.398544,-80.388738
California Area El Sch,40.047694891,-79.927068648
California Area MS,40.0453855910001,-79.926539802
California Area SHS,40.0447780330001,-79.9259039299999
Borland Manor El Sch,40.259274197,-80.167018551
Canon-McMillan SHS,40.2503185360001,-80.1945208819999
Canon-McMillan MS,40.2607720940001,-80.186230294
Cecil Intrmd Sch,40.3190507050001,-80.2239244049999
Hills-Hendersonville El Sch,40.3080397250001,-80.129749466
Muse El Sch,40.292875,-80.199398
North Strabane Intrmd Sch,40.261556259,-80.167007271
South Central El,40.2546188970001,-80.185643091
Wylandville El Sch,40.207560598,-80.126664198
Charleroi Area El Ctr,40.154523,-79.918705
Charleroi Area HS,40.15511,-79.91837
Charleroi Area MS,40.157550945,-79.923253921
Allison Park El Sch,40.232727,-80.2262
Chartiers-Houston JSHS,40.231463,-80.215701
Fort Cherry El Ctr,40.346463,-80.283826
Fort Cherry JSHS,40.346463,-80.283826
Claysville El Sch,40.1175809160001,-80.415222452
Joe Walker El Sch,40.120507661,-80.288952737
McGuffey HS,40.141326345,-80.3624716419999
McGuffey MS,40.1413135930001,-80.3641569229999
Bower Hill El Sch,40.261045,-80.067391
McMurray El Sch,40.281277,-80.080728
Peters Twp HS,40.269253,-80.118709
Pleasant Valley El Sch,40.269477,-80.120301
Ringgold MS,40.197026,-79.983183
Ringgold El Sch North,40.25624,-79.989856
Ringgold SHS,40.197101,-79.983335
Trinity East El Sch,40.188199,-80.210254
Trinity MS,40.148173,-80.266859
Trinity North El Sch,40.200096,-80.299253
Trinity SHS,40.163346,-80.249804
Trinity South El Sch,40.10784,-80.203749
Trinity West El Sch,40.156891,-80.261797
Washington HS,40.174226381,-80.253401159
Washington Park El Sch,40.1675394120001,-80.225058181
Washington Junior High School,40.1671632810001,-80.224921348
Pittsburgh Allderdice HS,40.429867,-79.920349
Pittsburgh Allegheny K-5,40.455159,-80.008555
Pittsburgh Allegheny 6-8,40.45518,-80.008588
Pittsburgh Arlington K-8,40.41554,-79.972059
Pittsburgh Arsenal K-5,40.467398,-79.963406
Pittsburgh Arsenal 6-8,40.468336,-79.961916
Pittsburgh Banksville K-5,40.407167,-80.036326
Pittsburgh Beechwood K-5,40.4145471080001,-80.0207216059999
Pittsburgh Brashear HS,40.417099,-80.020441
Pittsburgh Brookline K-8,40.394877,-80.02496
Pittsburgh Carmalt K-8,40.388984,-80.00764
Pittsburgh Carrick HS,40.391195,-79.988494
Pittsburgh Chartiers Early Childhood Ctr,40.458017,-80.075522
Pittsburgh Colfax K-8,40.433359,-79.91451
Pittsburgh Concord K-5,40.388139333,-79.9843779999999
Pittsburgh Conroy,40.45135,-80.02543
Pittsburgh Dilworth K-5,40.468743,-79.917828
Pittsburgh Fulton K-5,40.474544,-79.921749
Pittsburgh Grandview K-5,40.424338,-79.992975
Pittsburgh Greenfield K-8,40.426199,-79.943413
Pittsburgh Obama 6-12,40.45734,-79.919563
Pittsburgh King K-8,40.454983,-80.005393
Pittsburgh Liberty K-5,40.453384,-79.933967
Pittsburgh Lincoln K-5,40.460472,-79.912556
Pittsburgh Linden K-5,40.445844,-79.916397
Pittsburgh Manchester K-8,40.45603,-80.026902
Pittsburgh Oliver,40.464835,-80.024125
Pittsburgh Mifflin K-8,40.369813,-79.913326
Pittsburgh Minadeo K-5,40.423224,-79.92336
Pittsburgh Morrow K-8,40.480371,-80.039692
Pittsburgh Perry HS,40.488986,-80.017907
Pittsburgh Phillips K-5,40.427867,-79.979214
Pittsburgh Pioneer,40.402347,-80.010158
Pittsburgh CAPA 6-12,40.444738,-79.998741
Pittsburgh Classical 6-8,40.451091,-80.048933
Pittsburgh Miller K-5,40.446794,-79.981897
Pittsburgh Montessori K-5,40.462949,-79.936011
Pittsburgh Science and Technology Academy 6-12,40.443216,-79.956749
Pittsburgh Milliones 6-12,40.448766,-79.961617
Pittsburgh Roosevelt K -5,40.39795,-79.989075
Pittsburgh Schiller 6-8,40.456277,-79.99289
Pittsburgh South Brook 6-8,40.402344,-80.010059
Pittsburgh South Hills 6-8,40.416978,-80.020482
Pittsburgh Spring Hill K-5,40.465486,-79.989496
Pittsburgh Sterrett 6-8,40.447208,-79.905647
Pittsburgh Sunnyside K-8,40.480649,-79.934795
Pittsburgh Weil K-5,40.445163,-79.975089
Pittsburgh West Liberty K-5,40.40234,-80.009911
Pittsburgh Westwood K-5,40.431804921,-80.05108419
Pittsburgh Whittier K-5,40.436276,-80.018398
Pittsburgh Woolslair K-5,40.463251,-79.957335
Acmetonia El Sch,40.543447,-79.816194
Springdale JSHS,40.5475,-79.780543
Avonworth El Sch,40.539556,-80.094758
Avonworth HS,40.529873,-80.075868
Avonworth MS,40.530391,-80.077078
Eden Hall Upper El Sch,40.65769,-79.961148
Hance El Sch,40.630282,-79.946537
Pine-Richland HS,40.6592740240001,-80.017027076
Pine-Richland MS,40.6565351560001,-80.0141341469999
Richland El Sch,40.657654,-79.960265
Wexford El Sch,40.621725,-80.052196
Baldwin SHS,40.3556115820001,-79.977888417
J.E. Harrison Education Ctr,40.350789,-80.002164
McAnnulty El Sch,40.345715,-79.996713
Whitehall El Sch,40.353135,-79.992696
Abraham Lincoln El Sch,40.356354,-80.016085
Benjamin Franklin El Sch,40.324514,-80.031235
Bethel Memorial El Sch,40.324507,-80.05406
Bethel Park HS,40.333094,-80.04327
George Washington El Sch,40.311745,-80.064499
Independence MS,40.340372,-80.042036
Neil Armstrong 5-6 MS,40.304983,-80.022831
William Penn El Sch,40.299164,-80.045419
Brentwood MS,40.374141,-79.975484
Brentwood SHS,40.374141,-79.975484
Elroy Avenue El Sch,40.380316,-79.973876
Moore Sch,40.368968,-79.974493
Carlynton JSHS,40.424962087,-80.096892951
Carnegie El Sch,40.401497588,-80.081887265
Crafton El Sch,40.431119795,-80.0670109819999
Chartiers Valley HS,40.378639,-80.110962
Chartiers Valley Intrmd School,40.398835,-80.07592
Chartiers Valley MS,40.378639,-80.110962
Chartiers Valley Primary Sch,40.379064,-80.110097
Clairton El Sch,40.293868,-79.885347
Clairton MS/HS,40.293868,-79.885347
Cornell El Sch,40.509316,-80.167808
Cornell HS,40.509316,-80.167808
Curtisville Pri Ctr,40.645022505,-79.84821217
Deer Lakes HS,40.618524,-79.852927
Deer Lakes MS,40.624442,-79.858408
East Union Intrmd Sch,40.622627,-79.858454
Duquesne El Sch,40.371652,-79.847855
Central El Sch,40.276252056,-79.8259979759999
Elizabeth Forward MS,40.274468298,-79.8258239419999
Elizabeth Forward SHS,40.2544538860001,-79.856146409
Greenock El Sch,40.312162,-79.802373
Mt Vernon El Sch,40.2921509720001,-79.8121657039999
William Penn El Sch,40.2260419180001,-79.899828922
Dorseyville MS,40.578238,-79.886875
Fairview El Sch,40.548533,-79.900193
Fox Chapel Area HS,40.517404,-79.869113
Hartwood El Sch,40.578014,-79.887281
Kerr El Sch,40.51311,-79.917954
OHara El Sch,40.51687,-79.864023
Dr Cleveland Steward Jr El Sch,40.430393,-79.753816
Evergreen El Sch,40.445289,-79.771819
Gateway MS,40.445817,-79.763829
Gateway SHS,40.429926,-79.751339
Ramsey El Sch,40.407831,-79.748775
University Park El Sch,40.448417,-79.732247
Central El Sch,40.571686,-79.927199
Hampton HS,40.581234,-79.942935
Hampton MS,40.589775,-79.945397
Poff El Sch,40.608173,-79.939118
Wyland El Sch,40.562395,-79.978524
Highlands Early Childhood Center,40.61167,-79.74026
Highlands El Sch,40.603333,-79.757168
Highlands MS,40.617328,-79.733707
Highlands SHS,40.618101,-79.728433
Dormont El Sch,40.3947566050001,-80.043965327
Fred L Aiken El Sch,40.42379737,-80.042594826
Keystone Oaks HS,40.387201776,-80.030252903
Keystone Oaks MS,40.386672139,-80.029401787
Myrtle Ave Sch,40.3676849080001,-80.024233621
Founders Hall Middle Sch,40.3462341010001,-79.833269144
McKeesport Area SHS,40.343557612,-79.830746427
Montour HS,40.4672229670001,-80.118735177
Bon Meade El Sch,40.5457031990001,-80.239341152
