district_name,name,address_city,address_street,county,zip,telephone_number,website,elementary,middle,high
,21st Century Cyber CS,West Chester,1245 Wrights Lane,Chester County IU 24,19380,484-875-5400,http://www.21stcenturycyber.org,FALSE,TRUE,TRUE
Quakertown Community SD,6th Grade Center,Quakertown,349 S 9th St,Bucks County IU 22,18951,215-529-2000,http://www.qcsd.org,FALSE,TRUE,FALSE
Uniontown Area SD,A J McMullen Sch,Markleysburg,4773 National Pike,Intermediate Unit 1,15459,724-329-8811,http://www.uasdraiders.org,FALSE,TRUE,FALSE
Albert Gallatin Area SD,A L Wilson El Sch,Fairchance,100 Al Wilson Drive,Intermediate Unit 1,15436,724-564-7434,http://www.agasd.org,TRUE,FALSE,FALSE
,A W Beattie Career Center,Allison Park,9600 Babcock Boulevard,Allegheny IU 3,15101,412-847-1900,http://www.beattietech.com,FALSE,FALSE,TRUE
Abington Heights SD,Abington Heights HS,Clarks Summit,222 Noble Road,Northeastern Educational IU 19,18411,570-585-5300,http://www.ahsd.org,FALSE,FALSE,TRUE
Abington Heights SD,Abington Heights MS,Clarks Summit,1555 Newton Ransom Blvd,Northeastern Educational IU 19,18411,570-585-4300,http://www.ahsd.org,TRUE,TRUE,FALSE
Abington SD,Abington MS,Abington,2056 Susquehanna St,Montgomery County IU 23,19001,215-884-4700,http://www.abington.k12.pa.us,FALSE,TRUE,FALSE
Abington SD,Abington SHS,Abington,900 Highland Avenue,Montgomery County IU 23,19001,215-884-4700,http://www.abington.k12.pa.us,FALSE,FALSE,TRUE
Bethel Park SD,Abraham Lincoln El Sch,Pittsburgh,1524 Hamilton Rd,Allegheny IU 3,15234,412-854-8618,http://www.bpsd.org/,TRUE,FALSE,FALSE
Philadelphia City SD,Academy at Palumbo,Philadelphia,1100 Catharine St,Philadelphia IU 26,19147,215-400-8130,http://www.philasd.org,FALSE,FALSE,TRUE
Pittsburgh SD,Academy at Westinghouse,Pittsburgh,1101 N. Murtland Avenue,Pittsburgh-Mt Oliver IU 2,15208,412-529-3940,http://www.pghschools.org/,FALSE,TRUE,TRUE
Southeast Delco SD,Academy Park HS,Sharon Hill,300 Calcon Hook Rd,Delaware County IU 25,19079,610-522-4330,http://www.sedelco.org/,FALSE,FALSE,TRUE
,Achievement House CS,Exton,102 Pickering Way,Chester County IU 24,19341,484-615-6200,http://www.achievementcharter.com/,FALSE,TRUE,TRUE
Allegheny Valley SD,Acmetonia El Sch,Cheswick,300 Pearl Street,Allegheny IU 3,15024,724-274-6500,http://www.avsdweb.org,TRUE,TRUE,FALSE
,Ad Prima CS,Philadelphia,1922 N. 63rd Street,Philadelphia IU 26,19151,215-883-0638,https://www.adprimacharterschools.org/,TRUE,TRUE,FALSE
Philadelphia City SD,Adaire Alexander Sch,Philadelphia,1300 E Palmer St,Philadelphia IU 26,19125,215-400-7480,http://www.philasd.org,TRUE,TRUE,FALSE
,Adams County Technical Institute,Gettysburg,1126 Old Harrisburg RD,Lincoln IU 12,17325,717-398-3178,http://www.acti-pa.org,FALSE,FALSE,TRUE
Cocalico SD,Adamstown El Sch,Adamstown,256 West Main Street,Lancaster-Lebanon IU 13,19501,717-484-1601,http://www.cocalico.org,TRUE,FALSE,FALSE
,Admiral Peary AVTS,Ebensburg,948 Ben Franklin Highway,Appalachia IU 8,15931,814-472-6490,https://www.ap.tec.pa.us,FALSE,FALSE,TRUE
Pennsbury SD,Afton El Sch,Yardley,1673 Quarry Rd,Bucks County IU 22,19067,215-321-8540,http://www.pennsburysd.org,TRUE,FALSE,FALSE
,Agora Cyber CS,King of Prussia,1018 West 8th Avenue,Montgomery County IU 23,19406,610-230-0775,http://www.agora.org,TRUE,TRUE,TRUE
Ephrata Area SD,Akron El Sch,Akron,125 S 11th St,Lancaster-Lebanon IU 13,17501,717-859-0400,http://www.easdpa.org,TRUE,FALSE,FALSE
Albert Gallatin Area SD,Albert Gallatin Area SHS,Uniontown,1119 Township Dr,Intermediate Unit 1,15401,724-564-2024,http://www.agasd.org,FALSE,FALSE,TRUE
Albert Gallatin Area SD,Albert Gallatin North MS,McClellandtown,113 College Avenue,Intermediate Unit 1,15458,724-737-5423,http://www.agasd.org,FALSE,TRUE,FALSE
Albert Gallatin Area SD,Albert Gallatin South MS,Point Marion,224 New Geneva Road,Intermediate Unit 1,15474,724-725-5241,http://www.agasd.org,FALSE,TRUE,FALSE
East Penn SD,Alburtis El Sch,Alburtis,222 West Third Street,Carbon-Lehigh IU 21,18011,610-965-1633,http://www.eastpennsd.org,TRUE,FALSE,FALSE
William Penn SD,Aldan El Sch,Aldan,1 North Woodlawn Ave,Delaware County IU 25,19018,610-626-3410,http://www.wpsd.k12.pa.us,TRUE,TRUE,FALSE
Aliquippa SD,Aliquippa El Sch,Aliquippa,800 Twenty-First Street,Beaver Valley IU 27,15001,724-857-7500,http://www.quipsd.org,TRUE,TRUE,FALSE
Aliquippa SD,Aliquippa JSHS,Aliquippa,100 Harding Avenue,Beaver Valley IU 27,15001,724-857-7500,http://www.quipsd.org,FALSE,TRUE,TRUE
Allegheny-Clarion Valley SD,Allegheny-Clarion Valley Elem,Foxburg,776 Route 58,Riverview IU 6,16036,724-659-3555,http://www.acvsd.org,TRUE,TRUE,FALSE
Allegheny-Clarion Valley SD,Allegheny-Clarion Valley HS,Foxburg,762 Route 58,Riverview IU 6,16036,724-659-4661,http://www.acvsd.org,FALSE,TRUE,TRUE
Philadelphia City SD,Allen Dr Ethel Sch,Philadelphia,3200 W Lehigh Ave,Philadelphia IU 26,19132,215-400-7040,http://www.philasd.org,TRUE,TRUE,FALSE
Philadelphia City SD,Allen Ethan Sch,Philadelphia,6329 Battersby St,Philadelphia IU 26,19149,215-400-3270,http://www.philasd.org,TRUE,TRUE,FALSE
West Shore SD,Allen MS,Camp Hill,4225 Gettysburg Rd,Capital Area IU 15,17011,717-761-1500,http://www.WSSD.k12.pa.us,FALSE,TRUE,FALSE
,Alliance for Progress CS,Philadelphia,1821-39 Cecil B Moore Avenue,Philadelphia IU 26,19121,215-232-4892,http://www.afpcs.org,TRUE,TRUE,FALSE
Chartiers-Houston SD,Allison Park El Sch,Houston,803 McGovern Rd,Intermediate Unit 1,15342,724-745-4700,http://www.chbucs.k12.pa.us,TRUE,TRUE,FALSE
Littlestown Area SD,Alloway Creek El Sch,Littlestown,162 Newark St,Lincoln IU 12,17340,717-359-4146,http://www.lasd.k12.pa.us,TRUE,FALSE,FALSE
Altoona Area SD,Altoona Area HS,Altoona,1404 6th Ave,Appalachia IU 8,16602,814-940-6986,http://www.aasdcat.com/aasd,FALSE,TRUE,TRUE
Altoona Area SD,Altoona Area Jr HS,Altoona,1400 7th Ave,Appalachia IU 8,16602,814-381-7512,http://www.aasdcat.com/aasd,FALSE,TRUE,FALSE
Reading SD,Amanda E Stout El Sch,Reading,321 S 10th St,Berks County IU 14,19602,610-371-5815,http://www.readingsd.org,TRUE,FALSE,FALSE
Ambridge Area SD,Ambridge Area HS,Ambridge,909 Duss Avenue,Beaver Valley IU 27,15003,724-266-2833,http://www.ambridge.k12.pa.us,FALSE,FALSE,TRUE
Ambridge Area SD,Ambridge Area MS,Freedom,401 First Street,Beaver Valley IU 27,15042,724-266-2833,http://www.ambridge.k12.pa.us,FALSE,TRUE,FALSE
Greensburg Salem SD,Amos K Hutchinson El Sch,Greensburg,810 Welty St,Westmoreland IU 7,15601,724-832-2900,http://www.greensburgsalem.org,TRUE,FALSE,FALSE
Ridley SD,Amosland El Sch,Morton,549 Amosland Rd,Delaware County IU 25,19070,610-534-1900,http://www.ridleysd.org,TRUE,FALSE,FALSE
Philadelphia City SD,Amy At Martin,Philadelphia,3380 Richmond St,Philadelphia IU 26,19134,215-291-4172,http://www.philasd.org,FALSE,TRUE,FALSE
Philadelphia City SD,Amy NW,Philadelphia,6000 Ridge Ave,Philadelphia IU 26,19128,215-400-3460,http://www.philasd.org,FALSE,TRUE,FALSE
Philadelphia City SD,Anderson Add B Sch,Philadelphia,1034 S 60th St,Philadelphia IU 26,19143,215-400-7890,http://www.philasd.org,TRUE,TRUE,FALSE
Fleetwood Area SD,Andrew Maier El Sch,Blandon,355 Andrew Maier Blvd,Berks County IU 14,19510,610-926-2502,http://www.fleetwoodasd.k12.pa.us/,TRUE,FALSE,FALSE
Annville-Cleona SD,Annville Cleona HS,Annville,500 S White Oak St,Lancaster-Lebanon IU 13,17003,717-867-7700,http://www.acschools.org,FALSE,FALSE,TRUE
Annville-Cleona SD,Annville El Sch,Annville,205 S White Oak St,Lancaster-Lebanon IU 13,17003,717-867-7620,http://www.acschools.org,TRUE,TRUE,FALSE
Annville-Cleona SD,Annville-Cleona MS,Annville,500 S White Oak St,Lancaster-Lebanon IU 13,17003,717-867-7700,http://www.acschools.org,FALSE,TRUE,FALSE
Antietam SD,Antietam MS/HS,Reading,2310 Cumberland Ave,Berks County IU 14,19606,610-779-3545,http://www.antietamsd.org,FALSE,TRUE,TRUE
,Antonia Pantoja Community CS,Philadelphia,4101 North American Street,Philadelphia IU 26,19140,215-455-1300,Not Available,TRUE,TRUE,FALSE
Apollo-Ridge SD,Apollo-Ridge Elem Sch,Spring Church,1831 State Route 56,ARIN IU 28,15686,724-478-6000,http://www.apolloridge.com,TRUE,FALSE,FALSE
Apollo-Ridge SD,Apollo-Ridge HS,Spring Church,1825 State Route 56,ARIN IU 28,15686,724-478-6000,http://www.apolloridge.com,FALSE,FALSE,TRUE
Apollo-Ridge SD,Apollo-Ridge MS,Spring Church,1829 State Route 56,ARIN IU 28,15686,724-478-6000,http://www.apolloridge.com,FALSE,TRUE,FALSE
Benton Area SD,Appleman El Sch,Benton,525 Park Street,Central Susquehanna IU 16,17814,570-925-6971,http://www.bentonsd.k12.pa.us,TRUE,TRUE,FALSE
Methacton SD,Arcola Intrmd Sch,Eagleville,40001A Eagleville Road,Montgomery County IU 23,19403,610-489-5000,http://www.methacton.org,FALSE,TRUE,FALSE
William Penn SD,Ardmore Avenue Sch,Lansdowne,161 Ardmore Ave,Delaware County IU 25,19050,610-623-7900,http://www.wpsd.k12.pa.us,TRUE,TRUE,FALSE
Stroudsburg Area SD,Arlington Heights El Sch,Stroudsburg,1100 N 9th St,Colonial IU 20,18360,570-421-6952,http://www.sburg.org,TRUE,FALSE,FALSE
Armstrong SD,Armstrong JSHS,Kittanning,300 Buffington Dr,ARIN IU 28,16201,724-548-7600,http://www.asd.k12.pa.us,FALSE,TRUE,TRUE
Upper Darby SD,Aronimink El Sch,Drexel Hill,4611 Bond Ave,Delaware County IU 25,19026,610-853-4510,http://www.upperdarbysd.org,TRUE,FALSE,FALSE
Methacton SD,Arrowhead El Sch,Collegeville,232 Level Rd,Montgomery County IU 23,19426,610-489-5000,http://www.methacton.org,TRUE,FALSE,FALSE
Hazleton Area SD,Arthur Street El Sch,Hazleton,424 East 9th St,Luzerne IU 18,18201,570-459-3111,http://www.hasdk12.org,TRUE,FALSE,FALSE
Hermitage SD,Artman El Sch,Hermitage,343 N Hermitage Rd,Midwestern IU 4,16148,724-981-8750,http://www.hermitagesd.net,TRUE,FALSE,FALSE
Philadelphia City SD,Arts Academy at Benjamin Rush,Philadelphia,11081 Knights Rd,Philadelphia IU 26,19154,215-400-3030,http://www.philasd.org,FALSE,FALSE,TRUE
,Arts Academy CS,Allentown,1610 East Emmaus Avenue,Carbon-Lehigh IU 21,18103,610-351-0234,https://www.arts-cs.org/,TRUE,TRUE,FALSE
