DistrictName,SchoolName,EnrollmentNumber,Year
21st Century Cyber CS,21st Century Cyber CS,1241,2022-2023
A W Beattie Career Center,A W Beattie Career Center,920,2022-2023
Achievement House CS,Achievement House CS,958,2022-2023
Ad Prima CS,Ad Prima CS,582,2022-2023
Adams County Technical Institute,Adams County Technical Institute,254,2022-2023
Admiral Peary AVTS,Admiral Peary AVTS,741,2022-2023
Agora Cyber CS,Agora Cyber CS,4957,2022-2023
Alliance for Progress CS,Alliance for Progress CS,559,2022-2023
Antonia Pantoja Community CS,Antonia Pantoja Community CS,699,2022-2023
Arts Academy CS,Arts Academy CS,312,2022-2023
Arts Academy Elementary CS,Arts Academy Elementary CS,414,2022-2023
ASPIRA Bilingual Cyber CS,ASPIRA Bilingual Cyber CS,876,2022-2023
Avon Grove CS,Avon Grove CS,1886,2022-2023
Baden Academy CS,Baden Academy CS,586,2022-2023
Bear Creek Community CS,Bear Creek Community CS,511,2022-2023
Beaver County CTC,Beaver County CTC,697,2022-2023
Bedford County Technical Center,Bedford County Technical Center,342,2022-2023
Belmont CS,Belmont CS,926,2022-2023
Berks CTC-East Campus,Berks CTC-East Campus,1008,2022-2023
Berks CTC-West Campus,Berks CTC-West Campus,843,2022-2023
Bethlehem AVTS,Bethlehem AVTS,1346,2022-2023
Bluford CS,Bluford CS,531,2022-2023
Boys Latin of Philadelphia CS,Boys Latin of Philadelphia CS,776,2022-2023
Bucks County Montessori CS,Bucks County Montessori CS,182,2022-2023
Bucks County Technical High School,Bucks County Technical High School,1439,2022-2023
Butler County AVTS,Butler County AVTS,1054,2022-2023
California Academy of Learning CS,California Academy of Learning CS,23,2022-2023
Capital Area School for the Arts CS,Capital Area School for the Arts CS,186,2022-2023
Carbon Career & Technical Institute,Carbon Career & Technical Institute,395,2022-2023
Career Institute of Technology,Career Institute of Technology,663,2022-2023
Catalyst Academy CS,Catalyst Academy CS,248,2022-2023
Center for Student Lrng CS Pennsbury,Center for Student Lrng CS Pennsbury,163,2022-2023
Central Montco Technical High School,Central Montco Technical High School,842,2022-2023
Central PA Digital Lrng Foundation CS,Central PA Digital Lrng Foundation CS,148,2022-2023
Central PA Institute of Science & Techno,Central PA Institute of Science & Techno,500,2022-2023
Central Westmoreland CTC,Central Westmoreland CTC,1189,2022-2023
Centre Learning Community CS,Centre Learning Community CS,75,2022-2023
Chester Charter Scholars Academy CS,Chester Charter Scholars Academy CS,700,2022-2023
Chester Co Technical College HS-Brandywi,Chester Co Technical College HS-Brandywi,1096,2022-2023
Chester Co Technical College HS-Pennocks,Chester Co Technical College HS-Pennocks,859,2022-2023
Chester Co Technical College HS-Pickerin,Chester Co Technical College HS-Pickerin,528,2022-2023
Chester Community CS,Chester Community CS,4277,2022-2023
Christopher Columbus CS,Christopher Columbus CS,862,2022-2023
Circle of Seasons CS,Circle of Seasons CS,408,2022-2023
City CHS,City CHS,556,2022-2023
Clarion County Career Center,Clarion County Career Center,339,2022-2023
Clearfield County CTC,Clearfield County CTC,437,2022-2023
Collegium CS,Collegium CS,2645,2022-2023
